{'短评内容': '周围很繁华', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不会再去', '短评打分': 3}
{'短评内容': '酒店服务好，离蛇口网谷公司很近，住着很方便，每周出差都会住这里，跟前台都熟悉了，经常住，店很好找，位置很显眼，酒店大堂比较大，酒店装修还好，房间卫生干净，床单被套干净，wifi信号不错，淋浴很好，配的有吹风机，设施齐备，入住有牛奶和水送，位置显眼，很容易就能看到，楼下有赛百味，吃东西很方便。服务员很热情，还会帮忙拿东西，态度很好，房间里也很干净整洁，床上用品也很新，应该是最近才买的，浴巾都是独立包', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间温馨舒适', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '陈旧 卫生间还要上两个台阶 但服务挺好的 价钱不高就不要求那么多了', '短评打分': 4}
{'短评内容': '服务周到，环境干净', '短评打分': 5}
{'短评内容': '房间一进去，很臭，烟味各种味道杂在一起，即使开了窗户空调味道还是很大很难散，隔音也不好，旁边冲凉洗澡水的声音也听的清清楚楚', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮人订的，位置不错', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '干净整洁 交通方便', '短评打分': 5}
