{'descr': '真心垃圾，窗户都用透明胶黏的！！！！！！！！！！！！', 'star': 5}
{'descr': '完全一般, 隔音不是很好. 卫生算可以.', 'star': 1}
{'descr': '很糟糕，装修设施陈旧，电话网络都不通，估计是因为在最繁华的商业区不担心入住率', 'star': 3}
{'descr': '环境不是很好 就在市中心旁边  很方便  交通也很便利  其他不怎么样', 'star': 1}
{'descr': '，房间窗户小的可怜，很多设施很脏，到处是头发，马桶还老是抽不上水，服务态度也不好', 'star': 1}
{'descr': '房间太一般，设施差，还不及盐城蓝色快舟。下次不会选择。', 'star': 3}
{'descr': '＋总体感觉还算温馨，但是热水来的太慢，空调很破，床单还需再整整的啊。   ', 'star': 3}
{'descr': '  不错', 'star': 3}
{'descr': '很差', 'star': 5}
{'descr': '说是16平-20平的房，实际上没有之前在南京莫泰168住的15平大，门后还有垃圾，服务态度相当差。', 'star': 1}
{'descr': '卫生差，环境差，设施差，服务差，隔音差，价格一般', 'star': 3}
{'descr': '卫生差，设施差，地理位置相对好，价格一般，服务差', 'star': 3}
{'descr': '卫生差，服务差，设施差，地理位置相对好，不值这个价位', 'star': 1}
{'descr': '条件差啊。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '小。。。而且环境也不怎么样。。。就是离南大街比较近。。。。', 'star': 3}
{'descr': '很小的房间，不好', 'star': 5}
{'descr': '很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。很好。。。', 'star': 3}
{'descr': '地段在市区，交通比较方便的。就是床单破了也没更换，其他还行吧。', 'star': 3}
{'descr': '地段在市区，就是床单破了也没更换，其他还行吧', 'star': 5}
{'descr': '不是很好', 'star': 5}
{'descr': '酒店条件一般.就是位置还不错，综合水平比较好.其它硬件和软件条件一般.', 'star': 1}
{'descr': '旅店位置还是很好的，就是房间有点小，服务还行。', 'star': 5}
{'descr': '酒店设备很陈旧，甚至被套枕套都有都有洞，房间隔音极差，服务员也是爱搭不理的，只是地处繁华地段，没什么其他好处', 'star': 1}
{'descr': '位于常州繁荣的南大街,交通方便,便于逛街购物,卫生情况良好,服务态度好', 'star': 5}
{'descr': '酒店内部设施一般，床上用品已经使用时间太久，服务态度不是很好（常州南大街店）', 'star': 1}
{'descr': '不好', 'star': 1}
{'descr': '除了位置和价格是优势 朋友说其他都很一般', 'star': 1}
{'descr': '交通很方便，离南大街估计只有几十米\r\n房间还可以', 'star': 5}
