{'短评内容': '酒店 不是北湖宾馆的主楼 是副楼，还可以，价格也实惠', '短评打分': 5}
{'短评内容': '质优价廉 价格实惠', '短评打分': 5}
{'短评内容': '这几天太忙了！忘记拍照了！很舒心！卫生很干净，很安静。', '短评打分': 5}
{'短评内容': '房间虽然不大，但是但是很温心，窗户外面可以看到夜景，很漂亮，早餐品种齐全，', '短评打分': 5}
{'短评内容': '早餐不错环境也不错有地方特色小吃米粉、油干等菜品也很丰富搭配也很好服务员服务态度也很不错卫生条件也很好。', '短评打分': 5}
{'短评内容': '市中心区域交通方便购物方便特色小吃多房间卫生不错服务态度好', '短评打分': 5}
{'短评内容': '总体还不错 就是配套设备比较老 ', '短评打分': 4}
{'短评内容': '挺好的，建议大家可以去入住，商务出差很便利，周边很多吃的，上也很发达，平时入住比较舒服，这次去树叶黄了很漂亮', '短评打分': 5}
{'短评内容': '还可以，周边商业发达，网上预订的，去了直接入住，推荐给大家，价格很合理，适合出差入住，就是南充的的士不方便', '短评打分': 5}
{'短评内容': '交通便利，环境优雅，', '短评打分': 5}
{'短评内容': '不错，一直喜欢住这里', '短评打分': 5}
{'短评内容': '不错，很满意的住宿，下次还来', '短评打分': 5}
{'短评内容': '临时更换了大床房，电话联系京东客服很方便就处理了，很不错', '短评打分': 5}
{'短评内容': '现在京东可以订酒店了，还可以用全品券，很不错', '短评打分': 5}
{'短评内容': '出差首选，好评！', '短评打分': 5}
{'短评内容': '挺好的呢。市中心。很方便。楼下就是北湖公园。。但是设备还是比较老旧的了，早餐一般吧。这个价位在中小城市不算特别有性价比。', '短评打分': 5}
{'短评内容': '经常去 推荐这家放心吧', '短评打分': 5}
{'短评内容': '性价比很高，四星酒店', '短评打分': 5}
{'短评内容': '位于南充市中心，地理位置优越、交通便利，房间布局合理，干净整洁无噪音，整体不错，就是停车要收20元过夜费', '短评打分': 5}
{'短评内容': '酒店不错，价格还非常合理，早餐也比较丰富，值得推荐一下', '短评打分': 5}
{'短评内容': '便宜便宜 非常的便宜', '短评打分': 5}
{'短评内容': 'good', '短评打分': 4}
{'短评内容': '干净，安静，市中心，早餐不错', '短评打分': 5}
{'短评内容': '很安静，古典。其它都还不错！值得推荐', '短评打分': 4}
{'短评内容': '交通方便～～早餐不错！。。离市中心很近～', '短评打分': 5}
{'短评内容': '位置很好，后面还有个大湖，适合工作后稍事休息。不过房间比较陈旧，入住率好像还比较高，当晚同事一起来想增加房间都拿不到了', '短评打分': 5}
{'短评内容': '第一次入住，感觉一般般。设施陈旧，门是坏的，很难开。希望能改善', '短评打分': 5}
{'短评内容': '房间太小，不建议入住。。。。。。。。。。。。', '短评打分': 1}
