{'descr': '好好好', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '挺好的 老板人很好', 'star': 5}
{'descr': '非常好环境', 'star': 5}
{'descr': '无早餐，不能加床，床有点硬，酒店旁边吃很方便，房间洗衣机，冰箱都有，卫生间有点拥挤。', 'star': 4}
{'descr': 'WIFI速度不行，根本不能用。其他还可以。', 'star': 4}
{'descr': '第二次入住，还是那么好，地脚好，房间好，很卫生，功能齐全，价格实惠，家人住的都很舒适，下次去开发区还会入住的', 'star': 5}
{'descr': '第二次入住，还是那么好，地脚好，房间好，很卫生，功能齐全，价格实惠，家人住的都很舒适，下次去开发区还会入住的', 'star': 5}
{'descr': '酒店位置特别好，房间干净，实景比图片还好，只不过在一个公寓的一层，室外没有明显的指示牌。下次还会入住的', 'star': 5}
{'descr': '服务态度一般，床有点潮，淋浴不错，有海景，总体来说，不错', 'star': 4}
{'descr': '位置还行，有蟑螂，干净卫生', 'star': 3}
{'descr': '干净，非常好，下次还回来', 'star': 5}
{'descr': '非常不错，来客户都住这里，很好的环境', 'star': 3}
{'descr': '还不错的一个酒店 推荐入住', 'star': 3}
{'descr': '房间很干净 洗涑用品都是韩国的 很不错', 'star': 3}
{'descr': '很干净的公寓式酒店，房间里有电脑免费宽带，服务人员的态度很好，还帮忙叫出租车。貌似有很多韩国人来入住，因为酒店的电视机都是韩语的，不过可以要求换成中文的，拖鞋也是韩式的按摩拖鞋，很想也买一双在家穿呢。也没有骚扰电话，就是不含早点，但是在楼上有左厦的食堂也比较便宜。地点也不错，步行可以到达大型超市和商场。总之是一次比较愉快的住宿经历。', 'star': 5}
{'descr': '酒店环境不好，像是家庭私人开办的，隔音也差，服务更是极差，纯粹是黑店、退房时服务台非说浴巾有些弄脏了要赔偿60元，一个破的都飞边了的旧浴巾洗下要60元真是太黑了，以前住过的五星级酒店的浴巾加洗费才收20元，由于要赶长途客车时间紧张也就忍了。朋友们千万别在让这家给黑了！！！！', 'star': 1}
{'descr': '酒店环境不好，像是家庭私人开办的，隔音也差，服务更是极差，纯粹是黑店、退房时服务台非说浴巾有些弄脏了要赔偿60元，一个破的都飞边了的旧浴巾洗下要60元真是太黑了，以前住过的五星级酒店的浴巾加洗费才收20元，由于要赶长途客车时间紧张也就忍了。朋友们千万别在让这家给黑了！！！！', 'star': 1}
{'descr': '公寓型酒店，面朝大海的房间不错，性价比很好。', 'star': 5}
{'descr': '公寓型酒店，面朝大海的房间不错，性价比很好。', 'star': 5}
