{'短评内容': '酒店太老，不想再去住下一次了。', '短评打分': 1}
{'短评内容': '酒店位于市区，吃早餐要8点之前去，房间有些潮冷，窗外是杂物间，窗户上有蜘蛛网，不太舒适，服务态度很好…', '短评打分': 4}
{'短评内容': '早餐一般般，8点半以后就不要去歺厅了，房间有点冷，酒店位置好，有停车场。房间内设施陈旧，有些压抑的感觉…', '短评打分': 4}
{'短评内容': '莲蓬头是坏的', '短评打分': 5}
{'短评内容': '毕竟是三星级宾馆，很好。', '短评打分': 5}
{'短评内容': '很不错的地方', '短评打分': 5}
{'短评内容': '不错的酒店值得', '短评打分': 5}
{'短评内容': '一般般啦', '短评打分': 3}
{'短评内容': '太陈旧了点，早餐也比较简单。房间一股老的味道', '短评打分': 3}
{'短评内容': '这个还行，以后还会来住的', '短评打分': 3}
{'短评内容': '市中心，环境好，有停车场，服务周到。', '短评打分': 5}
{'短评内容': '满意。。。。。。。。。', '短评打分': 4}
{'短评内容': '入住环境有些老旧，早餐不理想。', '短评打分': 3}
{'短评内容': '位置优越，可停车。房间旧了，建议更新了。', '短评打分': 4}
{'短评内容': '一般般吧，位置还好，就是比较成旧', '短评打分': 5}
{'短评内容': '实话说，酒店价格不高，设施环境一般，但服务意识和态度不好！', '短评打分': 1}
{'短评内容': '环境蛮好，住着听舒服的，感觉舒适干净，以后出行可以推荐', '短评打分': 5}
