{'短评内容': '酒店不咋地，没热水，房间环境太差，设施老旧。', '短评打分': 5}
{'短评内容': '没有早餐，有停车场！', '短评打分': 4}
{'短评内容': '房间干净，安静，', '短评打分': 5}
{'短评内容': '还行，去机场坐车比较方便', '短评打分': 4}
{'短评内容': '环境优美，交通便利。值得入住', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '设施太差', '短评打分': 3}
{'短评内容': '牙膏牙刷还要算钱', '短评打分': 5}
{'短评内容': '设施太旧了', '短评打分': 3}
{'短评内容': '网络设施太差了，建议改进。', '短评打分': 2}
{'短评内容': '酒店太旧，毛巾之类的都破破烂烂的，免费的水都没有，还有消费陷阱（酒店的拖鞋、洗漱用品都是收费的，但是很晚的时候会送来一些免费的，所以用的早的话就亏了）。酒店的霉味实在太重了，厕所还有很重的下水道的味道飘出来，简直没法用，太受不了了，最大的好处就是离机场大巴比较近。', '短评打分': 2}
{'短评内容': '网络太差了，设施陈旧，又没早餐，不方便！', '短评打分': 2}
{'短评内容': '地理位置很好，出行方便，设施略旧，总体还可以的。', '短评打分': 4}
{'短评内容': '优点：总体来说这家酒店性价比还是很高的，毕竟价格在那里了！推荐第二天赶飞机的盆友入住，因为这里距离民航大酒店机场巴士始发点非常近非常方便。缺点：房间不隔音，所有用品均要另外收费，包括一次性拖鞋，所以提醒那些住惯了星级酒店的盆友入住前记得自带洗漱用品。', '短评打分': 4}
{'短评内容': '设施不错，周边环境也不错。', '短评打分': 4}
{'短评内容': '网络太差，建议大力改进。', '短评打分': 2}
