{'descr': '非常好', 'star': 5}
{'descr': '已经沦为隔壁会所打炮专用', 'star': 2}
{'descr': '我觉得可以！我觉得可以！我觉得可以！我觉得可以！我觉得可以！我觉得可以！我觉得可以！我觉得可以！我觉得可以！', 'star': 4}
{'descr': '还不如几十块钱的小冰馆呢，到处都是小广告，冰箱的味道比垃圾站味道还大，服务差的一逼，走的时候还开不了发票', 'star': 1}
{'descr': '还不错，喜欢', 'star': 5}
{'descr': '总体来说还不错，就是服务员的服务水平有待提高', 'star': 5}
{'descr': '第一次在京东上预定酒店，还有优惠，价廉物美，客人比较满意，离昆山南站也近，乘高铁方便的。', 'star': 5}
{'descr': '还可以，就是有点远', 'star': 5}
{'descr': '非常好，下次还过来', 'star': 5}
{'descr': '还可以，小公寓型的', 'star': 5}
{'descr': '首先整个楼层一股味道，进到房间还是一股霉味，第二，离高铁站看上去地图很近，实际距离', 'star': 2}
{'descr': '价格很有优势', 'star': 5}
{'descr': '环境很好，附近有小吃，有停车场', 'star': 5}
{'descr': '不推荐', 'star': 4}
{'descr': '酒店环境还不错，离昆山南站较近。', 'star': 4}
{'descr': '还不错吧！！下次还可以来的！！！', 'star': 4}
{'descr': '房间还行吧，不过地段有点偏啊', 'star': 3}
{'descr': '酒店挺好的 挺满意的 卫生条件不错 交通方便 配套完善', 'star': 5}
{'descr': '酒店挺好，是那种欧式小高床，很有意思', 'star': 3}
{'descr': '不错   挺好  非常干净  态度也好   位置好  做事方便', 'star': 5}
{'descr': ' 不错，性价比不错，还免费送到高铁站', 'star': 3}
{'descr': '  很好，就是没床的房间太憋热拉！！！', 'star': 3}
{'descr': '环境一般，价格较酒店特价房太高，服务好。', 'star': 3}
{'descr': '房间蛮好的，就是门面太小不好找，服务合理也不错，价格', 'star': 5}
{'descr': '环境不错，离山西医科大一院很近。价格合理，干净卫生，有独立的卫生间。', 'star': 5}
{'descr': '还不错吧 反正要是医科大的 那是相当近啦 方便 环境也还行', 'star': 5}
{'descr': '房间有异味，床翻身吱嘎烂响；存车收费且早上取车得大声砸门；周边医院环境乱。服务态度尚可', 'star': 1}
{'descr': '环境不错，就是房间有点小！', 'star': 3}
{'descr': ' 酒店的环境还可以，但是最关键的床和浴室都不是很舒适。', 'star': 3}
