{'短评内容': '酒店环境很不错，住了很多次了！', '短评打分': 4}
{'短评内容': '不错、很满意、前台服务也很棒、热水壶坏了马上就给换了', '短评打分': 5}
{'短评内容': '设备老化啦', '短评打分': 3}
{'短评内容': '非常一般，服务人员素质跟不上', '短评打分': 2}
{'短评内容': '嗯，不错！………………嗯，不错！………………嗯，不错！………………嗯，不错！………………嗯，不错！………………', '短评打分': 5}
{'短评内容': '价格便宜，卫生和设施还可以', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好。价格便宜', '短评打分': 5}
{'短评内容': '已经多次入住了，主要图个方便，离市中心不远', '短评打分': 4}
{'短评内容': '还不错，地理位置好', '短评打分': 5}
{'短评内容': '位置好找，环境卫生方面都非常满意！', '短评打分': 5}
{'短评内容': '位置好找，环境卫生方面都非常满意！', '短评打分': 5}
{'短评内容': '酒店服务不错！房间很大很舒适！', '短评打分': 5}
{'短评内容': '环境优雅。交通也很方便。房间里也特别的干净', '短评打分': 5}
{'短评内容': '朋友来安排在V6！还好吧！也开了有几年了！反正没啥不好的！OK！下次会继续吧！', '短评打分': 5}
{'短评内容': '环境很不错。也好的一次入住体验。', '短评打分': 3}
{'短评内容': '非常不错，每次都订他们家', '短评打分': 3}
{'短评内容': '房间挺不错的，不远处就是公园，环境不错，还发现俏江南在附近', '短评打分': 5}
{'短评内容': '入住安庆V6连锁酒店觉得从卫生.房间大小服务状态都很满意;缺点交通不便不通公交打的也不好打:房间没有电脑其它都很好…', '短评打分': 3}
{'短评内容': '酒店舒适干净，位置好，出门没多远就是市民广场和菱湖公园。空调效果很好。', '短评打分': 5}
{'短评内容': '这次是第二次入住，环境门口打车也方便，就是房间隔音太差，半夜有人在门口讲话听的很清楚。', '短评打分': 5}
{'短评内容': '唯一不好就是隔音有点差，其它都不错。对得起这个价位', '短评打分': 3}
{'短评内容': '挺好的，就是出门不好打车。早餐不怎么样，中午晚上在餐厅点菜，口味倒是不错。值得推荐。', '短评打分': 5}
{'短评内容': '酒店环境设施还可以，浴巾希望能换下，应为太破旧了，同时也希望你们积极的接纳顾客的意见。', '短评打分': 3}
{'短评内容': '还好吧  隔音效果不好 外面的人说话都听的很清楚 装潢什么的还可以 我住的这间房间里全部都是镜子 ..', '短评打分': 3}
{'短评内容': '环境真的特别好！很大气，就是隔音效果还不是很好！我喜欢房间里玻璃的设计很有范！', '短评打分': 5}
{'短评内容': '不错的，圆床。。。。。呵呵，，，你知道的、、、', '短评打分': 5}
{'短评内容': '一般吧！住在五楼，不知道是不是很长时间没人住了，灰很重，因为不习惯穿纸拖鞋，就穿袜子在房间里走，结果悲剧的袜子很脏了，烧水壶上面的灰更重了，洗了几遍才敢烧水，隔音效果很差，外面人说话都能听得见。', '短评打分': 1}
{'短评内容': '位置好,房间整洁.对短期出差的人来说是一个不错的选择.房内桌上放了一大堆商品,感觉过多了.', '短评打分': 5}
{'短评内容': '房间很干净，设施也很齐全，可惜早餐太单调，吃饭也不方便', '短评打分': 5}
{'短评内容': '还不错。一开始看到酒店大厅有些书可以借看，觉得不错，结果一看都是些老掉牙的书，也没什么好书。希望增加些书。', '短评打分': 5}
{'短评内容': '整体还不错，酒店还有餐厅，点菜吃饭比较方便。', '短评打分': 5}
{'短评内容': '房间不错，就是隔音不太好。隔壁房里讲话声音大一点，都能听到。', '短评打分': 5}
{'短评内容': '这是我在安庆住过最超值酒店', '短评打分': 3}
{'短评内容': '很干净 家具什么的很人性化  住起来很舒服', '短评打分': 5}
{'短评内容': '周边环境优美，交通便利，服务很好。干净卫生，不错的酒店', '短评打分': 5}
{'短评内容': '总体感觉还不错，服务业还不错。也挺干净的，地理位置也还不错。', '短评打分': 5}
{'短评内容': '服务很好,客房设施,环境很好,值得推荐.', '短评打分': 3}
{'短评内容': '非常不错，干净整洁大气！还有餐厅 东西很不错哦！', '短评打分': 5}
{'短评内容': '位置很不错的酒店，靠近临湖和莲湖，房间舒适度很棒，卫生打扫的干净，酒店的餐厅装修风格我很喜欢，周边出行方便', '短评打分': 5}
{'短评内容': '不错的酒店，装修较新颖，前台服务挺好，就是早餐太简单了！', '短评打分': 5}
{'短评内容': '房间硬件设施很简单，但是蛮齐全的，酒店娱乐配套设施齐全，有棋牌会所，房间卫生条件不错，打扫的很干净，住宿条件还可以', '短评打分': 5}
{'短评内容': '房间蛮大的，走廊也很宽敞，卫生条件很好，比较干净整洁，住宿条件不错', '短评打分': 5}
{'短评内容': '对该酒店相当无语，本来是冲着特色的水床房去的，结果半夜碰着水床漏水，于是在午夜12点给调换至标榜隔音效果非常好的大床房，结果隔壁的声音，此起彼伏，导致严重睡眠不足。', '短评打分': 1}
{'短评内容': '前台服务很热情周到，房间布置的很温馨，干净整洁，硬件设施很齐全，看着也蛮高档的，走廊很宽敞，餐厅环境很好，性价比较高', '短评打分': 5}
{'短评内容': '酒店开业不是很长时间，房间卫生条件很好，很干净，床品很好，很柔软，睡着很舒服，房间空间蛮大的，隔音效果不错，硬件设施比较简单，住宿环境还是不错的', '短评打分': 5}
