{'短评内容': '位置好，就在步行街旁边', '短评打分': 5}
{'短评内容': '6666666666666666666666666666的', '短评打分': 5}
{'短评内容': '条件好，卫生不错', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '可以吧，没早点', '短评打分': 5}
{'短评内容': '首先前台态度很亲切，也很快办好了入住，真的很方便，价格也很优惠！一进门的感觉非常的好，很干净整洁，我喜欢看细节，都很满意，看来很用心，也很规范！如家的地理位置非常好，出门很方便，晚上可以逛夜市的！超赞……被子枕头真的很整洁干净，下次有需要还会来的！', '短评打分': 5}
{'短评内容': '还好、吃饭逛街都方便………………', '短评打分': 5}
{'短评内容': '位置方便，服务周到，就是没有窗的房间味道太重！', '短评打分': 5}
{'短评内容': '价格实惠，离步行街非常近！喜欢逛街的可以考虑！', '短评打分': 3}
{'短评内容': '就在步行街，闹中取静！方便卫生！快捷实惠！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '环境还好，就是卫生间水不热，还好是夏天，将就用了。总得来说，70分，不过价格便宜。', '短评打分': 3}
{'短评内容': '赶上药博会，哈！房价太夸张', '短评打分': 3}
{'短评内容': '空调效果不行 房间很冷 其他的怎么说呢 都还可以吧', '短评打分': 1}
{'短评内容': '房间挺好的，就是前台档次太低，电梯快崩溃了。', '短评打分': 5}
{'短评内容': '酒店有点难找，房间还行！', '短评打分': 3}
{'短评内容': '环境很不好，这么冷的天没有热水，放出来的水是冷的，和朋友没有热水洗澡，打电话去前台询问，被告知多放一会儿就有热水了。结果一点热水都没有，还不给换房间。下次再也不会住这家了！', '短评打分': 1}
{'短评内容': '没有如家舒服，抽水马桶也是坏的，室内灯也坏掉一个，我住的房间里无线慢地要命。', '短评打分': 3}
{'短评内容': '步行街附近 设施挺好 出行方便 但比较嘈杂 不能很好地休息', '短评打分': 5}
{'短评内容': '服务一般，酒店内有蚊子，也不主动提供灭蚊工具。门面太小，找了好久才找到。', '短评打分': 1}
{'短评内容': '位置不错，价格也很适中，很适合居家旅行的朋友。', '短评打分': 5}
{'短评内容': '还不错只是隔音不好要改进还不错只是隔音不好要改进', '短评打分': 5}
{'短评内容': '不怎么样太差劲了，床不好很吵还没有早餐，很不合理，服务一般，', '短评打分': 1}
{'短评内容': '服务态度很好，条件也不错，服务小姐很温柔哈。', '短评打分': 5}
{'短评内容': '位置好，设施不错。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店一般化，过道卫生挺脏的，房间还好，另外客厅非常小。', '短评打分': 1}
{'短评内容': '早餐很好蛮丰盛的，口味也很好，房间布置的很温馨，卫生条件还可以，服务也不错', '短评打分': 5}
{'短评内容': '房间隔音太差了，走廊上不时听到说话声，还有隔壁女子的呼喊声。。。', '短评打分': 1}
{'短评内容': '价格上倒是很实惠的，卫生打扫也很干净，就是隔音效果一般。', '短评打分': 5}
{'短评内容': '房间色彩很丰富，搭配的很协调，设施摆放的很整齐，也比较新，整体感觉很舒适。', '短评打分': 5}
{'短评内容': '前台服务不错，态度很好，结账还可以刷卡，这点挺不错的。', '短评打分': 5}
{'短评内容': '房间很干净，设施很齐全，服务很周到，价格也公道，住的很满意。', '短评打分': 5}
{'短评内容': '酒店的设施很齐备，虽然有的设施房间里没有，比如说吹风机，但是给前台打个电话很快就会送过来', '短评打分': 5}
{'短评内容': 'e家酒店是全国的连锁酒店，保持这统一的服务，统一的专修样式，总之除了房间大小不一样其他的和其他的e家没什么太大的区别，总的来讲还行吧', '短评打分': 5}
{'短评内容': '值得一提的就是服务人员，真是热情啊，在我们有疑问的时候热心解答，并且还提供一些当地特色地点让我们这次出行感觉很棒', '短评打分': 5}
{'短评内容': '酒店的位置不错，很方便，虽然不在闹市区，但是就在公路附近，坐车很方便而且，很安静，住的十分舒适', '短评打分': 5}
