{'短评内容': '不知道住了多少次', '短评打分': 5}
{'短评内容': '非常不错的宾馆，旅馆的价格，宾馆的服务', '短评打分': 5}
{'短评内容': '一个月起码住十几天，', '短评打分': 5}
{'短评内容': '温州最高性价比的地方', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '很干净，住的也舒服', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好  实惠干净卫生   便宜的房间没有窗户', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '性价比可以，就是隔音效果差点', '短评打分': 4}
{'短评内容': '环境一般般，将就住住', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '唯一好处有房有折扣。还好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '这家酒店处的位置不错，左边有花店，右边有快餐店！不过里面设施真不怎么样！冲水马桶手柄都坏的，洗手间跟床通光的，就一个窗帘拉起来，沐浴露好难挤！！说是音乐酒店，可是见不到音乐设施，就是墙上贴音符标志。床旁边就放了精油，避孕套、、、、、逆天了！！一入住过几分钟就门下塞进去3张传单，都是性服务的！汗死啊！！不过对有些人就是福音了！', '短评打分': 5}
{'短评内容': '  还不错   就是没有无线上网   然后没电梯  要走到3楼', '短评打分': 3}
{'短评内容': '空调露水', '短评打分': 3}
{'短评内容': '   地处闹市区，方便，服务态度不错，早晨简单很便宜。', '短评打分': 3}
{'短评内容': '酒店服务态度很好，但在网上订就没有早餐', '短评打分': 3}
{'短评内容': '位置还可以，周围还是比较热闹的，离汽车站也较近，早餐每人要5元，就馒头包子和白粥，还有点小菜，牛奶，比较简单，每天都一样；特别烦人的是酒店的网速也忒慢了，哎，悲哀！！！', '短评打分': 1}
{'短评内容': '房间不大，但总体感觉不错，简约时尚，价格不贵，对面有KFC，惊喜，早餐有着落，呵呵', '短评打分': 3}
{'短评内容': '酒店小卡片很多！！一夜下来有20-30张从门缝塞进来，恐怖！！半夜有“鬼叫”，吵人不得休息。装修还比较新，但是没有楼梯，需要走到3楼。', '短评打分': 1}
{'短评内容': '感觉比较舒适 交通很便利 在闹市 吃饭或者买东西还比较便利 在经济类酒店中还是不错的 ', '短评打分': 5}
{'短评内容': '总体感觉不错，小广告是多点，但是不会主动打电话骚扰，隔音是有点不好，但是没有楼上说的这么严重，总之对的起这个价格。我订的晚上9：00---11点到店，结果车晚点10：55分才到，房间还有保留！！服务还可以', '短评打分': 5}
{'短评内容': '＋隔音和乱发小广告有待改进。', '短评打分': 3}
{'短评内容': '在约定时间内到达酒店，酒店没有保留约定房间，到时还要加钱升级', '短评打分': 5}
{'短评内容': '非常好~床也很大的~但是音乐在哪？而且隔音效果有待提高', '短评打分': 5}
{'短评内容': '总体上还可以，就是房间不隔音，有的人凌晨回来说笑好像是在自己房里似的。', '短评打分': 5}
{'短评内容': '酒店还是一般，酒店服务态度还行，房间住着也还行吧。', '短评打分': 3}
{'短评内容': '不错，挺实惠的，交通也方便，在市中心，下次还会住', '短评打分': 5}
{'短评内容': '干净，环境不错，总台服务有点慢', '短评打分': 3}
{'短评内容': '性价比很高，位置优越，交通非常的便利，下次还会住在这里。', '短评打分': 5}
{'短评内容': '+谢谢我成功预订了音乐酒店，王忠艳', '短评打分': 5}
