{'短评内容': '不错，经常住', '短评打分': 5}
{'短评内容': '各位置的工作人员服务都超好，周道又热情。房间据说是地暖，我住的季节还没供暖。楼层不高上下方便，早餐也还可以，有面条，馄饨等现煮的。洗发与淋浴液是小袋的用着不浪费，很好。', '短评打分': 5}
{'短评内容': '我认为很好', '短评打分': 5}
{'短评内容': '酒店位置不错，只是设施稍显老旧', '短评打分': 4}
{'短评内容': '早餐很好，种类很多，面条米饭都有。各类菜品做的也很入味。房间很大，非常宽敞，各种设备均能正常使用。周边环境不错，交通很方便，也很繁华。一次愉快的商务之旅。', '短评打分': 5}
{'短评内容': '老旧了，冬天房间不暖和，热水不热，淋浴室设备陈旧', '短评打分': 4}
{'短评内容': '酒店设施不错，地点也好，很喜欢这里，每次去包头都订这里，交通方便，吃饭也方便，很好的，一家酒店，推荐哦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务员的态度都没得话说，非常好！可这个地方漏风啊…真的是漏风啊…', '短评打分': 4}
{'短评内容': '停车场很大，很方便啊！就是房子有点贵！', '短评打分': 3}
{'短评内容': '环境不错，晚餐也不错，价格适中，值得推荐', '短评打分': 3}
{'短评内容': '这个店非常好，很方便，服务和环境都非常好，很方便。缺点，早晨沐沐水要先放50分钟才有热水，太费水费时了，改下吧，分路分区分楼层供水吧，太不放便了。下次还住。这个店非常好，很方便，服务和环境都非常好，很方便。缺点，早晨沐沐水要先放50分钟才有热水，太费水费时了，改下吧，分路分区分楼层供水吧，太不放便了。下次还住。这个店非常好，很方便，服务和环境都非常好，很方便。缺点，早晨沐沐水要先放50分钟才有热水', '短评打分': 3}
{'短评内容': '一定要确认特价房间有没有窗户', '短评打分': 4}
{'短评内容': '性价比还是很高的。 基本是来包头出差的首选。', '短评打分': 5}
{'短评内容': '性价比高，早餐不错，服务还不错，但是遗憾是隔音一般。', '短评打分': 5}
{'短评内容': '各方面都不错 环境卫生、服务态度都很好  值得推荐', '短评打分': 5}
{'短评内容': '经常住  还不错     以后还会一直住的   只要是在包头出差', '短评打分': 5}
{'短评内容': '在包头，这个价位来说，性价比还不错；感受较明显的是：\n1、缺点：网速太慢了；方便稍显拥挤，布局有点奇怪。\n\n2、优点：早餐还可以。', '短评打分': 5}
{'短评内容': '酒店装修比较有人文气息，隔音不好，热水不好。', '短评打分': 3}
{'短评内容': '总体不错，特别是早餐比较合胃口。房间温度有点高，睡着都出汗；淋浴时水会留得整个卫生间都是。文化气息比较浓郁。', '短评打分': 5}
{'短评内容': '服务什么的挺好的 考试才去的  不错  早点也不错', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店较老旧，床单被罩显得脏兮兮的，房间大显得空旷，性价比较低', '短评打分': 1}
{'短评内容': '环境很好！我很喜欢！我每次都来。还有这里服务很到位', '短评打分': 5}
{'短评内容': '酒店其他人的服务态度蛮好，除了一个中年女人好像还是经理一天板桌脸不说，态度还很恶劣，大姐你要知道你是干服务行业的你有没有经过专业培训就来当服务业的经理？', '短评打分': 1}
{'短评内容': '酒店总体不错，满意。只是在客房走廊里放了好多桌子和椅子。而且照明不是很到位。得小心翼翼的。', '短评打分': 5}
{'短评内容': '整体感觉不错，床和枕头睡上去很舒服。就是房间隔音不好，有点吵。', '短评打分': 3}
{'短评内容': '观景房设施不错，床和枕头睡上去感觉非常舒服。推荐', '短评打分': 3}
{'短评内容': '环境很不错！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '感觉很温馨空间很大！只是淋浴水压有点小不舒服！没有浴霸冷。。。', '短评打分': 5}
{'短评内容': '很好很舒适！只是淋浴水压有点偏低！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '距离招聘会比较近，比较安静，主要是人员少，比较舒服！', '短评打分': 5}
{'短评内容': '酒店有自己的供暖，比较舒服！主要是比较便宜！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店的位置还行但是不好打车，房间还是挺好，价格也是比较低，服务也可以人很热情。', '短评打分': 5}
{'短评内容': '+非常舒适，物美价廉', '短评打分': 5}
{'短评内容': '我去了还没说话呢     人家就让我在第二天10点钱退房~晕\r\n怎么？？看我是小孩子没钱？？\r\n如果我开车去是不就不一样了？？什么人了？晕\r\n  差~！！！', '短评打分': 1}
{'短评内容': '设施还行，位置还是很好找，价格还可以但是要是再便宜一些就更好了，出行也很方便。酒店感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '性价比可以，值得推荐。', '短评打分': 5}
