{'短评内容': '房间空间大！', '短评打分': 5}
{'短评内容': '安静，空间大！', '短评打分': 5}
{'短评内容': '非常好，安静！', '短评打分': 5}
{'短评内容': '环境安静，空间大！', '短评打分': 5}
{'短评内容': '客房安静，空间大', '短评打分': 5}
{'短评内容': '非常棒，', '短评打分': 5}
{'短评内容': '房间很大，环境也还可以总体来说比较满意！', '短评打分': 5}
{'短评内容': '房间很大，服务也不错，而且挺干净', '短评打分': 5}
{'短评内容': '服务很好，而且房间也很大', '短评打分': 5}
{'短评内容': '住的大床房 面积比较大 舒服', '短评打分': 5}
{'短评内容': '附近最好的酒店，没有之一', '短评打分': 5}
{'短评内容': '还好吧。', '短评打分': 5}
{'短评内容': '环境', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间宽敞而高大，大大的玻璃窗，视野很好。卫生还算不错，干净整洁。基本设施齐全。电视太小，与巨大的房间不匹配。早餐尚可，种类较多。', '短评打分': 3}
{'短评内容': '其他的都很不错，就是早餐种类比较少，而且旁边盖楼对休息影响比较大', '短评打分': 4}
{'短评内容': '还不错，主要是床挺舒服的', '短评打分': 5}
{'短评内容': '房间很大', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还可以，就是空调吵得很，睡不好', '短评打分': 5}
{'短评内容': '还可以，就是中央空调声音太大了，吵的睡不好', '短评打分': 5}
{'短评内容': '新酒店很不错 只是地理位置比较偏远靠近新沙物流港区', '短评打分': 5}
{'短评内容': '环境和装修都很好，就是空调太吵了，一晚上就像一个发动机在头上响，出风每隔两三秒就出十几秒的风，实在受不了！', '短评打分': 5}
{'短评内容': '酒店不错，推荐推荐推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '地段好，硬件还行，网速快，对面即是大超市，有些吃的。饭店本身吃的较简单，空调一阵一阵地吹风，有点吵。', '短评打分': 5}
{'短评内容': '服务不错，房间不错，早餐较差，，，呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': '早餐越来越少越来越差，服务不错，房间不错', '短评打分': 5}
{'短评内容': '酒店不错，前台服务员很好，餐厅服务员也很好，就是早餐简单，房间没有晾衣服的地方', '短评打分': 5}
{'短评内容': '酒店不错，服务好，就是房间没有晾衣绳，早餐简单点', '短评打分': 5}
{'短评内容': '酒店还可以，房间比较大，就是有点异味，早餐简单一点不够丰盛', '短评打分': 5}
{'短评内容': '酒店不错，房间比较大，服务也好，就是房间有点异味，早餐比较简单', '短评打分': 5}
{'短评内容': '酒店还可以，住起来比较安静，房间也舒适，就是有点味道', '短评打分': 5}
{'短评内容': '酒店不错，交通便利，服务也好，就是早餐简单了点，缺乏特色', '短评打分': 5}
{'短评内容': '新装修，内部硬件很好！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '在麻涌来说不错。\n位置方便好找。\n缺点就是早晨太差了。只有白粥和鸡蛋。', '短评打分': 5}
{'短评内容': '麻涌当地应该算不错的酒店，新装修，内部硬件可以，但周边环境不敢恭维......', '短评打分': 5}
{'短评内容': '酒店设施和服务还不错早餐较差地理位置比较偏打车也不方便', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，就是位置偏点', '短评打分': 3}
