{'短评内容': '还在装修，没wifi，有时没热水', '短评打分': 3}
{'短评内容': '没有一次性拖鞋，水有点凉，不能自己调热度，只能调大小，没有毛巾，只有浴巾', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '旧伤口撕开伤口都开始咳嗽快点快点快点哦', '短评打分': 5}
{'短评内容': '那些记得那年大家都开始咳嗽快点快点快点', '短评打分': 5}
{'短评内容': '一般哈', '短评打分': 4}
{'短评内容': '房间卫生一般。服务一般   热水等半小时才有。 设施差评……总的来说还是比较不愉快的 我们是过去度假的。但是这次的酒店是给我体验最不好的。', '短评打分': 3}
{'短评内容': '订的商务大床，给的标间。酒店比较老了，在火车站旁边，离老街挺近。打车9块钱就到了。整体还好吧～', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境挺好的，价格还很合理，下次来还会优先考虑这里，就是有些时候由于靠近火车站，房间旺季很难订到，最好还是提前预定比较好', '短评打分': 5}
{'短评内容': '很好，很干净，环境优雅，安静，我下次还推荐朋友来这里住', '短评打分': 3}
{'短评内容': '如果你不是十分讲究，这里还是很买惠的。离火车站近，用餐购物都是比较方便。早餐差些，品种少，我吃4天没换样，奇葩的是，鸡蛋竟然是服务员在门口发给客人，可见只有鸡蛋才是早餐含金量最高的一种。', '短评打分': 4}
{'短评内容': '安静卫生 推荐入住。', '短评打分': 3}
{'短评内容': '前台的服务态度真的不敢恭维！唉', '短评打分': 3}
{'短评内容': '环境很好，卫生干净，推荐入住。', '短评打分': 3}
