{'短评内容': '还行，价格较合适，早餐质良待提高，网络也不给力。', '短评打分': 5}
{'短评内容': '空调不给力 换了好几间都是一个力度\n房间电视的频道也不多 想看的都没有\n无功无过的酒店吧', '短评打分': 5}
{'短评内容': '酒店的位置很好，2号楼和3号楼和大堂分开，很有隐秘感。不过，一楼的窗户没有纱窗，不敢开窗户，否则蚊子就会乘虚而入。', '短评打分': 5}
{'短评内容': '一楼蚊子多', '短评打分': 3}
{'短评内容': '简陋但是还算是干净的酒店，因为附近可以选择的太少了。', '短评打分': 1}
{'短评内容': '到公司必然住在这里，离公司很近，方便！就是空调有点不给力！', '短评打分': 5}
{'短评内容': '还可以,就在公司附近，很方便！周围的商业区也慢慢好了', '短评打分': 5}
{'短评内容': ' 酒店没有电梯，房间在3楼，自己提着行李爬上楼，没人管。再也不住了。', '短评打分': 3}
{'短评内容': '房间干净宽敞，硬件设施满意，交通便捷，周围较安静\n', '短评打分': 5}
{'短评内容': '赶上了一个旅游团办入住，等了好久，希望以后能够改善', '短评打分': 5}
{'短评内容': '非常好，很实惠。建议大家都来订这家酒店。', '短评打分': 5}
{'短评内容': '很好，很理想', '短评打分': 3}
{'短评内容': '房间很宽敞，也很整洁，设施也不错，jj停车也很方便，值得推荐！', '短评打分': 5}
{'短评内容': '三楼的房间比较大 也很安静 就是卫生间设计得不够科学 ', '短评打分': 5}
{'短评内容': '总体还不错，我们定的豪华大床房，除了房间有点味道以外，别的都还不错，前台服务一般，毕竟不是星级，也不能要求太多哈。总体还是推荐的，边上还有两个购物中心，虽然人气不是很好，但买些东西，吃吃喝喝还是可以的。', '短评打分': 5}
{'短评内容': '安静，干净，浴室很大，有家的感觉，还会再去。', '短评打分': 5}
{'短评内容': '这次住的房间热水不足，早上放了10多分中的水还是不热，最后凉着洗得，望改进', '短评打分': 5}
{'短评内容': '住了很多次了，已经熟悉的和自己家一样了，在这一带性价比最高', '短评打分': 5}
{'短评内容': '还不错。时隔一年，第二次入住，为了过年。这次入住的是附楼，房间颇宽敞。只是电视是普通的；空调只有一个可用，噪音比较大。前次入住时主楼，液晶电视。本人家就在这附近，还会利用的吧。', '短评打分': 5}
{'短评内容': '酒店的大门不临街，找的时候要多留意。酒店很安静，我住的房间房型有些奇怪，走廊在中间，洗手间和卧室在两侧，好处是没有冲水声的干扰。总体感觉不错。', '短评打分': 5}
{'短评内容': '这么低的价位在上海已经很难找了，闹中取静，环境不错，房间硬件实施也很好，唯一不足的是早餐一般，可选择的不多，但能吃饱。', '短评打分': 5}
{'短评内容': '服务员很友好，免费帮我从副楼升级到主楼，推荐入住！', '短评打分': 3}
{'短评内容': '酒店 还过的去,不过还是住的是比较便宜的房间的关系.', '短评打分': 1}
{'短评内容': '离公司很近，交通也算方便，一如既往的支持', '短评打分': 5}
{'短评内容': '就一个字好，下次继续入住，闹中取静，还免费停车。', '短评打分': 5}
{'短评内容': '这次住的也不错，就是网络太慢了，而且赶上电视晚上也没信号，比较倒霉', '短评打分': 5}
{'短评内容': '环境部错，安静整洁，可免费停车！', '短评打分': 3}
{'短评内容': '附楼的房间还很大，就是进去一张麻将桌把我吓了', '短评打分': 5}
{'短评内容': ' 酒店环境还好。服务态度一般。就是空调只能制冷，打暖气就不给力了。', '短评打分': 3}
{'短评内容': '地段不错，周围设施健全，还有离海洋公园很近', '短评打分': 5}
{'短评内容': '服务不错，态度也很好，由于公司要求，我一下打印了一个多月的水单，前台很热情的帮我做好了', '短评打分': 5}
{'短评内容': '推荐来住的朋友,一定要住主楼,附楼有点阴暗潮湿的感觉.主楼的环境就好多了.楼下就餐也方便', '短评打分': 5}
{'短评内容': '可能我们在旺季去的,开会的人真多....餐厅经常被包场.门口就有公交车', '短评打分': 5}
{'短评内容': '喜欢这里的环境，花园式的。主楼附近比附楼要好', '短评打分': 3}
{'短评内容': '打算去华东师大办事的，但是有些远。价格也稍稍有些高。', '短评打分': 1}
{'短评内容': '经常入住。早餐有待提高，网速有时还可以，有时出奇慢', '短评打分': 1}
{'短评内容': '位置在经常办事的地方附近，附近干净卫生的便宜酒店真是不好找', '短评打分': 5}
{'短评内容': '环境很安静，步行到长风海洋公园也就五分钟', '短评打分': 5}
{'短评内容': '很干净，被套太旧', '短评打分': 3}
{'短评内容': '酒店环境不错,我住的是大床房,挺温馨的,就是邻街,早晨有点吵，早餐一般，不过值得推荐^', '短评打分': 3}
{'短评内容': '酒店还不错，就是门口在里面不太好找，隔音效果有待提高，总体不错', '短评打分': 5}
{'短评内容': '真的很不错的酒店，下次还是他，干净而安静', '短评打分': 5}
{'短评内容': '总的来说还是很不错的，只不过这次遇上一堆老外入住，前台效率不是很高而且非常慌乱，我等了很久都没有办好入住。以后如果有大型团体应该多做点准备。', '短评打分': 5}
{'短评内容': '需要控制出差成本的话这里还是不错的，旁边就是长风商务区，再过一阵都修好了以后有超市也有很多吃饭的地方，会很方便的', '短评打分': 5}
{'短评内容': '性价比还是不错的，就是房间的味道还是不怎么好，有股霉味的，可能是一直晒不到太阳的原因吧，朝向问题，很多房间都是朝北，背阴的！', '短评打分': 5}
{'短评内容': '酒店哪里都挺好的就是电视不给力，特别是昨天晚上有中国队的比赛但是看到一半电视信号没有了，问前台来修又说修不了让我用网络看，网络又慢，卡得一塌糊涂。比较遗憾', '短评打分': 5}
{'短评内容': '给同事定的，他反应也还不错，位置离公司很近，只不过晚上他想找点饮料喝却哪里都没有，最后跑到马路对面的超市去了，建议以后免费提供两瓶水或者增加mini吧台', '短评打分': 5}
