{'短评内容': '房间挺小的，但是设备挺新的，周边交通便利，价位相当可以。', '短评打分': 5}
{'短评内容': '店真的太一般了，感觉就在城中村里面的屋子一样，考虑到香港那边都是这个情况，勉强能接受吧', '短评打分': 3}
{'短评内容': '这个价位挺值的，干净,近尖沙咀地铁站,房东很客气。', '短评打分': 5}
{'短评内容': '入住手续简便，不用交押金，退房只需把钥匙留在房间即可。房间小是意料之中，但卫生间小得几乎转不了身啊！', '短评打分': 4}
{'短评内容': '房间很小，洗澡卫生间还积水，环境一般，好处就是距离地铁站近', '短评打分': 3}
{'短评内容': '凑合住一晚行，离海港城尖沙咀维港都很近，但是里面环境有点复杂', '短评打分': 4}
{'短评内容': '住了一晩，还可以！想续住多一晚，老板说满房了，唯有网上订了另一家，相比之下，这家的房比另一家的大及干净，wifi接收也较強，下次会再住！', '短评打分': 5}
{'短评内容': 'very so and it is too noisy. especially in the middle night. the room i booked next to the road  and i did have a good sleep.', '短评打分': 3}
{'短评内容': '酒店所在地段很好，地处闹市，地铁很近，出行很方便；周边的餐店等也很多；但酒店所在的大楼环境有点复杂，有住家，也有客栈，出入的人形形式式；入住时酒店前台没人，要打电话联系才有人来，感觉服务不到位', '短评打分': 4}
{'短评内容': '大廈比较老旧了，晚上回来晚了要登记，大廈的工作人员很不耐烦。其他就和香港一般家庭旅馆一样。', '短评打分': 4}
{'短评内容': '很好。物美价廉。不过真的有点小', '短评打分': 3}
{'短评内容': 'guest house是那里的叫法，美丽都大厦里有很多这种类型的民宿旅馆～两张单人床。厕所和卫生间一体的，在最多两平米的小空间里。而且不提供毛巾！小虫子只看到一个！没有空调、但有风扇！要提前订酒店才会便宜！离维多利亚港近！但是因为是旅游区，所以吃饭超贵！', '短评打分': 3}
{'短评内容': '美丽都大厦很好找，前台会讲普通话，都很满意，干净整洁安全。下次还会入住。', '短评打分': 3}
{'短评内容': '房间非常小，没有热水洗澡，但便宜', '短评打分': 3}
{'短评内容': '卫生干净，房间小了点，但交通便利。下楼就是大街，购物，去海边散步，都方便。出地铁站就是大楼进口。', '短评打分': 3}
