{'短评内容': '设施齐全，很不错 下次还来', '短评打分': 5}
{'短评内容': '设施好，服务一流', '短评打分': 5}
{'短评内容': '服务很好，很干净，非常舒适', '短评打分': 5}
{'短评内容': '环境优雅，整洁干净', '短评打分': 5}
{'短评内容': '环境优雅，舒适干净', '短评打分': 5}
{'短评内容': '房间很多很干净！舒适便捷、挺划算', '短评打分': 5}
{'短评内容': '酒店房间很大，服务也挺好。主要是停车和洗衣服也是免费！推荐入住', '短评打分': 5}
{'短评内容': '房间很大，卫生间很小且有下水道臭味', '短评打分': 4}
{'短评内容': '房间大但卫生间小，有下水道臭味', '短评打分': 4}
{'短评内容': '酒店房间整洁，设施完善，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！', '短评打分': 5}
{'短评内容': '酒店地处繁华地带，交通方便，周边吃饭地方也很多。房间宽敞干净，设施齐全，还可以免费停车，性价比高！！', '短评打分': 5}
{'短评内容': '房间很大，但是卫生间异味较严重。', '短评打分': 4}
{'短评内容': '其他还凑合，设施陈旧，墙皮都有点脱落，套房狭小。', '短评打分': 4}
{'短评内容': '酒店大厅没有沙发等供客人暂时休息的条件，还有房间内卫生间太小，有霉味，其他还可以', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '除了朋友住在附近，选了这家酒店。其实这家酒店真的不值，大厅在一楼，可是实际的客房在26楼以上。一去就是脏房，住29楼，晚上还有蚊子。这在西安很少见，只能说明卫生有问题。向客服要灭蚊器，得到的回答是：就几个，别人已经借走了。既然知道有蚊子，补救措施却没有，多买几个吗。', '短评打分': 1}
{'短评内容': '垃圾，一点退房如果超过一分钟就扣194元！没看过多少酒店像阳阳国际这样的！', '短评打分': 5}
{'短评内容': '晚上10点到了以后居然没热水。。。放了15分钟 客房中心接电话的说她是新来的不太清楚\n\n本来就缺水的城市 这热水供应还不如7天做的好呢', '短评打分': 1}
{'短评内容': '房间面积大，比较宽敞。就是地毯看起来比较旧。', '短评打分': 5}
{'短评内容': '我订的是窗户朝东的房间，但过去的时候还没打扫好，所以换了一间。不过还好吧，服务态度挺好的，晚上还有送小糕点，就是水温有点不稳定', '短评打分': 5}
