{'短评内容': '挺好  还会', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐差，房间设施差', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': 'ghdcnkfnn', '短评打分': 5}
{'短评内容': '服务很好，位置不错，经常来', '短评打分': 5}
{'短评内容': 'jgfdggjjjfdfg', '短评打分': 5}
{'短评内容': 'hgffbjjfdgjkgf', '短评打分': 5}
{'短评内容': 'hgdf%sfjfdnm', '短评打分': 5}
{'短评内容': '旁边就是家乐福超市，肥肠好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '墙皮脱皮，马桶盖松动，床单感觉有异味，皮肤痒，还有蚊子。十点问足疗不，已经明确说不了，快11点了还上门，感觉怕怕的。房间吵，隔音差，第二天压根没精神，实际一路边店', '短评打分': 3}
{'短评内容': '环境好。就是停车收费', '短评打分': 5}
{'短评内容': '很好的经济型酒店，房间装饰简洁大方，干净没有异味。前台接待人员态度好好，很亲切。办理入住手续时不需要交押金，房间里也贴着损坏什么东西请及时联系服务员，方便维修，不需要赔偿等字条，挺感动，虽然不会去弄坏什么，就算不小心弄坏了也觉得赔偿人家才是对的，但面对店家的的信任感觉真是好难得。房间有免费的矿泉水两瓶，门口有停车场，一晚上13元。附近有美食街，就餐很方便。值得一说的是房间配备了消防面具，这是有史以', '短评打分': 5}
{'短评内容': '此酒店干净交通方便', '短评打分': 3}
{'短评内容': '隔音太差，整体感觉不好！购物、吃饭、休闲方便！', '短评打分': 3}
{'短评内容': '酒店还可以，真的就是隔音很差，就好像一个房间一样，隔壁说话很清楚，卫生还算干净。', '短评打分': 3}
{'短评内容': '房间不错。空间还可以。 就是床边的桌子能挪动就好了。或者在房间里放个小桌子，吃饭什么的还方便。 总体来说，干净卫生，物超所值把。 值得推荐。', '短评打分': 5}
{'短评内容': '干净，卫生，地理位置优越、便捷！\n房间隔音差', '短评打分': 5}
{'短评内容': '总体感觉还行，就是隔音不太好，屋里没有火柴，打火机还要买，热水不够稳定，水量也小。', '短评打分': 3}
{'短评内容': '房间的设施齐全，房间还算卫生，但是卫生间的布局不敢恭维。如前面住过的兄第姐妹所说，隔音确实不行。', '短评打分': 5}
{'短评内容': '地点还是很方便的，边上就是新都汇，吃饭或是购物都非常的方便。前台服务还可以，房间床单很干净.建议洗手间放置吹风机。\n但是没有电脑，有点遗憾，电视比较小一点。隔音效果比较差，隔壁房间的电视声音严重影响休息。', '短评打分': 5}
{'短评内容': '位置很好，干净整洁，隔音太差，旁边的房正好在打麻将，吵了半宿', '短评打分': 5}
