{'短评内容': '水是黄的，地毯半湿，还很脏，还有蟑螂。位置很偏僻。', '短评打分': 4}
{'短评内容': '酒店在通天寨门口但是离温泉有点远，开车上山走了10几分钟；我们是晚上到达的往返去温泉的路上挺吓人，全是山路没有路灯。吃饭和住宿在两个楼里，吃饭那个更大气开始我们就走错了，住宿那栋爱莲居以为是宿舍楼..房间还可以，有地毯，用具也齐全，还有直饮水设备。值得一提的是服务员都怪怪的：买温泉门票和携程一样的价钱是138，还要打电话给一个陈经理说是什么郭总订的，没有便宜也没有返现却整得像地下交易不值得；爬山的', '短评打分': 4}
{'短评内容': '太偏僻，人少，风景还可以。早餐因为人少，厨房给单独煮粉吃。', '短评打分': 4}
{'短评内容': '环境很好，就在通天寨南门，餐厅可以吃，价格可以。外面也有个土菜馆，距离不远，设备旧了点', '短评打分': 4}
{'短评内容': '酒店位于通天寨旁边游玩很方便，我们去时是淡季吃东西不方便', '短评打分': 5}
{'短评内容': '还可以，位置比较偏', '短评打分': 4}
{'短评内容': '环境优雅舒适，下次一定再顾', '短评打分': 5}
{'短评内容': '淡季去的，还有订了每天唯一的优费房间，就是餐厅没人，只好在周边的小饭店就餐，在总台预定景区的门票还有优费。', '短评打分': 4}
{'短评内容': '周边环境很好，可以酒店设施不多，早餐显差', '短评打分': 4}
{'短评内容': '酒店就在南门景区旁边，周边环境很棒，停车方便，性价比很高，房间很大，床很舒服，吃早餐因客人少，需要现点现做的，服务各方面都不错。', '短评打分': 5}
{'短评内容': '环境挺好，在公园门口，但是房间硬件很一般，有点霉味', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店环境不错，但早餐就不行了，不如不含早，价格在实惠一点。', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '早餐虽然品种不多，但味道不错，包子皮有嚼劲，房间也很大，环境好，清幽', '短评打分': 3}
