{'descr': '第二次来，还不错。该有的都有，就是旧了点', 'star': 4}
{'descr': '位置不错，有户外停车场但位置不多，进了屋感觉够不上酒店的名头像个招待所一样，有空调但没遥控器，有小强，镜子正对床铺舒适感差，隔音不好。', 'star': 3}
{'descr': '床很大，空间很大', 'star': 5}
{'descr': '条件非常好，环境也很舒适', 'star': 5}
{'descr': '到底需要多少个字啊啊啊啊啊啊啊啊啊啊啊啊到底需要多少个字啊啊啊啊啊啊啊啊啊啊啊啊到底需要多少个字啊啊啊啊啊啊啊啊啊啊啊啊到底需要多少个字啊啊啊啊啊啊啊啊啊啊啊啊到底需要多少个字啊啊啊啊啊啊啊啊啊啊啊啊到底需要多少个字啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': '不错的酒店，性价比高。。。。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '价格合理，服务一般', 'star': 3}
{'descr': '价位还好，其他一般', 'star': 3}
{'descr': '服务很周到！很干净！下次还会再去', 'star': 5}
{'descr': '设施比较老', 'star': 4}
{'descr': '各种好，为了考试去哒，比旁边的如家连锁环境和方面超过好几个档次～如果没去过犹豫的小伙伴们直接去吧～比连锁还棒', 'star': 5}
{'descr': '一直住挺好。支持顶一下。。。。。。', 'star': 5}
{'descr': '环境优雅整洁明亮，暖气，热水都很好。', 'star': 5}
{'descr': '一直在那儿住，赶紧整洁，明亮。', 'star': 5}
{'descr': '还好了，经济实惠。\n那个圆床还有点特色的说。', 'star': 5}
{'descr': '宾馆设施不错，环境很好，卫生干净，是出行首选，下次来哈，还住这。', 'star': 3}
{'descr': '宾馆设施不错，环境很好，卫生干净，是出行首选，下次来哈，还住这。', 'star': 3}
{'descr': '挺有特色的，比较喜欢，但是床大的木有窗户，有窗户的床又太小了，要是大床的有床就更完美啦！', 'star': 5}
{'descr': '公司总部的同事来哈尔滨出差，帮忙预定的，反映还可以、经济实惠！', 'star': 5}
{'descr': '公司总部的同事来哈尔滨出差，帮忙预定的，反映还可以、经济实惠！', 'star': 5}
{'descr': '很喜欢这家酒店的环境  服务人员态度还不错  推荐一下', 'star': 5}
{'descr': '很喜欢这家酒店的环境  服务人员态度还不错  推荐一下', 'star': 5}
{'descr': '房间很干净  也很宽敞  很喜欢这里的环境  下次还会入住哦', 'star': 5}
{'descr': '房间很干净  也很宽敞  很喜欢这里的环境  下次还会入住哦', 'star': 5}
{'descr': '入住', 'star': 3}
{'descr': '入住', 'star': 3}
{'descr': '酒店感觉还不错，房间挺干净的', 'star': 3}
{'descr': '酒店感觉还不错，房间挺干净的', 'star': 3}
{'descr': '房间不错，环境也可以，可惜开窗时外边太嘈杂。前台服务人员有点少。服务能力需要加强。总体不错。要是能在这价格中含早餐就好了，12元的早餐有点不值。推荐', 'star': 5}
{'descr': '房间不错，环境也可以，可惜开窗时外边太嘈杂。前台服务人员有点少。服务能力需要加强。总体不错。要是能在这价格中含早餐就好了，12元的早餐有点不值。推荐', 'star': 5}
{'descr': '环境很好 就是本以为房间能上网的 结果只是一根网线而已', 'star': 5}
{'descr': '环境很好 就是本以为房间能上网的 结果只是一根网线而已', 'star': 5}
{'descr': '酒店空间设计很特别，居然是小二层，服务到位，不过卫生方面稍有欠缺，总体满意，谢谢！', 'star': 5}
{'descr': '房间干净利落，装修小有特色。我住的是标双，席梦思床比较松适，性价比适中。自选早餐品种不是很丰富。交通还算便利。', 'star': 5}
{'descr': '房间干净利落，装修小有特色。我住的是标双，席梦思床比较松适，性价比适中。自选早餐品种不是很丰富。交通还算便利。', 'star': 5}
{'descr': '很干净，距离会展中心很近，性价比很高。值得推荐！', 'star': 5}
{'descr': '很干净，距离会展中心很近，性价比很高。值得推荐！', 'star': 5}
{'descr': '干净，舒适，交通方便', 'star': 3}
{'descr': '干净，舒适，交通方便', 'star': 3}
{'descr': '环境很好  就是本以为房间能上网的  结果只是一根网线而已  其他都不错的', 'star': 5}
{'descr': '环境很好  就是本以为房间能上网的  结果只是一根网线而已  其他都不错的', 'star': 5}
{'descr': '房间很好，很浪漫，设施齐全，价格公道，各方面都不错', 'star': 5}
{'descr': '房间很好，很浪漫，设施齐全，价格公道，各方面都不错', 'star': 5}
