{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '发现了蟑螂。订的是大床房。结果给的是单人床的房间。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境差', '短评打分': 1}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '位置好燕大旁边，学生时代的炮房，现在发现条件真不怎么样啊，不过价格便宜', '短评打分': 3}
{'短评内容': '屋子小  环境差    电视小   无网络', '短评打分': 1}
{'短评内容': '离燕山大学很近，很方便，但是环境很一般，床单都是破的，而且不是特别干净，但是热水来得比较快，下次应该不会再住了。', '短评打分': 5}
{'短评内容': '电热水器24小时能用热水，有WIFI上网方便。', '短评打分': 4}
{'短评内容': '房子有点小，去了东西都没地放，电视太模糊了根本就不能看，不过周围吃饭比较方便！', '短评打分': 3}
{'短评内容': '真的太破了！！！', '短评打分': 2}
{'短评内容': '还挺好的，性价比还可以', '短评打分': 4}
{'短评内容': '卫生干净，五脏俱全，舒适方便，服务员态度很好。', '短评打分': 5}
{'短评内容': '地理位置优越，价格相对便宜，室内干净卫生，只是有少许潮味儿，只要开窗通风还算可以', '短评打分': 5}
{'短评内容': '装修太粗糙了，卫生还可以，可能是因为挨着学校，性价比不高，说不上是连锁规模的', '短评打分': 1}
{'短评内容': '比较干净，天气稍微有点潮，稍微有点吵。。。总体还不错的~', '短评打分': 5}
{'短评内容': '房间比较小，隔音确实不好。但是位置好而且价格便宜。', '短评打分': 5}
{'短评内容': '燕大门口附近，还算便宜，位置也比较方便，就是隔音不是很好，你懂的。。。。', '短评打分': 5}
