{'短评内容': '卫生间热水龙头是', '短评打分': 4}
{'短评内容': '有停车场，周边游玩的地方比较多！', '短评打分': 5}
{'短评内容': '酒店干净整洁', '短评打分': 5}
{'短评内容': '房间很大，空调很舒服', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店位置很好，周边吃的喝的玩的，应有尽有，交通也很方便！', '短评打分': 5}
{'短评内容': '地理位置很好，有停车场', '短评打分': 5}
{'短评内容': '房间住的特别舒适！前台小妹很热情！', '短评打分': 5}
{'短评内容': '房间很大特别是床！很舒服！', '短评打分': 5}
{'短评内容': '房间挺大的', '短评打分': 5}
{'短评内容': '房间大而敞亮，卫生干净，距离步行街步行5分钟。', '短评打分': 5}
{'短评内容': '位置很好，紧临步行街服务也不错，现在房间有配送雅具，因为是会员每次入住都可以领取赠送的睡前牛奶。', '短评打分': 5}
{'短评内容': '酒店房间干净，靠街的窗户很大上午拉开窗帘阳光透进来很是温暖。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境一般，房间有异味，没有早餐！', '短评打分': 3}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！  ', '短评打分': 5}
{'短评内容': '一般吧！不是最好！', '短评打分': 5}
{'短评内容': '周边环境一般，都不提供洗漱用品房间偏小很是一般', '短评打分': 3}
