{'短评内容': '非常好，宽敞明亮，还可以晾衣服。', '短评打分': 5}
{'短评内容': '老板人非常好，到客运站去接我们，走的时候又把我们送到客运站，还帮忙提行李，让我们对乌镇留下了美好的印象', '短评打分': 5}
{'短评内容': '酒店干净，性价比可以，房东超好人，都开车接送，超赞', '短评打分': 5}
{'短评内容': '房间很好，老板人更好，到车站接我们，然后第二天又送我们到车站，超给力的，还给我们指路。而且早上的时候也没有评论上说的那么吵。很好。', '短评打分': 5}
{'短评内容': '旁边是菜市场……早上五六点就吵的不行……简直崩溃……房间烟味很重……', '短评打分': 2}
{'短评内容': '客栈位置很好，到店老板说二楼就一个房间了还靠近市场有点吵，帮我们换成3楼的榻榻米房间，房间很好，会推荐给朋友', '短评打分': 5}
{'短评内容': '房间很舒适 设施也十分齐全 汽车站包接送 距离东栅西栅 步行过去都不远', '短评打分': 5}
{'短评内容': '外面看着不咋地，房间装修很不错哦，，，吃饭什么的也很方便，去老街转转更方便了，，很有味道的酒店！', '短评打分': 5}
{'短评内容': '还行吧，将就，没有第二次', '短评打分': 5}
{'短评内容': '家庭旅店，设施一般，但服务不错，车站到酒店都是老板接送的', '短评打分': 4}
{'短评内容': '房间条件一般，但老板人不错。', '短评打分': 5}
{'短评内容': '房间条件一般，但老板人不错。', '短评打分': 5}
{'短评内容': '房间条件一般，但老板人不错。', '短评打分': 5}
{'短评内容': '在小桥边，必须转到桥脚下，停车方便，但！五分钟步行路程处是一菜场！菜场！菜场！早晨四点开始菜场买卖！我天！如果习惯早起的无所谓！OK？！', '短评打分': 3}
{'短评内容': '非常便利，门口就可以停车，老夫妻经营的客栈，为了看西栅夜景，因时间紧凑，第二天一早就要返程，所以性价比不错。', '短评打分': 4}
{'短评内容': '圆床房超级美', '短评打分': 5}
{'短评内容': '房间地理位置还好，设施一般，到景点还是有点距离的', '短评打分': 5}
{'短评内容': '客棧離西柵很近，老闆也很親切，希望下次能再住！', '短评打分': 4}
{'短评内容': '老板和里面阿姨都超级热情，离景区近门口停车也不要收费。房间还可以。就是隔音差了一点。总之还算满意。', '短评打分': 3}
{'短评内容': '老板人很好 车站接送。房间古香古色 干净整洁 而且离景点很近 下次还会再来', '短评打分': 3}
{'短评内容': '离景区比较近，wifi不稳定，只能用自己流量，大致还满意', '短评打分': 3}
{'短评内容': '推荐，很不错的客栈，到乌镇汽车站到客栈有接送', '短评打分': 3}
{'短评内容': '店老板很热情，下次来还会选择这', '短评打分': 3}
{'短评内容': '客栈老板十分的热情 开车过来接的我们 客栈环境非常不错 硬件设施也很好 地理位置十分优越 到东栅步行5分钟 步行到西栅最多10分钟左右 非常不错的客栈 5星好评~~~~~', '短评打分': 5}
{'短评内容': '挺好的，环境还行，老板也还好热情，离景区也近，还算满意', '短评打分': 5}
{'短评内容': '店主很热情，亲自开车到车站接我们，不错，客栈还有电脑和WIFI使用，很赞！', '短评打分': 5}
{'短评内容': '老板人真的很好，洗衣服也方便。去景区也方便', '短评打分': 5}
{'短评内容': '酒店还不错，老板很热情，老板还免费去车站接送！', '短评打分': 5}
{'短评内容': '房间挺干净的。。 就在东栅边上。。 用老版的话说就是离东栅3分钟、西栅8分钟。。然后老板会开车到车站接送。。 挺好的。。 ', '短评打分': 5}
{'短评内容': '，环境还可以，不过跟网上图片有差距。', '短评打分': 3}
{'短评内容': '还好，就是地方小了点，还挺干净的，不过如果去乌镇，还是建议住在西栅的民宿里面。', '短评打分': 5}
{'短评内容': '老板好人，开车送我们买车票，一大早又起床送我们去坐车。', '短评打分': 5}
{'短评内容': '还算可以，不过相对同等标准的旅馆，贵了。不过老板很好人，一大清早就开车送我们去坐车，好，好人！', '短评打分': 5}
{'短评内容': '服務好 不錯', '短评打分': 3}
{'短评内容': '整体还不错  店里的人员很热情 都是去乌镇车站接送的 就是临马路近 有点吵 总体感觉还是不错的', '短评打分': 5}
{'短评内容': '挺不错的~和蔼的大叔去车站接的我们，我们住的二楼，房间十分干净。装修什么的也都蛮新的。到东栅西栅都不远~真心推荐啊！', '短评打分': 5}
{'短评内容': '当天到乌镇汽车站已经太晚了7点半左右，老板亲自开车接的，走路去西栅8-12分钟，很方便，房间呢不是太大，电脑房挺方便', '短评打分': 5}
{'短评内容': '房间环境不错，设施齐全，满意………………', '短评打分': 5}
{'短评内容': '老板人很好啊  开车接送 环境也很好啊  就是早晨时候有点吵', '短评打分': 5}
{'短评内容': '很完美，晚上很安静，就是浴室里只有2块毛巾', '短评打分': 5}
{'短评内容': '酒店很干净，老板人很好，去车站接我们去酒店，走的时候还送我们了', '短评打分': 5}
{'短评内容': ' 老板很热心，服务很好，环境还行，可以停车。', '短评打分': 3}
{'短评内容': '环境可以,有车接送,服务很好!', '短评打分': 3}
{'短评内容': '建议还是住西栅景区', '短评打分': 3}
{'短评内容': '服务态度好.......................................................................................................................................................................', '短评打分': 5}
{'短评内容': '老板人很好', '短评打分': 3}
{'短评内容': '客栈前台看上去蛮舒服的，房间还算干净 就是地上还有2个没扫掉的烟蒂。。。    空调里有异味。。    还有早上5点多  外面蛮吵的  都是卖菜的叫卖声。。。。 不过老板还好 蛮热情的。。。', '短评打分': 5}
{'短评内容': '老板很热情,担心我们不认识路,约好地点开车过来带路,客栈有家的确感觉,谢谢.', '短评打分': 5}
