{'短评内容': '蛮好的，服务态度真心很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体来讲还不错，不过夏天到了上午会限电，空调，开水壶都没有办法用，比较郁闷。因性价比高，总体还是推荐吧！', '短评打分': 5}
{'短评内容': '设施情况很一般吧。但是服务态度很不错。下次会选择好一点的。', '短评打分': 1}
{'短评内容': '还行，对得起价格', '短评打分': 3}
{'短评内容': '我是第一次入住的，价格很合理！房间环境还可以。因为我是经常出差的一个月要去很多城市，要用到网络工作，但刚入住就发现有些房间的网线形同虚设，坏了也不修理。如我刚入住就要换房间，而且换的还是一个很小的房间给我，太让我生气了。希望能改正！', '短评打分': 5}
{'短评内容': '价位很合适··空间也很大·下次过来还会入住·', '短评打分': 5}
{'短评内容': '空间很大·· 不错啊··这个价位很合适啊··', '短评打分': 5}
{'短评内容': '还算干净卫生  交通方便  物美价廉    巴拉巴拉', '短评打分': 5}
{'短评内容': '房间还一般 主要是卫生间卫生间味道比较大', '短评打分': 3}
{'短评内容': '距离桥南市场很近，就是吃饭的地方太少不方便，酒店的服务员态度很好，表扬一下。就是房间的窗户太小，有的靠走廊，很吵。', '短评打分': 5}
{'短评内容': '88元的房间没有窗户，另外屋里有些怪味。酒店服务态度很好', '短评打分': 5}
{'短评内容': '挺干净卫生的，性价比不错。上网速度很快有免费长途电话。最好自带洗漱用品，要不牙刷什么的是收费的。隔音不是太好', '短评打分': 5}
{'短评内容': '感觉不错，离市场很近哦，方便。价位可以接受，电脑房。', '短评打分': 5}
{'短评内容': '各种的消费档次\n不过也就这个性价比\n在桥南这个价也算是不错了 \n就是有点小  房间格局 有点简约 \n电视还是大本头   唉   找个液晶的不容易啊不容易  什么时候换成液晶的呢', '短评打分': 5}
{'短评内容': 'kjgjkghgjkgkjgkjgjk;kkl', '短评打分': 5}
{'短评内容': '住了两晚，第一晚空调呼呼响，第二天换房了，但是空调也有异响，真怪，其它的地方还好，价格实惠倒是，也好找，到桥南市场就行了！', '短评打分': 5}
{'短评内容': 'sdfgsdgsdgsdgsdsdgfsdfsdg', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 3}
{'短评内容': '比较好找的酒店，位置不错，出行也方便，酒店好像开业没多长时间，硬件设施比较新，也比较齐全，服务很好，出门就有公交车，蛮方便的', '短评打分': 5}
{'短评内容': '酒店房间还可以，比较宽敞，前台服务不错，很周到热情，卫生条件还可以，其他都一般', '短评打分': 3}
{'短评内容': '房间面积比较大，很宽敞，住宿环境不错，蛮安静的，房间设施一般，住宿条件还可以', '短评打分': 3}
{'短评内容': '酒店位置不错，周边交通出行还是很方便的，性价比蛮高的，房间卫生条件不错，打扫的很干净，服务很好，蛮到位的，其他都一般', '短评打分': 3}
{'短评内容': '房间里卫生条件不错，打扫的很干净，浴室的硬件设施很齐全，洗澡水水温也很合适，水量大，前台服务很好，周到热情，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店地理位置不错，出行方便，附近有个超市，买东西方便，前台服务员很热情周到，卫生条件很好，蛮干净的，房间里还可以上网，很方便', '短评打分': 5}
