{'短评内容': '很好很舒适', '短评打分': 5}
{'短评内容': '酒店位置还可以 是我目前为止在泉州住的还算不错的酒店了处于商业街，晚上比较热闹，就是卫生不是很干净.', '短评打分': 5}
{'短评内容': '前台热情', '短评打分': 5}
{'短评内容': '酒店位置还可以吧，处于商业街，晚上比较热闹，就是卫生不是很干净，刚进去要打开电视，电视屏幕全部是水印，一般般吧', '短评打分': 5}
{'短评内容': '值得分享', '短评打分': 5}
{'短评内容': '吧', '短评打分': 5}
{'短评内容': '还不错，环境挺好的，房间也挺大的', '短评打分': 5}
{'短评内容': '超值，感觉非常好。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '主要方便，下面杂吵', '短评打分': 4}
{'短评内容': '周边购物，餐饮齐全，这个价格，这样很好了', '短评打分': 5}
{'短评内容': '这个价格就这样了，出差还是可以住的。', '短评打分': 5}
{'短评内容': '卫生挺好，价格实惠，服务周到，周边逛街吃饭很方便。', '短评打分': 5}
{'短评内容': '多次入住了，挺好的。很方便', '短评打分': 3}
{'短评内容': '环境一般般，停车很不方便', '短评打分': 3}
{'短评内容': '公交车挺多就是不属于市区了', '短评打分': 3}
