{'短评内容': '一个字 差', '短评打分': 1}
{'短评内容': '习惯五星', '短评打分': 5}
{'短评内容': '不明很好有点坑', '短评打分': 1}
{'短评内容': '环境好卫生干净房间大', '短评打分': 5}
{'短评内容': '环境好卫生干净服务也好', '短评打分': 5}
{'短评内容': '谁住谁知道', '短评打分': 1}
{'短评内容': '没有前台 ！给的地址最后房号少一位！招牌的影子都没有！！！？订单下了还没发退单！ 90块就这样不见了，还要在拖着行李再找房子', '短评打分': 1}
{'短评内容': '适合夏天住～冷', '短评打分': 3}
{'短评内容': '还不错，就是感觉卫生间有点简陋', '短评打分': 5}
{'短评内容': '酒店在一家公寓楼上 空间非常大  但是感觉不安全  还有人敲门 吓尿了 凑合住了一晚上', '短评打分': 3}
{'短评内容': '床太硬，房价是商品住宿改造的，简陋', '短评打分': 3}
{'短评内容': '位置挺好。至于其他就太一般了，好像连个打扫卫生的都没有，东西还特别旧。楼道没有灯，看着阴森森的。', '短评打分': 3}
{'短评内容': '体验较为差劲。前台还好，保洁服务极差。4晚入住。每天都让打扫仅打扫一次。。此酒店空间房间较大，但内部卫生堪忧。综上，差评。', '短评打分': 3}
{'短评内容': '差的没话说服务态度差房间差', '短评打分': 3}
{'短评内容': '居家式的酒店，位于未央路上，房子干净，交通便利，环境也好，但是不推荐，因为我找这个酒店找了2小时才找到，没有任何标志，你就是站在酒店楼下都不知道它在哪，出租车司机也不知道。。。而且这个价位找同等条件的酒店很轻松', '短评打分': 1}
{'短评内容': '房子面积挺大的，有阳台，厨房的，但是有点冷，还有就是洗手间是电热水器还没怎么洗呢就没热水了。', '短评打分': 3}
