{'短评内容': '地理位置还可以，后面就是沃尔玛', '短评打分': 4}
{'短评内容': '酒店所在地理位置不错，周边的交通十分的便利，吃饭也比较方便，酒店里的卫生环境有待改善，早餐品种较少，', '短评打分': 3}
{'短评内容': '酒店所在地理位置不错，周边的交通十分的便利，吃饭也比较方便，酒店里的卫生环境有待改善，早餐品种较少，', '短评打分': 3}
{'短评内容': '酒店所在地理位置不错，周边的交通十分的便利，吃饭也比较方便，酒店里的卫生环境有待改善，早餐品种较少，', '短评打分': 3}
{'短评内容': '酒店所在地理位置不错，周边的交通十分的便利，吃饭也比较方便，酒店里的卫生环境有待改善，早餐品种较少，', '短评打分': 3}
{'短评内容': '极差，没水，房间有蟑螂，无线网络不好，电视小，有蚊子不提供蚊香', '短评打分': 5}
{'短评内容': '老牌酒店了，住了好几次，很不错，离火车站很近', '短评打分': 4}
{'短评内容': '一般般了！说的过去', '短评打分': 4}
{'短评内容': '没去成，白送了房费。酒店确定了我的入住信息，又不能退，哎。算了。毕竟是自己的原因导致没成功去成。', '短评打分': 4}
{'短评内容': '环境优美。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '餐厅服务不好，但酒店后续处理还好', '短评打分': 5}
{'短评内容': '房间隔音不太好，听了一晚爱情动作片，其他都非常满意。', '短评打分': 5}
{'短评内容': '无论硬件软件都很不错 早餐也很不错 下次去还会预定此酒店', '短评打分': 5}
{'短评内容': '不错，服务等一切还ok，下次还会去住，就是价格有点稍微高啊', '短评打分': 5}
{'短评内容': '餐厅不够专业，宾馆住着挺舒服的。', '短评打分': 3}
{'短评内容': '前台服务员服务态度非常好，交通便利\n早餐还行', '短评打分': 5}
