{'短评内容': '环境好，房间很干净，价格实惠', '短评打分': 5}
{'短评内容': '环境真心不错，能让你住进去就不想走的感觉。', '短评打分': 5}
{'短评内容': '房间设施都很新，感觉挺干净的，住了3晚，晚上没人吵睡的还不错，就是电视的声音时大时小', '短评打分': 5}
{'短评内容': '酒店还不错，就是有点远。', '短评打分': 5}
{'短评内容': '独自旅游', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境很好，交通也便利。', '短评打分': 5}
{'短评内容': '环境优雅，闹中取静，服务态度很好。', '短评打分': 5}
{'短评内容': '客栈环境很棒，适合第一次来大理同是需要去火车站前往其他城市的。距离火车站7分钟车程。离洱海公园和大理港不过10分钟，白天或者晚上去看看风景都超级棒。交通和位置都很好。客栈很干净，东西很齐全。周围是一个高楼小区所以安全不用担心。', '短评打分': 5}
{'短评内容': '干净，热水太慢，比较偏僻。', '短评打分': 4}
{'短评内容': '老板还可以～就是旁边有工地～挡住视线，而且比较难找～冬天来可以，老板准备了电热毯！', '短评打分': 4}
{'短评内容': '环境一般，位置比较偏僻。', '短评打分': 2}
{'短评内容': '位置稍偏，但老板热情周到，环境卫生安逸！', '短评打分': 5}
{'短评内容': '酒店很一般，但是价格比较便宜。', '短评打分': 3}
