{'descr': '房间大，干净，视野开阔，总台服务和早餐很一般', 'star': 5}
{'descr': '每次来都住这里，空间大，床什么时候能软点啊', 'star': 3}
{'descr': '酒店不错，楼下就是商业区，濒临海河旅游景点，乘船乘车都很方便，就是早餐单薄了点。', 'star': 5}
{'descr': '空间绝对没说的，这也是这么多次都住这的原因，但是床有点咯得慌，卫生间味道比较大的问题一直没解决', 'star': 3}
{'descr': '很失望的酒店，房间卫生差，设施简陋，服务差。床单上还有没洗掉的血迹，看之前有入住的人说床硬，我想我连硬板床都能睡，应该没问题，但是床可不是单纯的硬啊，不知道底下是什么一楞一楞的，太镉了，像睡在竹筏上。卫生间味道太重，隔音差，汽车喇叭声，公共汽车报站的声音听的一清二楚。早餐很差劲。再也不会入住了。', 'star': 1}
{'descr': '房间宽敞干净，上网速度也很快，住着很是舒服，值得推荐！', 'star': 5}
{'descr': '房间很大，很干净，但家具有些陈旧，没有免费的一次性牙刷，早餐有除炒饭可以，其他有待提高。', 'star': 1}
{'descr': '第二次住了，房间比较宽敞，服务态度也不错。', 'star': 5}
{'descr': '环境还好，性价比还可以', 'star': 3}
{'descr': '很烂，准备退房！', 'star': 3}
{'descr': '环境不错，挺满意', 'star': 3}
{'descr': '地理位置很好，紧邻海河外滩。周围吃饭也很方便，房间比较宽敞，干净。', 'star': 5}
{'descr': '服务较好，硬件设施一般，早餐有待增加品种。', 'star': 3}
{'descr': '大家不要去 大半夜有人推我门 说是服务人员 你信么', 'star': 3}
{'descr': '酒店地理位置比较好,房间设施太旧太脏.从标间换了间豪华房结果都一样,晚上穿衣服睡了一宿,第二天一早赶紧撤了.床上的靠垫特脏还不如别放.', 'star': 1}
{'descr': '酒店真的不怎么样，服务员爱答不理的，而且宽带没法用，打电话两次叫酒店网管维修一直在应付我，后来居然说网管在外面，回不来了，然后又说什么网管下班了，修不了。设施也比较旧，床垫很硬，躺着都能感觉到弹簧了，千万不要来住这里。', 'star': 1}
{'descr': '外滩公园边上的一家酒店，价位适中，交通方便，窗户很大，窗外美景可尽收眼底。房间大的略显空旷，感觉不够温馨。', 'star': 5}
{'descr': '房间比较大，但是洗澡用具没有也就罢了，毛巾好旧啊', 'star': 1}
{'descr': '实在是很悲催的酒店。290多的圆床间，完全就是100块的招待所的水平，也就是房价大点儿。房间的所有设施都惨不忍睹，更过分的是房间的隔音效果也很差，隔壁的讲话都听得见。更可恶的是，临街车也很嘈杂，早上6点就开始叫床了。早餐基本上比如家还不如，可以自己想象。除了地理位置还比较方便，可以说其它都是一塌糊涂，完全没有任何性价比', 'star': 1}
