{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '挺不错的……出差还可以', '短评打分': 5}
{'短评内容': '酒店地理位置很好', '短评打分': 5}
{'短评内容': '酒店地理位置不错。', '短评打分': 5}
{'短评内容': '早餐一般，酒店位置蛮便利的', '短评打分': 4}
{'短评内容': '还行吧总体', '短评打分': 4}
{'短评内容': '太老旧了，啥都太差……太老旧了，啥都太差……太老旧了，啥都太差……太老旧了，啥都太差……太老旧了，啥都太差……真的太差劲了，早餐啥都是一点点还是凉的粥。', '短评打分': 3}
{'短评内容': '干净卫生服务热情', '短评打分': 5}
{'短评内容': '周边环境不错 吃住行比较方便 离西塘有点距离 自驾的话比较方便', '短评打分': 4}
{'短评内容': '可以，周边也行good goodgood goodgood goodgood goodgood good', '短评打分': 4}
{'短评内容': '酒店脏乱差，家具的木头都烂掉了，宾馆没有热水，价格还死贵，200元。这也就罢了，电脑费另外收30，还不算在房费里，最要命的是还开不了发票。强烈建议大家不要入住该酒店。', '短评打分': 2}
{'短评内容': '环境、卫生较好', '短评打分': 5}
{'短评内容': '拖鞋不是一次性，卫生不好，前台服务态度非常差', '短评打分': 2}
{'短评内容': '不是一般的。                       差。', '短评打分': 3}
{'短评内容': '感觉不咋地，卫生间里马桶无法用，真受不了！', '短评打分': 3}
{'短评内容': '酒店房间挺大，就是装修旧了点！地毯也有点脏，连一次性拖鞋都不提供！', '短评打分': 3}
{'短评内容': ' 床真的好硬，像是木板床，其它的一般！', '短评打分': 3}
{'短评内容': '服务态度差，加条被子还收十元，早餐四个人吃了三个拉肚子。', '短评打分': 1}
{'短评内容': '已入住，环境很好，房间挺大！挺满意', '短评打分': 3}
{'短评内容': '不错，环境不错', '短评打分': 3}
{'短评内容': '地理位置不错，是很多公交车的终点站，交通很方便，其它的对于商务酒店来说感觉一般~', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 3}
{'短评内容': '酒店卫浴是固定的淋浴洒花，如果是手提式的会更好，房间面积大，床的硬度刚好，住得舒服。', '短评打分': 5}
{'短评内容': '前台有个女的服务态度非常恶劣。但房间卫生，面积给力。', '短评打分': 5}
{'短评内容': '开始入住的房间面积较少，但了解情况后，换了个大房间，住得舒服。', '短评打分': 5}
{'短评内容': '酒店环境可以，就靠路边晚上有点吵，但不影响睡觉，房间够大，住得舒适。', '短评打分': 5}
{'短评内容': '酒店位置明细，很容易找到，但离市区有点距离。', '短评打分': 5}
{'短评内容': '推荐入住6楼的房间，因为走廊有地毯，相对安静些，而且房间也会好些。', '短评打分': 5}
{'短评内容': '房间面积够大，晚上睡觉也舒服，网速给力。', '短评打分': 5}
{'短评内容': '入住酒店13天，住得舒服，睡得香，不错的酒店。', '短评打分': 5}
{'短评内容': '入住标间房间面积够大，干净卫生，网络速度快，靠近马路晚上有点噪音，但不影响睡觉。', '短评打分': 5}
{'短评内容': '很好 很划算 这次西塘吃住玩都很开心啊~', '短评打分': 5}
{'短评内容': '床太硬，房间比较大！总体感觉还不错！', '短评打分': 3}
{'短评内容': '订的是单人房，性价比不错，酒店卫生搞得蛮好，房间面积也大，空调给力，热水放一放也给力。唯一不足就是床上无垫被，席梦丝上就铺着床单，睡着冰凉，只好打电话让前台加床被子，可是要加十块钱。这点就有些不合理。有免费早餐，品种还算丰富。', '短评打分': 5}
{'短评内容': '还不错，挺宽敞的呵呵。就是隔音效果不是很好。门口有很大的缝隙呵呵。晚上还听到楼上人说话的声音。。。', '短评打分': 5}
{'短评内容': '除了不隔音之外，其他还好的。比较新。\n除了不隔音之外，其他还好的。比较新。', '短评打分': 5}
{'短评内容': '已经第三次住了。感觉不错。每次去都住那里。', '短评打分': 5}
{'短评内容': '环境很干净，价位也很合理，送的早餐不理想，位置有点偏，总体感觉过的去！', '短评打分': 5}
{'短评内容': '总体上还是很满意的 性价比算是很高了 特别是在节假日到西塘去玩的人', '短评打分': 5}
{'短评内容': '满好的 酒店也满新的 还不错吧，打个车到车站也不远 房间也满大的 价钱也不贵的 ', '短评打分': 5}
{'短评内容': '房间还不错，只是还有提升的空间。在目前的价位下，算是比较合算的了！', '短评打分': 5}
{'短评内容': '位置稍微偏了一些周围不是太热闹还是比较安静的那种，酒店里面还行房间也是挺大的也很干净，服务态度还挺不错的，价格也是比较适中的，感觉还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不适合商务，设施一般，早餐一般', '短评打分': 1}
