{'短评内容': '嗯嗯嗯嗯嗯哦微信我哦哦哦哦哦我哦', '短评打分': 5}
{'短评内容': '位置比较骗，还好我自驾，堵了好一阵，里面环境不错，周末人也不多。', '短评打分': 4}
{'短评内容': '泡温泉不错，吃饭什么的不太好。', '短评打分': 4}
{'短评内容': '总体来说性价比还可以', '短评打分': 4}
{'短评内容': '无论淡季、旺季，南泉会都会让你彻底放松一下！好喜欢！', '短评打分': 5}
{'短评内容': '离主城近，温泉、环境较好。早餐、服务一般，价格太贵。性价比一般。', '短评打分': 4}
{'短评内容': '以前来觉得很不错，现在感觉维护得很差，房间很旧，服务员态度很不好爱理不理。', '短评打分': 3}
{'短评内容': '摆了麻将机没得麻将，还要收100元一小时，太不地道了！本来别墅价格就不便宜了，小气！', '短评打分': 4}
{'短评内容': '不错的环境，还送了温泉票，室内也有', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '曾经美好的酒店，硬件老化，软件每况愈下……可惜了……', '短评打分': 3}
{'短评内容': '适合一家人同去，汤屋送两张温泉票，可惜晚10点就关门，个人觉得至少应该营业到晚12点。还有餐厅菜品太少了，还好味道及格', '短评打分': 5}
{'短评内容': '适合一家人同去，汤屋送两张温泉票，可惜晚10点就关门，个人觉得至少应该营业到晚12点。还有餐厅菜品太少了，还好味道及格', '短评打分': 5}
{'短评内容': '车库入口设计太不合理，出入一个车道，门口和车库没有任何人指引，电梯也没有任何标志，周边应该是在打造古镇的感觉，所以吃饭极不方便，前台服务还好，房间里面没有写字台', '短评打分': 4}
{'短评内容': '不错的酒店，还会再去的.美中不足就是房间里的乳胶漆味道太浓了。', '短评打分': 5}
{'短评内容': '房间一般,价格太贵', '短评打分': 3}
{'短评内容': '好地方，漂亮、干净、舒服。', '短评打分': 3}
{'短评内容': '   酒店坐落在重庆市区以南20多公里的南温泉公园内，占地并不大，公园内森林茂密空气清新，尤其雨后更是令人心旷神怡，这没的说，但酒店周边环境就不尽如人意了，散落着村庄有很多农家乐，条件也比较差，公路上的汽车过来过去比较的吵，在酒店呆着不出去是一个很好的选择。南泉会比较适合一家人或情侣来此休闲度假，当然重庆比这好的地方还有，如北培的柏联、悦榕庄，只是这里的性价比比较的高，不愿意花很多钱的人选择这里是', '短评打分': 5}
{'短评内容': '国庆期间入住这家酒店，酒店在山林之中修建，环境非常漂亮，房间设施都非常新，房间内就有一个汤池，随时都可以泡温泉，室外的温泉池也不错，一家人在一个小池里泡温泉那感觉太美妙了，酒店外面有一家土鸡馆味道非常好，酒店早餐不够丰富，但很安静，大假期人都很少，是放松心情的好地方！', '短评打分': 5}
{'短评内容': '从前到南温泉免不了要到铧园去玩玩电动车、打气球、坐过山车之类的小游戏，而今，这里已变成一座郁郁葱葱的养生庄园——南泉会，五月与几位久居国外的同学故地重游，让我们感到轻松自在，一则是享受叙旧的快乐，另一则便是感受南泉会的山、水、泉、瀑环境的优美，水中修建的房屋与周围的绿，天上的蓝混为一体，森林中高耸的空中走廊连接大大小小的独栋别墅，别墅后院的温泉汤池让我难以忘记，住的很是舒适！', '短评打分': 5}
{'短评内容': '谢谢你，第一次在网上定酒店。', '短评打分': 3}
