{'短评内容': '红楼', '短评打分': 5}
{'短评内容': '位置很好闹中取静，晚上还送了热牛奶，服务超赞！早餐也不错，品种比较丰富，卫生间干湿分开，很人性化，去土司城很近。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '这个酒店非常不错，有停车场，也很上当次', '短评打分': 4}
{'短评内容': '这家除了在电力里面，不方便出来 其他都挺好的 早晨不错', '短评打分': 5}
{'短评内容': '很有特色酒店。。在市区很方便', '短评打分': 5}
{'短评内容': '东西很好 物流给力 下次还来', '短评打分': 5}
{'短评内容': '老顾客了，方便舒服', '短评打分': 4}
{'短评内容': '上个街走很远', '短评打分': 4}
{'短评内容': '虽然给了五星，但服务还是差强人意。期待进步。', '短评打分': 5}
{'短评内容': '环境好，位置好。很不错。', '短评打分': 5}
{'短评内容': '设施老旧...', '短评打分': 3}
{'短评内容': '值得推荐。', '短评打分': 5}
{'短评内容': '开始有点埋怨酒店不在马路边稍偏僻了，不过住在里面发现安静得很，景色有点柳暗花明的感觉。', '短评打分': 5}
{'短评内容': '性价比好，酒店后面有个花园，周围吃饭的地方也很多！', '短评打分': 4}
{'短评内容': '酒店很古典，很不错，也很安静，不错的酒店', '短评打分': 5}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！', '短评打分': 4}
{'短评内容': '酒店的位置在里面,马路上没有标志,不太好找,本人我准备带有小孩去游泳的,谁知游泳池是对外营业的,对我们住店的也要收费,池水很脏又冷,没办法下去,周边吃饭也不方便,', '短评打分': 1}
{'短评内容': '酒店装修很有特点，古式楼阁很大气。房间也比较大，就是有些潮。这样的价格性价比真不错！', '短评打分': 5}
{'短评内容': '酒店不在路边，进出通道在维修，进出酒店大门很不方便。', '短评打分': 5}
{'短评内容': '酒店很好。就是难找。外面的门牌字不显眼。', '短评打分': 3}
{'短评内容': '环境不错，有独立的院子，停车场比较大，比较遗憾的是室内游泳不开放。', '短评打分': 5}
{'短评内容': '酒店依山而建，红色的外表，内部装修一般，早餐一般。', '短评打分': 5}
{'短评内容': '酒店旧，热水很不稳定，空调效果还不错。', '短评打分': 3}
{'短评内容': '酒店很好很大，有山有湖有别墅，可申请五星', '短评打分': 3}
{'短评内容': '酒店临山而建，装修豪华，随时都有当地领导出入，估计是当地最好的宾馆吧，价格也很合理，不错！', '短评打分': 5}
{'短评内容': '宾馆干净，装修很好，服务热情，就是难找了点，因为过年，早餐部怎么样。网速也很快。总体觉得不错', '短评打分': 5}
{'短评内容': '<恩施富源国宾酒店>是电力公司下属企业，在距离主马路600米远一大院内，酒店外观新颖别致，房间也大，早餐还好。', '短评打分': 5}
{'短评内容': '环境优美，设施好！性价比高！早餐也不错！', '短评打分': 5}
{'短评内容': '住不住该酒店是你的自由，反正我还会入住该酒店。借此点评特别感谢胡姓小妹（不好意思）将我遗忘的手机设法送回，非常感谢。', '短评打分': 5}
{'短评内容': '第一次去的不好找，大厅很热闹，也可以说是闹哄哄。好像是办公楼改的，房间布置有点业余。停车场挺大。', '短评打分': 1}
{'短评内容': ' 酒店不错', '短评打分': 3}
{'短评内容': '位置不错，距离夜市很近，当然城市也很小，打车才3块。很安静的酒店，服务也很热情，不错。', '短评打分': 5}
{'短评内容': '硬件设施还不错。自助早餐也很好。不过价格是越长越高了。总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店环境很宁静雅致，安全方面也很到位！', '短评打分': 3}
