{'短评内容': '客房服务员做卫生有点差：老是不仔细：到处随便收拾收拾', '短评打分': 5}
{'短评内容': '前台服务员服务很好', '短评打分': 5}
{'短评内容': '前台服务员服务态度很好', '短评打分': 5}
{'短评内容': '就是床单被套太烂了', '短评打分': 1}
{'短评内容': '这个酒店房间大小不同，在十一期间价格差异不大，酒店的装修时间稍微有点长，但整体还能说过去，整体性价比还不错', '短评打分': 4}
{'短评内容': '酒店有点老，但是还行，性价比还可以，隔音不太好，楼道比较窄，服务员还行，总之，在十一能顶上房间就不错～～', '短评打分': 4}
{'短评内容': '房间隔音效果太差', '短评打分': 3}
{'短评内容': '房间味道挺重', '短评打分': 4}
{'短评内容': '房子一点都不隔音，外面的人说话走路听的一清二楚，根本无法入睡，感觉价钱和房间不成正比，唯独吧台服务挺好，别的真的很一般。', '短评打分': 3}
{'短评内容': '吾消费京东商城数年，深知各产品琳琅满目。然，唯此宝物与众皆不同，为出淤泥之清莲。使吾为之动容，心驰神往，以至茶饭不思，寝食难安，辗转反侧无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾之所有而能买。东哥之热心、快递员之殷切，无不让人感激涕零，可谓迅雷不及掩耳盗铃儿响叮当仁不让世界充满爱。待打开包裹之时，顿时金光四射，屋内升起七彩祥云，处处皆是祥和之气。吾惊讶之余甚是欣喜若狂，呜呼哀哉！此宝乃是天上物，人间又得几回求！遂沐浴更衣，焚香祷告后与人共赏此宝。人皆赞叹不已，故生此宝物款型及做工，超高性价比之慨，且赞吾独具慧眼与时尚品位。产品介绍果然句句实言，毫无夸大欺瞒之嫌。实乃大家之风范，忠义之商贾。', '短评打分': 5}
{'短评内容': '房间还不错 就是小贵', '短评打分': 5}
{'短评内容': '没有印象了～', '短评打分': 3}
{'短评内容': '比较差的房间', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很干净卫生，服务也非常到位，值得推荐，欢迎入住', '短评打分': 3}
{'短评内容': '房间设施挺新的，也挺干净，房屋空间大，豪华标间有电脑，这个价位很合适', '短评打分': 3}
{'短评内容': '各方面全部非常的ok.服务态度非常好。订的单间，结果给开了标准间。同样的价格。老板非常的好客，价格也是住过中卫最实惠，性价比最高的了。来不及拍照片。星级标准，亲民的价格。好评，下次还会入住', '短评打分': 5}
{'短评内容': '设施比较陈旧，卫生间淋浴水量不大。', '短评打分': 3}
{'短评内容': '环境一般，位置较好，离沙波头17公里', '短评打分': 3}
{'短评内容': '第二次入住，新换了大尺寸电视，前台态度还好，房间卫生间很大，就是楼层不高，旁边居民区白天有点吵', '短评打分': 3}
{'短评内容': '挺不错的！价格合理！离火车站不远，离市中心也不远，总体感觉不错！', '短评打分': 5}
{'短评内容': '酒店不错,挺新的,就是早上服务员叫早的时候耽误了,理由是表有问题了,很不理解,酒店叫早表居然也能出问题.', '短评打分': 5}
