{'短评内容': '比较一般吧', '短评打分': 4}
{'短评内容': '酒店不错 很好', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '房间住宿很舒服，早餐一般。', '短评打分': 5}
{'短评内容': '离延庆城区比较近，开车去龙庆峡不堵车大约半小时，服务不错，工作人员友善也比较专业。占地不小，住在6号楼，外围很安静，只是困惑：商务间居然没有赠送的矿泉水，也没有抽纸巾。然后房门隔音效果奇差，幸好隔壁没有昼伏夜出的', '短评打分': 4}
{'短评内容': '外部环境不错，就是旧楼的房间设施很旧，房间物品比较脏', '短评打分': 5}
{'短评内容': '夏天住，还不错！', '短评打分': 4}
{'短评内容': '设施陈旧，服务一般。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置很好找，旁边有个夏都公园，游玩也较为方便。  个人觉得价钱偏贵，入住时正好赶上院子装修。  ', '短评打分': 5}
{'短评内容': '酒店房间不大，也没什么人住，房间设施老旧', '短评打分': 3}
{'短评内容': '房间大，在延庆县城开车出去几分钟很多商业，周围吃饭方便，但是房间设施比较陈旧。', '短评打分': 3}
{'短评内容': '位置很好，新酒店环境不错就是还在装修，不影响入住。', '短评打分': 5}
{'短评内容': '不好，不卫生，冷', '短评打分': 2}
{'短评内容': '夏都就是不错，安静。', '短评打分': 5}
{'短评内容': '挺好的，房间空间比较大；\r\n舒服而且干净；\r\n价格也基本可以接受。', '短评打分': 5}
{'短评内容': '总的来说还不错，就是说是五星的级别住标间实在感觉不出来价太高280，离城区有些偏远，有车还行，前台服务不错，总体还可以，希望价格还是不要太虚高了120到160比较可以接受', '短评打分': 1}
{'短评内容': '虽然不在中心区域，但就坐落在公园旁边，很安静，开车去的话还是很好的地方，还赠送晚上运动健身区域的券。早餐也不错。值得推荐，休闲住宿。', '短评打分': 5}
{'短评内容': '酒店服务很细心，前台有延庆各景点的路线（小纸条），早餐油条不错。', '短评打分': 3}
{'短评内容': '3号楼既安静又整洁 中式早餐衫管饱 只是38元 不值', '短评打分': 3}
{'短评内容': '房間挺干浄，早餐太一般', '短评打分': 3}
{'短评内容': '整体感觉还不错,比预期的要好很多。还送了两个小时的娱乐卷,用于锻炼 健身。就是刚一来床头灯就坏了,不过修理的很及时。厕所稍微有点小,到不影响大局,下次有机会还会选这。早饭还要明天才知道如何。', '短评打分': 3}
{'短评内容': '我选的是这家酒店的一号楼的标准间，280元价格很实惠，但内容感觉是超值的，房间干净就是稍小一些，但这不妨碍整体感觉，环境不错。只是很不巧的是泳池在维修不能使用。每次出行我都必定要选有游池的酒店，早知不能用，可能就不会住这里了。', '短评打分': 5}
{'短评内容': '宾馆地点较好，公园旁边。房间过小，早餐比较差。', '短评打分': 1}
