{'短评内容': '不错！比想象中的好许多，下次去还会选择他们家\n', '短评打分': 5}
{'短评内容': ' 七星环境还行~出租司机师傅也知道地方.离方特就大概步行五分钟路程 马路对面就有吃早点的摊子.住宿条件还行 可惜我那个房间防盗锁坏了', '短评打分': 3}
{'短评内容': '房间大，但洗浴设施太差', '短评打分': 3}
{'短评内容': '房间很大、晚上有点冷、经济实惠、服务态度不错', '短评打分': 5}
{'短评内容': '环境还好，服务一般，没有早餐，经常有人塞小卡片，比较讨厌！', '短评打分': 5}
{'短评内容': '还不错。房间比较大。阳光足！下次去芜湖的话，还是住哪里', '短评打分': 5}
{'短评内容': '充分体现了客户至上的理念，服务到位。\n建议：空调温度最高为25度，应客户可自行调节。', '短评打分': 5}
{'短评内容': '我们是马鞍山的学生，这个假期自己去方特玩，选择的是这个酒店。感觉整体挺不错的，离方特步行也就几分钟的路程而已，离大型购物广场、超市之类的也很近。是在一个院子里的，所以晚上也很安静。房间里有空调、电热水壶等等。还可以代买方特的门票，不过他们代卖是165，不算很便宜吧，我找别人买的只要150。里面的空调制冷效果不错，里面的环境比较干净卫生；在店里服务员的态度不错，我住的房间里面没有电脑但有网线，并且可', '短评打分': 5}
{'短评内容': '住的比较舒服，空间大，床较小，空调不是很暖，下次来芜湖还是会选择。 \n', '短评打分': 5}
{'短评内容': '性价比比较高，离方特欢乐世界很近，建议去方特玩的人可以入住', '短评打分': 5}
{'短评内容': '位置不错，条件不错，地面是瓷砖的有点凉，离方特步行500m', '短评打分': 5}
{'短评内容': '酒店房间空间比较大，坏境比较好，而且在方特旁边。下次还会入住！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，房间隔音效果好，晚上睡觉时不会受到干扰。设施有点陈旧，服务态度不够亲切。总体感觉还不错。', '短评打分': 3}
{'短评内容': '环境不错，但是网络有点问题', '短评打分': 3}
{'短评内容': '蛮好的，以后还会来住，建议房间里放一些餐巾纸，', '短评打分': 5}
{'短评内容': '不错，性价比高，建议房间里放一点餐巾纸！', '短评打分': 5}
{'短评内容': '基础设施一应俱全，价格实惠。就是没有电脑。', '短评打分': 5}
{'短评内容': '很一般，没有网上说的那么好！也没有网上的图片好！给人的第一感觉不行！', '短评打分': 1}
{'短评内容': '性价比高，停车方便，距方特步行只要5分钟。', '短评打分': 3}
{'短评内容': '此酒店还不错，性价比比较高，环境还可以，设施齐备。', '短评打分': 5}
{'短评内容': '1、停车位多，交通便利，毗邻大型商业广场欧尚；\n2、房间设备齐全，空间够大，光线充足，通风效果佳；\n3、价格公道，美中不足就是客房陈旧，设备稍微老化；\n推荐给大家了  满意的是热水器水量很大', '短评打分': 5}
{'短评内容': '房间空间足够，服务还不错吧，硬件稍微差点，但是打折价格就还基本等值了，哈哈。。。卫生用品真的是应该换新的了，空调也不太制热，网速太慢，是我住过的所有快捷酒店最慢的，什么工作也做不了，能看网页不能下载，晕啊。。。只住一天，可以啦。都不容易，继续努力吧。', '短评打分': 1}
{'短评内容': '服务差！卫生也不干净！以后不会再住？', '短评打分': 3}
{'短评内容': '环境不错，停车很方便，特别是到方特很近，过街就有个快餐厅，吃饭也很方便哦！', '短评打分': 5}
{'短评内容': '单人间房间很大，配置很好，才100元，很值！', '短评打分': 5}
{'短评内容': '感觉很好的。离方特近而且酒店代售门票。价格合理', '短评打分': 5}
{'短评内容': '空间挺大，比较简洁，性价比不错，而且周边吃饭的地方提多', '短评打分': 5}
{'短评内容': '酒店其实还马虎，首先是地理位置不太好，比较偏僻，周边除了卖车的店外就没其他的了。另外就是酒店里面的隔音效果不好！！！连隔壁看电视的声音都能听到，早上一大早就被搞卫生的吵醒。还有就是房间的厕所不行，灯光不好，且门也坏的，厕所布局不佳。。。', '短评打分': 1}
{'短评内容': '环境不错，交通方便，价格便宜，挺不错的。', '短评打分': 5}
{'短评内容': '＋环境不错，很安静，', '短评打分': 3}
{'短评内容': '很好，性价比很高，去方特玩的话，首选快捷宾馆', '短评打分': 5}
{'短评内容': '酒店停车场很大，停车方便，周边吃饭不是很方便，酒店设施比较旧，墙纸都开胶了，房间挺宽敞。', '短评打分': 5}
{'短评内容': '环境不错,停车场超大', '短评打分': 3}
{'短评内容': '房间较大，价格实惠，卫生可以，酒店地点挺好，靠近方特乐园，周围还有欧尚超市，吃饭比较方便。', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧了，还有就是吃饭不方便，其他都OK，性价比较高', '短评打分': 5}
{'短评内容': '芜湖七星快捷酒店环境不错,交通也很便捷.还行.', '短评打分': 3}
