{'短评内容': '客栈很宽敞 我们住的房间有阳台 海风特别舒服 客栈的老板和老板娘也特别热情。另外客栈附近就有吃饭的地方，也靠近海边，特别舒服。', '短评打分': 5}
{'短评内容': '环境非常好，也很安静，是独栋的小洋房，这个价钱太合适了', '短评打分': 5}
{'短评内容': '环境很好，性价比高', '短评打分': 5}
{'短评内容': '装修不错，环境很好，距离码头20分钟车程，性价比很好', '短评打分': 5}
{'短评内容': '还不错，挺干净的，就靠在马路边，停车也方便，就是国庆来的，近三百，有点贵，平日只要一百多。', '短评打分': 5}
{'短评内容': '还可以  就是没发票', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 3}
{'短评内容': '环境和地段确实不错，下次还住这里', '短评打分': 3}
{'短评内容': '很好，环境和地段确实不错，离码头很近。', '短评打分': 3}
{'短评内容': '一切都好，只是那天遇到一帮学生13个人，半夜回来，2点多又要出发。很吵，没睡好，非常严重的影响了我们的五一度假。老板应该出来制止一下或提醒。希望以后改进！', '短评打分': 5}
{'短评内容': '很干净。。很开心。。。', '短评打分': 5}
