{'短评内容': '房间卫生设施真的是比较旧的了，前台服务态度还可以，房间楼层够高就是房间设施真的太旧了，可以考虑装修一下了！', '短评打分': 3}
{'短评内容': '斯达酒店住的安心，服务员态度很好', '短评打分': 5}
{'短评内容': '酒店还好，离上班的地方也近', '短评打分': 5}
{'短评内容': '比较安静，环境还好', '短评打分': 5}
{'短评内容': '还可以，出差住了半个多月了', '短评打分': 5}
{'短评内容': '环境很好，就是有点偏', '短评打分': 5}
{'短评内容': '都一般吧，附近实在没有啥其他的酒店可以选择了，地点比较偏，吃饭的地方难找', '短评打分': 4}
{'短评内容': '实在没办法住这里', '短评打分': 2}
{'短评内容': '床垫太软，第二天腰酸背痛，卫生也不太好，设施很旧，房价还这么高，不值！', '短评打分': 3}
{'短评内容': '代人预定', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就在考试学校的边上，很方便。', '短评打分': 5}
{'短评内容': '离政府很近，房间小了些，不过很实惠', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '总体不错，还行', '短评打分': 4}
