{'短评内容': '超赞', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '住的还可以，停车方便', '短评打分': 4}
{'短评内容': '只能说老旧 无WIFI   住进去的感觉像是回到15年前', '短评打分': 3}
{'短评内容': '位子离江汉路近，有停车场。环境卫生好。下次还会入住。', '短评打分': 5}
{'短评内容': '来住的原因是可以停车，其他没有任何亮点', '短评打分': 2}
{'短评内容': '很不错的…', '短评打分': 4}
{'短评内容': '交通便利，房间也够大', '短评打分': 5}
{'短评内容': '多次住，方便', '短评打分': 5}
{'短评内容': '周边较安静，但卫生环境一般，有待提高。', '短评打分': 2}
{'短评内容': '设施太老旧', '短评打分': 3}
{'短评内容': '很好，挺大挺干净的 就是有点吵！', '短评打分': 3}
{'短评内容': '部队招待所，安全卫生，前台服务人员客气礼貌服务贴心，让人觉得暖暖的。总之，性价比很高，值得入住。??', '短评打分': 4}
{'短评内容': '酒店比较老，设施陈旧，价格贵', '短评打分': 3}
