{'短评内容': '卫生不是很好，洗澡花洒都是坏的。', '短评打分': 3}
{'短评内容': '将就', '短评打分': 5}
{'短评内容': '房间设施较差', '短评打分': 2}
{'短评内容': '不错。。，。，', '短评打分': 5}
{'短评内容': '酒店的位置其實非常好，從出口出來，在右手邊，京九玩具城的旁邊其實也不難找，附近可以吃的地方蠻多的。假如，到東莞東的時間較晚，或者是去找要從東莞東離開，選擇京九酒店，其實是很好的選擇。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不是我住的', '短评打分': 5}
{'短评内容': '感觉没有上次的好', '短评打分': 4}
{'短评内容': '还可以总体来说服务态度啊酒店的卫生丫也不错', '短评打分': 4}
{'短评内容': '卫生一般，地毯比较脏，但是在火车站旁边，还是物有所值的', '短评打分': 5}
{'短评内容': '此酒店位置靠近火车站，便于我们外来工回家乘坐火车。酒店设施一般，干净卫生，服务态度良好。值得带家人入住。', '短评打分': 4}
{'短评内容': '东莞酒店绝对是全国最具性价比的', '短评打分': 5}
{'短评内容': '环境一般，设施一般，态度也差。', '短评打分': 3}
{'短评内容': '一个字，差，二个字，很差，三个字，非常差', '短评打分': 1}
{'短评内容': '酒店位于火车站旁，吃饭乘车都方便；房间卫生一般，周围环境不是很多，跑跑步也没有好地方', '短评打分': 4}
{'短评内容': '太差劲了，卫生不好，里面东西大部分都要付费的，设施设备也太烂了吧！恐怖的是一大早会有人敲门，晕！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体还可以，主要是交通方便，嗯嗯，价格也很实惠', '短评打分': 5}
{'短评内容': '雅单较实惠，希望多推出些这种房型，还有早餐应该提供多些饮料', '短评打分': 5}
{'短评内容': '环境不错，价格实惠，离火车站也近，很方便。', '短评打分': 3}
{'短评内容': '挺好的···满意····················好·', '短评打分': 5}
{'短评内容': '应该还算不错，性价比还算OK，下次还住那里！', '短评打分': 5}
