{'短评内容': '适合临时抱佛脚的住下', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还行吧，就是可能时间有点久了，不是很崭新…', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '哎，沐浴露洗发露都没有也没有人换', '短评打分': 3}
{'短评内容': '订了房  没有住  太脏  根本达不到一星', '短评打分': 2}
{'短评内容': '服务设施都要改善，差的太多  ', '短评打分': 2}
{'短评内容': '房间设施较旧，交通也不算便利', '短评打分': 3}
{'短评内容': '西安阳光长缨酒店有点老旧，服务员比较热情，要是房价在便宜点，下次还可以考虑。', '短评打分': 5}
{'短评内容': '实在不能住的酒店，本来是图靠得近方便，前台的态度简直是差的无语，房间里也是弥漫着一股说不出来的味道.......', '短评打分': 1}
{'短评内容': '房间挺干净，颜色搭配的挺协调，布置也挺温馨，设施也完善，感觉挺不错。', '短评打分': 5}
{'短评内容': '设施倒是挺齐全的，电视、空调，还有独立卫生间，卫生打扫也不错。', '短评打分': 5}
{'短评内容': '大厅挺装修的挺显档次，房间打扫的挺干净，采光也很好，服务上也周到，值得推荐一下。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，设施也齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间里电视、空调等基本设施都有，还能上网，感觉挺不错。', '短评打分': 5}
{'短评内容': '房间挺大，光线很好，很干净也很安静，睡眠质量特好。', '短评打分': 5}
{'短评内容': '服务上还不错，有问必答，随叫随到，态度挺热情的。', '短评打分': 5}
{'短评内容': '地理位置还行，出门就能乘车，去哪都挺方便的。', '短评打分': 5}
{'短评内容': '设施陈旧, 服务还不错, 房间很大, 但密封不好, 冬天太冷.', '短评打分': 1}
{'短评内容': '服务人员态度很好，服务也很周到，酒店位置也不错，周边交通很便利。', '短评打分': 5}
