{'短评内容': '房间干', '短评打分': 5}
{'短评内容': '车位充足，周边设施齐全！', '短评打分': 5}
{'短评内容': '安静的环境是出游选择宾馆的重要条件，而去距离家乐福超市非常近，很方便。早餐也有很多可选性、距离迪士尼也很近有免费班车', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住的时候要求安静的房间，前台很友好的满足了。两大两小，前台主动给了3张餐券，问问能不能多给一张，说不行，两个孩子吃早餐要加20块钱。住两晚，应该有6张，问能不能第一天4张第二天2张，前台坚持说不行，还吵了一架。一个三岁一个五岁的孩子而已，，，，第二天在餐厅碰到另一家三口，说孩子根本不用餐券，，，，都不知道我们在争什么，第二天带孩子直接去吃，餐厅果然没问我们孩子要餐券。接送迪士尼的班车的确很方便，', '短评打分': 4}
{'短评内容': '房间很舒适，每天有赠送水果，赶上中秋节还送了月饼，很惊喜！离迪士尼乐园不远，酒店有免费接送班车。值得推荐！', '短评打分': 5}
{'短评内容': '不错，挺好的。两百多这个标准挺不错的了，来回迪士尼有班车接送，方便', '短评打分': 5}
{'短评内容': '不错。便宜实惠，去迪士尼有班车接送，方便', '短评打分': 5}
{'短评内容': '车接车送，非常方便!房间卫生打扫及时，环境不错。', '短评打分': 5}
{'短评内容': '酒店服务很不错，背后就有大超市很方便', '短评打分': 5}
{'短评内容': '一般般，随便住住', '短评打分': 4}
{'短评内容': '很不错，很方便', '短评打分': 5}
{'短评内容': '房间干净，服务态度好。', '短评打分': 5}
{'短评内容': '房间干净，服务很到位。去迪士尼首选酒店。', '短评打分': 5}
{'短评内容': '很好，尤其带一家人去迪尼斯有车专送非常方便', '短评打分': 5}
{'短评内容': '还可以，每次来都住这！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '唯一遗憾就是给安排的的无外窗的房间', '短评打分': 5}
{'短评内容': '好阿 一如既往的好啊 每次都这里', '短评打分': 3}
{'短评内容': '还行，每次都住这！', '短评打分': 5}
{'短评内容': '太马马虎虎的酒店 没办法 展会期间就将就了', '短评打分': 1}
{'短评内容': '感觉一般，环境比较差。走道生音特别大，早餐差', '短评打分': 1}
{'短评内容': '位置不错，离机场很近，十五分钟就可以到', '短评打分': 3}
{'短评内容': '不怎么样。有点脏，房间超级难找。早餐也不好、下次不住，', '短评打分': 1}
{'短评内容': '酒店环境部怎么好。房间太难找了。找了半小时没找到。标示不清楚。', '短评打分': 1}
{'短评内容': '不错，性价比很高', '短评打分': 3}
{'短评内容': '房间还可以，就是服务差了点，早餐烂的一他弧度，基本撒也吃不到，一份价钱一份货，', '短评打分': 5}
{'短评内容': '酒店很大，房间非常温馨，床很舒服，设施齐备，附近有个家乐福。地铁2号线附近', '短评打分': 3}
{'短评内容': '房间里手机信号都没有，想与世隔绝到时挺不错的', '短评打分': 1}
{'短评内容': '一半。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地点比较偏，但是设备比较新，真的很不错，价格也实惠', '短评打分': 5}
{'短评内容': '蛮好的，价廉物美，物超所值，就是细节上要进一步注意。', '短评打分': 5}
{'短评内容': '房间很不错,干净整洁,服务好,离地铁也不远,合适赶早班的飞机', '短评打分': 5}
{'短评内容': '还好吧，希望早餐再改善一下。离店的时候下着雨，是保安打着雨伞去路口帮着叫的出租车，谢谢。', '短评打分': 5}
{'短评内容': '洗澡水不是很热，其他还好，还是不能刷卡，要付现金，希望尽快改进', '短评打分': 5}
{'短评内容': '从没见过这种房型.无窗房事实上不是无窗.你打开窗帘一瞧,竟然是楼道和对过的客房.可想而知,会有多吵.这我倒认了.我因为早班机,才选择住在这里.我8点的国际航班.明明打电话,让他们5点半叫早.接电话的服务生还重复地说了一声: 五点半,对吧? 我说对!!等我睡醒了,奇怪,怎么电话没响,难道还是半夜?我半信半疑地打开灯一看.哇~~6点半!!!!!开什么玩笑! 幸好速度快,自然醒的及时,否则,航班肯定没赶', '短评打分': 1}
