{'descr': '房间卫生一般，服务好，周边环境好。', 'star': 3}
{'descr': '帮朋友订的，说是住得还可以，房间收拾得比较干净。最主要的是交通方便。', 'star': 3}
{'descr': '给别人定的，还可以，为了看病，离同仁不远，', 'star': 3}
{'descr': '老板人很好h', 'star': 5}
{'descr': '老板人很好', 'star': 5}
{'descr': '返现有点慢', 'star': 3}
{'descr': '还可以吧', 'star': 3}
{'descr': '还不错！！这样的价位已经相当好了！在便宜的都没法住，全是共用的，干什么都不方便', 'star': 5}
{'descr': '老板太差太抠门  啥东西都是坏的', 'star': 3}
{'descr': '一般一般凑合住', 'star': 2}
{'descr': '干净整洁 环境不错 wifi速度块 隔音效果不好 热水不稳定', 'star': 4}
{'descr': '我定的是普通大床房（无窗）的到店之后前台还给安排了一间带外窗的。对这一点非常感谢前台小兄弟。谢谢。虽然是公用卫生间但非常干净。有位阿姨5分钟打扫一次。服务人员的态度也是比较热情的。热水是直接烧好的。无线网络信号非常好速度快。总之这家酒店一切都比较好。下次还回去住。推荐给各位驴友。', 'star': 5}
{'descr': '不错，公共卫生间也很卫生，始终在打扫，房间干净，热水都是直接打的。。', 'star': 5}
{'descr': '入住', 'star': 3}
{'descr': '入住', 'star': 3}
{'descr': '十内容', 'star': 3}
{'descr': '总体很好呢！麻雀虽小，五脏俱全！很多酒店没有提供的，如电吹风，插座，擦鞋布，国瑞之星都有！很好！酒店可以刷卡，但只能做消费，不能做预授权，有点小遗憾！交通非常方便，崇文门站C出口步行到酒店就7分钟这样，公交车也非常多。酒店后面的花市大街吃饭比较方便，价格划算，有一点需改进，隔音不是很好，这是三星以下酒店普遍存在的，希望做得更好！酒店旁边有乐天玛特超市，比较方便！总体来说这个价格很好，酒店不错！\n', 'star': 5}
{'descr': '房间不大，但是挺干净的。服务也是比较可以的。在北京市中心找到这么便宜的房子不错了。我一个人住刚刚好。房间有电视、空调、有线网络和无线网络，适合出差和商旅。推荐一下。下次还会再住。', 'star': 5}
{'descr': '房间不大，但比较干净、服务也是值得肯定的。交通比较方便。购物也比较方便。下次还会住', 'star': 5}
{'descr': '这个根本不是宾馆。。。有厕所的招待所。。。 好脏好恶心！！！\n还要188  返回30~', 'star': 1}
{'descr': '房间不大但还比较干净，空调很凉爽，洗澡水比较热，地理位置优越，交通方便。还不错值得推荐。', 'star': 5}
{'descr': '干净舒适，连的无线速度很快，不错，下次来还会选择国瑞入住', 'star': 3}
{'descr': '住宿条件不好，一点也不值这个价钱，撑死了像一百的农家乐！建议不要去！和如家什么的差远了！', 'star': 3}
{'descr': '一家比较不错的快捷酒店，干净、卫生、服务好。空调挺不错特别的凉快如果下次有机会还会去住。给个好评。', 'star': 5}
{'descr': '刚到旅店，比较简陋，没有蚊香器可用，空间很小，最主要的是床单黑黑的！希望大家期望值太高！', 'star': 3}
{'descr': '位置方便，位置方便,位置方便,位置方便。', 'star': 5}
{'descr': '（1）酒店干净卫生（2）各种设施都比较齐全，就是没有电话（3）上网也比较方便，有线无线都可以（4）交通也可以，步行到达崇文门地铁站需要大概10分钟的时间（5）周边邻近新世界百货、乐天马特商场。最主要的是门口还有好多小吃。总的一句：好好好好好\n。如果有机会下次还回去住。', 'star': 5}
{'descr': '三平的房间，看便宜了，但是图便宜吧、前台态度较好。', 'star': 5}
{'descr': '地处偏僻，不好找，卫生状况不好。', 'star': 3}
{'descr': '房间很小，一张床后，基本没有什么地方了~约7-8平米吧，有点像香港筒子楼样子，卫生尚可，周围很安全！', 'star': 3}
{'descr': '头一次在网上订房，还是比较不错的。网站和酒店服务态度都比较好。价格合理、干净卫生、下次出差如果有机会的话还会去入住国瑞之星。干净、便宜、态度好、划算、交通方便。', 'star': 5}
{'descr': '地理位置好，购物出行特别方便。虽然是公共卫浴，但是有人一直保洁，还是挺干净的。不好的是床铺看着不太干净，房间隔音很差，如果其他客人有嗓门大的就别睡觉了。性价比总体不错，以后还会选择这里。', 'star': 5}
{'descr': '态度挺好,环境还可以,对得起这个价钱', 'star': 3}
{'descr': '整洁，让人有回家的感觉，热情', 'star': 3}
{'descr': '总的来讲还算不错，价格合理，最主要的是临近同仁医院，很多都是因为这个住的', 'star': 5}
{'descr': '朋友第二天要在同仁动手术，住这离得很近，附近较便宜宾馆，干净卫生，还行', 'star': 5}
{'descr': '上次我带女儿到北京同仁看眼睛，就住这家宾馆，这次去还是首选这家宾馆，虽然空间不大，但是各方面都挺不错的，乘车、购物、看病……都很便捷，下次去，还到这家宾馆！呵呵~~', 'star': 5}
{'descr': '酒店交通方面，卫生条件好，价格也可以，就是房间面积小点，服务态度好。', 'star': 5}
{'descr': '于3月3日入住，面积太小，不到6平方，与宣传内容不符', 'star': 3}
{'descr': '特价房不能洗澡，且房间隔音效果不好，住的时候第二天公务员考试，直接无语！', 'star': 1}
{'descr': '就是位置好，其他实在不敢恭维', 'star': 3}
{'descr': '酒店环境一般，那天入住2个房间，一个房间闷热的要死，一个房间空调不够热，后来又要了2床被子。', 'star': 1}
{'descr': '房间太小，交通还方便，主要是距离北京站较近，如果晚上不在此住，只是歇歇脚，等火车，价格还是便宜的，是可以选择的。', 'star': 1}
{'descr': '房间很小，不太干净，不太习惯。交通不方便。', 'star': 1}
{'descr': '交通方便，离地铁站很近。房间有点小，还可以吧。', 'star': 5}
{'descr': '环境不怎么样，没暖气，空调也不热。好在交通还算便利！', 'star': 1}
{'descr': ' 挺好的 比想象中好', 'star': 3}
{'descr': '环境超级差，总之不推荐住。太恶心了，这家酒店。', 'star': 3}
{'descr': '总体还算不错  挺干净的  服务态度挺好的 就是离火车站不太近啊  价格也还好', 'star': 5}
{'descr': '非常不错，干净，有淋浴，有宽带，价格便宜。', 'star': 5}
{'descr': '服务很好，交通便利，周围就是商场超市地铁，火车站很近。配备很全，拖鞋，热水，洗浴还算干净的。室内床边过道也宽敞，挺好的。', 'star': 5}
{'descr': ' 屋子隔音不太好。周围屋子有人打呼噜都听得到', 'star': 3}
{'descr': '还不错，家庭式旅馆。推荐。aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'star': 5}
{'descr': '普间就只有一张床而已，室内温度甚至还没有走廊的温度高。', 'star': 1}
