{'短评内容': '还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，还可以，挺不错的，', '短评打分': 5}
{'短评内容': '有停免费车场，停车场进出口不太好开车，是单行道要注意的，房间还可以。就在太原街附近。', '短评打分': 4}
{'短评内容': '地铁，火车站等周边位置很好', '短评打分': 5}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '沈阳铁道1912宾馆，百年建筑，历史与文化的沉淀，交通便利，是商旅与度假人们不错的歇息之处，给予点赞！', '短评打分': 5}
{'短评内容': '早餐一般 酒店服务一般 周边出行便利', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错，早餐有待改善', '短评打分': 5}
{'短评内容': '第二次入驻，还行', '短评打分': 4}
{'短评内容': '地理位置绝佳，周边配套十分全面  好评', '短评打分': 5}
