{'descr': '这大冷天 屋里冷 要床被子告诉我没有  电吹风告诉我要押金！潘家园布丁我是上礼拜住的 屋里暖和 什么都有 还给免费升房间   这里真的太让人失望了  不会再来了', 'star': 1}
{'descr': '房间不错！', 'star': 5}
{'descr': '早餐没有、边上有饭店。没办法加床、不适合带孩子。位置还好。没停车场。总之性价比不高。睡了身上痒！被单肯定没换！', 'star': 2}
{'descr': '很晚了，实在定不到合适的地方，无意间选了这里，很暖和的房间。没有洗漱用具，但前台主动提示我免费拿漱口水，很贴心！', 'star': 5}
{'descr': '还可以，只能睡觉', 'star': 5}
{'descr': '酒店环境实在是太差了！果然是便宜没好货！', 'star': 2}
{'descr': '很好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '东西很好，京东物流十分快。以后继续支持。', 'star': 5}
{'descr': '差', 'star': 1}
{'descr': '555575335556555666888553688', 'star': 5}
{'descr': '房间环境非常差', 'star': 2}
{'descr': '房间小，环境相对差，但价格相对实惠，临时上北京，可以小住下。', 'star': 5}
{'descr': '，，，，', 'star': 5}
{'descr': '床太小，一个人睡合适，两人太挤了。', 'star': 5}
{'descr': '好小，一个人都挤，睡2个人真不适合，也不写明是单人房，而且烧水壶也是坏的，无法烧水，郁闷', 'star': 5}
{'descr': '便宜实惠', 'star': 5}
{'descr': '很干净 态度也很好   能看到外面的夜景  不错的选择  高大上', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '无牙膏牙刷。', 'star': 3}
{'descr': '一般，但是还能接受', 'star': 4}
{'descr': '还没有退房就已经把房间订给别人了，大早上的就告诉说不让住了，太差！', 'star': 1}
{'descr': '暖气相当好，在寒冷中有一些异乡的温暖', 'star': 5}
{'descr': '环境真心一般，设施也不完备，WIFI都没有，卫生间太小，房间还一股油漆味，不过在市二环价格还算不贵。', 'star': 4}
{'descr': '环境太差了。希望下次不会再订这样的酒店了。', 'star': 1}
{'descr': '电视全是雪花', 'star': 1}
{'descr': '其他很好，没有窗户', 'star': 5}
{'descr': '新装修的，味道很大', 'star': 3}
{'descr': '酒店硬件环境再好点就好了,主要是价格便宜', 'star': 5}
{'descr': '酒店硬件环境再好点就好了,主要是价格便宜', 'star': 5}
{'descr': '感觉还可以，位置挺好，去哪都挺方便的。出去旅游选这样的就可以。', 'star': 5}
{'descr': '这家店交通很方便，来北京旅游的推荐一下。但是房间隔音效果不会很好，并且酒店的味道不是很好。其他都还不错', 'star': 5}
{'descr': '很经济实惠的一家店，热水方便，乘坐地铁也方便，以后去北京玩，还住这里！', 'star': 5}
{'descr': '比想象中小的多,电视像电脑显示屏,洗澡给站厕所盖上,没有外窗。但周围交通发达,地铁站很近,对面就是商场超市。', 'star': 3}
