{'descr': '房间靠马路，隔音差，比较吵', 'star': 3}
{'descr': '经过价格对比选择此店，给力啊亲们，各种交通非常便利，特别是服务太好了，房间大，干净卫生，各种配置也相当齐全，电视能收120 多个台，Ylfl信号超级给力，简直不摆了，超级赞，极力推荐！', 'star': 5}
{'descr': '还不错，去年在这里住了五天。今年带儿子住了二晚，房间干净，周围吃的可以，交通方便。', 'star': 4}
{'descr': '嗯不错嘛就来了', 'star': 5}
{'descr': '还行，不过搞了半天电视打不开，不知是不是姿势不对…其他的东西还算齐全，房间内的农夫三拳居然是市场价两块，还有WiFi特别快5M/s。', 'star': 5}
{'descr': '环境还是可以的，这个价格算是合理的。但是唯一不好的是房间隔音太差，大早上被对面的一家人吵得没法入睡，恼火', 'star': 3}
{'descr': '还算可以吧，就是那个空调声音太吵了，应该是老式空调吧，还算将就！', 'star': 5}
{'descr': '電視只有不到十個頻道左右，房間算是一般了，衛生間比較大的，老闆人好不錯，打聽附近有無新世紀百貨（超市），耐心解答', 'star': 4}
{'descr': '酒店环境不错', 'star': 5}
{'descr': '性价比高，比较干净，交通非常便利。', 'star': 4}
{'descr': '还行吧', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '老板人品有问题，还想给假发票。', 'star': 2}
{'descr': '酒店一般，网络不稳定，如果公差还是不方便，如果度假还是可以', 'star': 3}
{'descr': '经济实惠，地段好，出行方便，不比一些快捷酒店差', 'star': 4}
{'descr': '房间大住房舒服，价格公道', 'star': 3}
{'descr': '入住第一晚的半夜三点 就被一对男女的歌声给震醒 不知道楼上是不是有ktv 接下来一个多小时都在唱 真想上去把他们手撕了 真的很生气  他们何时停歇 我何时才又睡去  第二晚上就没有那样了  里面的老板和工作人员都很友善 性价比也高 不过330以后那边的位置不好 可能会太吵', 'star': 3}
{'descr': '整体感觉不错，这 是第二次入住该酒店，就是没电梯，还有不能使用信用卡！', 'star': 5}
{'descr': '不错，细节差些，性价比还可以', 'star': 3}
{'descr': '便宜，性价比高，但没电梯比较麻烦', 'star': 3}
{'descr': '宾馆房间还不错，经济实惠，空间够大，装修比较新，性价比高', 'star': 3}
{'descr': '强烈不推荐，服务态度差，空调不凉，屋内异味重。服务态度差。', 'star': 1}
{'descr': '还蛮舒服的，干净，关键是比较安静，且出门交通方便。', 'star': 3}
{'descr': '性价比很高，干净，宁静，我蛮喜欢的。', 'star': 3}
{'descr': '不人性化，拖鞋只有一双，空调的温度好像已经固定，不能控制', 'star': 5}
{'descr': '房间环境不错，卫生很好，就是电视没几个频道，退房的时候有点慢', 'star': 3}
{'descr': '房价总体来说不错，\n1 够大\n2 空调给力\n3交通ok\n不足：\n1 网络不给力\n2 特价没窗子\n', 'star': 5}
{'descr': '房间整洁，干净。服务态度也很好，前台小了点，比较经济型的', 'star': 5}
{'descr': '值得回味的酒店。服务细致温馨。房间太小是唯一遗憾。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '总体来讲还不错啊，就是装潢太旧了吧，有点儿不上档次啊。房间内设施还好，只是那个电视机啊，为什么收不到日常看的那些台呢？性价比不错了。', 'star': 5}
{'descr': '还好，交通便利，房间比较小   四季度或该发动机和北师大将发生地方', 'star': 5}
{'descr': '还不错……就是没窗', 'star': 3}
{'descr': '房间还不错，只是隔音效果不是太好，不过对于这价格还是蛮不错的了！', 'star': 3}
{'descr': '整体还不错啊，环境也还行，就是有蚊子。别的都挺好的。', 'star': 5}
{'descr': '设施，卫生条件都是很不错的，虽然只有一个小窗口，但是很安静，睡得很舒服！', 'star': 5}
{'descr': '房间比较整洁，但是隔音太差，房间里面说话都能听见', 'star': 3}
{'descr': ' 整体还不错 干净安静！', 'star': 3}
{'descr': '很好 很给力！个人还是推荐的，我去第二次了，环境还可以就是外面有一点吵但是还能接受', 'star': 5}
{'descr': '房间的空间大，就是网速不是很快，整体还满意！', 'star': 5}
{'descr': '还不错，空间刚好够用', 'star': 3}
{'descr': '还好，不错，房间比较宽敞明亮，位置也行，周围小吃多，公交方便', 'star': 5}
{'descr': '服务态度很好，房间很干净，下次我还来住！', 'star': 5}
{'descr': '酒店门面要装修一下了,到了酒店我觉得不敢住,像旅馆一样,还好楼上的设施和卫生还行,一般旅行性价比高.', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间不错，不过只住一天。', 'star': 3}
{'descr': '很一般', 'star': 3}
{'descr': '还不错啦，蛮干净的，和如家的风格类似，性价比很高，不过没有吹风机，建议增加此项，对客人来说会方便许多', 'star': 5}
{'descr': '我先到酒店，叫服务员看看房间，给我看的那间很大，很宽敞。然后我问了都是一样吧，服务员回答我说是一样的。但是我入住的那间，就比我当初看那间要小，还有一股发霉的味道。到了晚上8点多，电话和网络都没有了。', 'star': 1}
{'descr': '酒店位置有点难找！经济实惠，前台很热情！', 'star': 3}
{'descr': '性价比很高哈。。离解放碑很近。。认识路了之后。发现非常方便。', 'star': 5}
{'descr': '确实比较难找，外面在装修。但室内还挺温馨，不错。特别是可以到下午2点退房，比较人性化。', 'star': 3}
{'descr': ' 很满意态度好', 'star': 3}
{'descr': '不错的 值得推荐 但是唯一不好的地方就是不能刷卡 还好我的现金足够了..', 'star': 5}
{'descr': '交通比较方便，离车站比较进，房间里的环境不错，这个豪华间定的还是值得的！', 'star': 5}
{'descr': '离市区很近，房间很宽敞，不过隔音效果不太好', 'star': 3}
{'descr': '很有感觉的一个酒店，房间很温馨，装修很不错，不足的就是如同以前的朋友说的那样，不好找，凭我那样强烈的方向感，打电话一边问酒店一边找才找到，这和重庆市政装修有关吧，如果不是外墙被网子遮住，应该好找一点。', 'star': 5}
{'descr': '正在市政装修，不太好找，店里很不错', 'star': 3}
{'descr': '酒店还算干净，安静，房间够大。没有骚扰信息。', 'star': 5}
{'descr': '性价比很高，每日清洁做的很及时。距离解放碑步行10分钟就到了。强烈推荐附近的小摊小吃，凉面好吃不贵，味道很棒：）', 'star': 5}
{'descr': '房间比我想象的要大，因为靠路边还是有点吵。重庆的城市装修还没有完客栈不明显，总体来说还不错', 'star': 3}
{'descr': '可能是因为外墙在装修建设，门窗紧闭，推开房间门就闻到浓烈的霉味。很失望。', 'star': 3}
{'descr': 'OK                                                                                                                                                                                                      ', 'star': 5}
{'descr': '位置好, 價錢吸引.\n                  \n有點舊', 'star': 5}
{'descr': '这次住的房间比上次好多了。上次的男前台服务态度明显不如这次的女前台，很细心，还问我对房间有什么要求。住的3楼的房间，单间，房间和卫生间都比较宽敞。除了不能用信用卡比较遗憾以外，性价比很高。', 'star': 5}
{'descr': '酒店不错，干净卫生！', 'star': 3}
{'descr': '性价比还可以 住的豪华单间有点小 周围吃的比较多 交通比较方便 总的来说还不错', 'star': 5}
{'descr': '酒店外整排店家都有施工設施，真的很難找！外部環境較雜亂。早餐大都是酸、辣、鹹的小菜，有茶葉蛋，嗯〜粥好喝！！房內浴室玻璃門感覺危險，搖搖晃晃地，沐浴乳又置掛在浴室玻璃門外，很擔心玻璃門的安全！', 'star': 5}
{'descr': '價格合理，位置好', 'star': 3}
{'descr': '價格實惠~\n地點好~~\n                      \n             \n           .', 'star': 5}
{'descr': '离解放碑不远，就是现在装修有点不好找，房间干净空气好！', 'star': 5}
{'descr': '位置还可以，现在重庆正在搞外墙装修，差点找不到这家酒店，好的地方是送早餐，虽然比较简单，有茶蛋稀饭豆浆小包和花卷，卫生还可以，吃得比较饱。不足的地方是宽带是有线的，而且一开始住的房间的网络有问题，换了房间才能正常上网。在渝中区，这家店还可以考虑一下。 \n', 'star': 5}
{'descr': '基础设施挺好，环境也挺好。早餐挺好吃的。', 'star': 5}
{'descr': '舒适 优雅 有情调 不错的。', 'star': 3}
{'descr': '    离重庆北站比较近，出去比较方便。不过来到酒店才知道定的两个豪华标间只有一个，无奈只好多出了一些银子另外定了两个单间，与酒店交涉以后，酒店也承担了一部分房费，最不满意之处是没有闭路电视，不能收看中央五台李娜打法网决赛，只好又多出银子换豪华电脑房。该酒店不能刷卡。', 'star': 5}
{'descr': '    交通很方便，距重庆北站12元的士费即可到，到解放碑也只有14元的士费，酒店附近吃饭的地方不少，周边环境不错。我们住的是豪华电脑单间房，面积大，腾空高，全天热水供应，总的来说不错，就是在房间里发现过一只蟑螂，可能设施还是有一点老化了。', 'star': 5}
{'descr': '地理位置还不错，但是卫生间的窗户一打开外面的景象惨不忍睹···', 'star': 5}
{'descr': '位置还可以，现在重庆正在搞外墙装修，差点找不到这家酒店，好的地方是送早餐，虽然比较简单，有茶蛋稀饭豆浆小包和花卷，卫生还可以，吃得比较饱。不足的地方是宽带是有线的，而且一开始住的房间的网络有问题，换了房间才能正常上网。在渝中区，这家店还可以考虑一下。', 'star': 5}
{'descr': '住的130一晚的大床房，房间和卫生间比其他经济型酒店大。房间内有网线，但是空调有问题，开一会儿自动就关了，床稍微有点窄。卫生间的淋浴房有点小。酒店外面正在外装修，所以采光就一般了，房间是临街的，早上有点闹。', 'star': 5}
{'descr': '比较干净，还不错！每次去出差都住这里！早餐7：30，对于赶早办事的人不方便！', 'star': 5}
{'descr': '酒店房间有点小，住卫生还比较干净。服务还可以。没有早餐不安逸。周边没有什么逛街购物的场所', 'star': 3}
{'descr': '   终于到店了！门厅很小，房间意外的大，干净，服务态度也不错。店外正在装修，有些不好找。', 'star': 3}
{'descr': '地理位置不错，没有电梯，淋浴不舒服，房门居然要使劲使劲关才能关上。。。主要还是地理位置不错吧~', 'star': 5}
{'descr': '地理位置还可以,但是打车很不方便.设施一般,解决基本问题没问题了.免费早餐由于起晚了没吃,不知道怎么样了.但客栈人员服务很好,钱包在离店的时候落在酒店了,主动电话询问我们,并给邮寄回来.由于现金不能快递,对方还将钱打入银行卡,赞一个.', 'star': 5}
{'descr': '干净，舒适。服务态度还是比较好。。。。。。。。性价比很高！这样的价钱在这样的地段住，没的说！', 'star': 5}
{'descr': '各种差距极大~~~~照片没真相~~~不给力啊~~~', 'star': 1}
{'descr': '酒店比较干净,舒适。', 'star': 3}
{'descr': '方便快捷，价格合理，干净卫生，就是没电梯，住高层爬楼很不方便~', 'star': 5}
{'descr': '内里环景不错，决定连住多一天，共入住仨天，打90分。', 'star': 5}
{'descr': '地方有点偏，房间有潮湿的霉味。\n地址在临江门，安利大厦后面。写西来寺就很少人知道。', 'star': 1}
