{'短评内容': '外出值得一住酒店，卫生舒适，房间大，前台服务好。', '短评打分': 5}
{'短评内容': '酒店位置离着市区有点小远  打车不太好打', '短评打分': 5}
{'短评内容': '自助餐种类多，味道好!房间非常干净，床单被罩枕套一看就是换洗的，服务业很好，隔音不错，豪华双人间看书的地方可以当作用自己笔记本电脑的地方!', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店就在泰山脚下，位置很好。运气不错，免费给升级了套房，房间环境不错～前台靳孝霞等人服务也很好，非常满意', '短评打分': 5}
{'短评内容': '洒店很好', '短评打分': 5}
{'短评内容': '定了两间房，能打7分吧。床舒服，淋浴水很足，送果盘酸奶，位置不错，离山较近，永远不会堵车，市区里面挺堵。缺点：1、个别服务员素质差，前台服务员扎堆儿聊天。2、卫生间推拉门超级难用，滑道马上就要烂掉了。3、晚上的自助餐不要去，58元 海鲜不新鲜 量少，菜品也是一般。门口有个火锅店很不错，还有团购。4、早餐算得上丰盛，口味也不错，但是蛋炒饭里有鸡蛋皮，菜里面有线，这管理，哎。', '短评打分': 5}
{'短评内容': '硬件一般，有些陈旧，不过服务到是满温馨，房间主动给赠水果酸奶矿泉水，还有一个泰山平安祀褔挂件。下次还会选择。', '短评打分': 5}
{'短评内容': '总的还可以，装修有些糙，服务还好！！！！', '短评打分': 4}
{'短评内容': '性价比很高，坐车也很方便。很适合一家三口。', '短评打分': 5}
{'短评内容': '可以，很好，价格便宜，很舒适', '短评打分': 5}
{'短评内容': '挂牌价六百多，网上订划算多了，性价比超高，到泰安一直住这家！\n值得推荐！', '短评打分': 5}
{'短评内容': '第二次入住了，性价比超高，位置泰山脚下，看图不用多说了，早餐能便宜点估计可以吸引更多人入住。', '短评打分': 5}
{'短评内容': '下次还会再住！', '短评打分': 5}
{'短评内容': '丽景新天地，对我来说会有更特别的意义！很棒！', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '到泰安住过多个酒店，这家性价比是超高的！', '短评打分': 5}
{'短评内容': '房间设施很齐全 非常宽敞 而且很干净 很值得入住 特别感谢王坤华和陈国霞两位服务人员 给我们准备了果盘和小礼物 很贴心 总之很不错的一家酒店 ', '短评打分': 5}
{'短评内容': '很好很强大', '短评打分': 5}
{'短评内容': '记错名字了，订的这个酒店。总体来说属于不好不坏的，房间住的也算舒服', '短评打分': 4}
{'短评内容': '房间很好，值得推荐', '短评打分': 5}
{'短评内容': '不错的酒店，到泰安经常住。前台几个美女态度都不错，每次都能升级套房。可惜忘了名字，都表扬一下吧。不过自助餐有点一般。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '携程订的房间，离泰山景区较近，酒店综合环境不错，在这里要感谢前台勒孝霞和刘其，办理入住的时候不厌其烦的解答我们的疑问，给人一种宾至如归的感觉', '短评打分': 5}
{'短评内容': '环境很好，服务更贴心，前台姑娘小伙子热情让人温暖如春。靳孝霞刘其好样的?', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店挺不错，经常入住。', '短评打分': 5}
{'短评内容': '酒店挺不错，经常入住。', '短评打分': 5}
{'短评内容': '很不错的酒店，离华美达和泰山很近，客房赵经理非常不错', '短评打分': 5}
{'短评内容': '新开的酒店，太棒了 ，估计以后就不一定是这个价位了吧。', '短评打分': 5}
{'短评内容': '挺不错的，各方面都挺好，也挺上档次的，唯一的不足就是房间装修的味道有点大，希望有所改进。', '短评打分': 5}
{'短评内容': '酒店全新，装修味道还是有些重啊，餐饮设施可以，但是服务有待提高啊...福朋喜来登，俺住不起，只能住这了...', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，而且幸运的被升级为套房，房间布局及酒店用品都很精致，有些东西和济南的索非特、喜来登有的一拼。味道确实有，但很小，因为刚开业的缘故吧，估计再过几个月就更好了。缺点是房间还有电梯里能看到蚊子的身影，可能是因为房间的窗户是可开的缘故，这方面酒店需要加强，否则极影响酒店形象。总体感觉还是非常不错的！', '短评打分': 3}
{'短评内容': '非常好  客房气派豪华、干净整洁自助餐也很好性价比很高。', '短评打分': 3}
{'短评内容': '优点：\n一、位置极佳。位于泰山山腰，西南距泰安市政府广场500米，东南距东岳路大润发、银座1公里，东北距天地广场500米，方便登山；\n二、前台服务相当好，工作人员态度恭谨亲切；\n三、房间超大，设备设施上档次，不愧豪华标房。\n缺点：\n一、可能刚开业的原因，装修味道太大；\n二、西餐厅的自助餐种类较少，不超值。', '短评打分': 5}
{'短评内容': '前台服务态度不错，房间入住感觉一般，房间内装修味道太浓，西餐厅的自助餐太一般，如果说要做泰城第一，你还差的太远，特别是你的早餐，干的四边翘起的鸡蛋饼，冰冰凉的小油条，都是无言的证明。另外，西餐厅地处中庭，致使整个酒店弥漫着烧烤味，入住当晚恰逢西餐厅举行当地的选美晚会，歌舞震天房客倒霉，实在不解这样的设计和布局。努力吧新天地，如果说五星是目标，你才到中天门。', '短评打分': 5}
{'短评内容': '酒店是2012年开业的，很新，就在华美达的旁边，性价比还是不错的，进去服务态度好，房间设施也都很好，但是如果以五星的标准去看还是很有差距，首先住的房间壁橱（挂衣架的上面1层）上隔有灰尘，手指1碰很脏。另外酒店的自助餐真的提升空间很大，食物不怎么好，而且加得也不勤快。总体来说，性价比不错，可以达到4星的标准', '短评打分': 5}
{'短评内容': '位置不错，很容易找到；服务不错，更换毛巾很及时，有水果赠送；环境也很好。', '短评打分': 5}
