{'短评内容': '不错，还会入住！', '短评打分': 5}
{'短评内容': '热水器水太小，感觉没压力', '短评打分': 5}
{'短评内容': '挺好的，便宜，前台电脑不行', '短评打分': 5}
{'短评内容': '环境很好，热水美，性价比高', '短评打分': 5}
{'短评内容': '不错，挺干净的，值得推荐', '短评打分': 5}
{'短评内容': '商务大床房，连个电脑都没有，装修不好，', '短评打分': 5}
{'短评内容': '挺好的，还有净水装备，另外有吹风机好评', '短评打分': 5}
{'短评内容': '住的很不错', '短评打分': 5}
{'短评内容': '周到的服务，良好的设施', '短评打分': 4}
{'短评内容': '总体都不错吧！比较值得推荐、周边环境挺不错的、而且停车特别方便、交通便利、容易找、房间也很干净、周边吃饭也还可以', '短评打分': 5}
{'短评内容': '像家！', '短评打分': 5}
{'短评内容': '不错的酒店，推荐入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通便利，其他凑合。', '短评打分': 5}
{'短评内容': '交通便利，其他的也不错。', '短评打分': 5}
{'短评内容': '不错的酒店，推荐入住', '短评打分': 4}
