{'短评内容': '地点好，蒸汽房舒服放松', '短评打分': 5}
{'短评内容': '酒店还是很新的，位置离万达广场走路十多分钟就到了。条件还蛮好', '短评打分': 5}
{'短评内容': '什么都好就是电视不行就十几个台', '短评打分': 5}
{'短评内容': '酒店干净卫生！', '短评打分': 5}
{'短评内容': '服务还可以，保洁阿姨有点粗心用过的脏布什么居然留在梳妆台。', '短评打分': 3}
{'短评内容': '厚街环境 卫生 性价比都比较好的一家酒店 朋友们也都很喜欢', '短评打分': 5}
{'短评内容': '不错的酒店，服务好，设施齐全，??', '短评打分': 5}
{'短评内容': '一直都住这家酒店 朋友也都很喜欢 宽敞 干净 安静', '短评打分': 5}
{'短评内容': '没毛病 非常好', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 5}
{'短评内容': '还不错吧，环境还可以，交通也方便下次再来', '短评打分': 5}
{'短评内容': '附近生活機能方便，有萬達廣場、電影院、康樂南路陽光商業城，晚上有夜宵，地理位置佳，唯一晚上比較吵一點。', '短评打分': 4}
{'短评内容': '双标都是改造的房间，加的床，以前你懂的…', '短评打分': 5}
{'短评内容': '一直在入住中……', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '服務佳', '短评打分': 5}
{'短评内容': '服務態度好', '短评打分': 5}
{'短评内容': '環境不錯', '短评打分': 5}
{'短评内容': '可以考虑入住', '短评打分': 4}
