{'短评内容': '这家酒店是我出差这么多年以来体验最差的一家，感觉很阴，很诡异，进去装修很旧，可能有10来年了，翻新过，最可恶的是床头挂的那张照片，脸上想在，流血一样，窗外的尖顶房屋，夜晚在灯光照射下你们自己联想一下像什么！', '短评打分': 1}
{'短评内容': '一般般吧，房间挺大的。白天小房间里光线挺好的，卧室里一般。反馈几个东西：1卫生间的杯子有牙膏沫，屋里的杯子有水渍。2能不能把门上的喜字和消防喷淋上的气球拿了。3请其他旅客不要把烟头扔地摊上。4可能需要拖线板，插座离床有点远。5隔音的话，旅馆周围不是很吵，房门隔音也许不太好，能听见走廊里的说话声和对讲机的声音（仔细听），晚上还能听到隔壁高跟鞋的声音。', '短评打分': 4}
{'短评内容': '住了好多天，唯一就是隔音不太好！', '短评打分': 4}
{'短评内容': '非常好的体验', '短评打分': 4}
{'短评内容': '有早餐，出行方便。', '短评打分': 5}
{'短评内容': '环境不错，方便一直过来住', '短评打分': 5}
{'短评内容': '好的环境不多说！继续预定！', '短评打分': 5}
{'短评内容': '不错！很好的环境！舒服的不要不要的！', '短评打分': 5}
{'短评内容': '很不错，续住了一天', '短评打分': 5}
{'短评内容': '房间空间非常大，整洁卫生', '短评打分': 5}
{'短评内容': '还好吧，第一次住，还行。', '短评打分': 4}
{'短评内容': '环境不错 就在周边办事很方便。', '短评打分': 5}
{'短评内容': '环境安静，价格实惠！', '短评打分': 4}
{'短评内容': '价格实惠，环境幽静！', '短评打分': 4}
{'短评内容': '我住的这个房间没有窗户，整洁但装修旧了些，还好吧整体。', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '比较经济实惠  交通方便 环境还好  以后还来', '短评打分': 5}
