{'短评内容': '挺好的，价格合适', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务，卫生都可以，隔音不够好，总体来说还不错', '短评打分': 5}
{'短评内容': '老客户，真心觉得比周围的都要好，各方面', '短评打分': 5}
{'短评内容': '一直都是住圣安，不错的选择', '短评打分': 5}
{'短评内容': '老客户了，各方面都不错，是不错的选择', '短评打分': 5}
{'短评内容': '已经住了很多次了，总体来说都还不错', '短评打分': 5}
{'短评内容': '老客户，不错', '短评打分': 5}
{'短评内容': '环境还可以，老客户了，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，老顾客了', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不太满意，一般般。。。。。', '短评打分': 4}
{'短评内容': '鬼知道我写的时候什么意思。。。', '短评打分': 5}
{'短评内容': '#ud83d#ude04#ud83d#ude04#ud83d#ude04#ud83d#ude04#ud83d#ude04#ud83d#ude04', '短评打分': 5}
{'短评内容': '恩。。。。', '短评打分': 5}
{'短评内容': '还可以。大堂在二楼，就是楼下没什么吃的东西，要走走路才有的吃。', '短评打分': 5}
{'短评内容': '反正我觉得不错', '短评打分': 5}
{'短评内容': '住是没问题的 离长安北站比较近 也不算贵', '短评打分': 4}
{'短评内容': '实惠干净OK过得去', '短评打分': 5}
{'短评内容': '不错，房间干净舒适，交通方便', '短评打分': 3}
{'短评内容': '酒店够大，还不错。周围环境很一般。 前台服务不好，早上几个人一起退房，弄了半个多小时。', '短评打分': 4}
