{'短评内容': '设施不错，干净。', '短评打分': 5}
{'短评内容': '交通便利～房间很大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '夏天过来还行，这次过来房子没有暖气，空调取暖但空调和的声音很大换了个房子一样。不开空调又很冷，总之这次住宅的体验很差', '短评打分': 3}
{'短评内容': '酒店很安静，兰州的酒店房间面积都很小，凑活住一下', '短评打分': 4}
{'短评内容': '不错，就是酒店不好找', '短评打分': 5}
{'短评内容': '环境非常好，办事更方便。', '短评打分': 5}
{'短评内容': '每次来都会住，温馨安静，干净卫生，性价比很高。前台服务也很暖心，入住和退房手续简单，有时还贴心免费升级。', '短评打分': 5}
{'短评内容': '特别差，大家别去', '短评打分': 1}
{'短评内容': '三百的价格感觉略有不值啊，不算很便宜，位置很偏，周围基本上没什么东西，然后携程说的什么水果，各种卡都没有，说早就不送了，那携程为什么还要写上？还有卫生一般。。桌子后面特别脏，哎，还有人家说返现慢一点要一个月？我的天呐，网线不能用只能用WiFi！唯一好一点的就是服务员态度很好，耳机没带还告诉我帮我拿，很感谢，服务态度好就是硬件实在一般，不会再来了……', '短评打分': 2}
{'短评内容': '不错，安静，适合差旅出行', '短评打分': 4}
{'短评内容': '干净、服务较好，但空间有点小，交通略有不便', '短评打分': 4}
{'短评内容': '还好吧！会员价和网上价格没区别！挺失望！定的大床房，给我了一间1.5米的单人间！挺失望！挺操蛋', '短评打分': 5}
{'短评内容': '酒店很干净 早餐太简洁了', '短评打分': 3}
{'短评内容': '干净卫生，注意细节，非常安静，下次还来。', '短评打分': 5}
{'短评内容': '在小区边上，很安静，不过标准间都在1楼，1楼的房间墙壁有点受潮变形，其他都还不错。', '短评打分': 5}
{'短评内容': '酒店在一个小区内，很居民化。\n不是很容易找到。房间设施还可以，服务也挺好。\n就是没有早餐。出去不是太方便。\n还算可以吧！', '短评打分': 5}
{'短评内容': '房间有点小，还有烟味，不过听干净的，柜台态度也好。', '短评打分': 5}
{'短评内容': '房间就是有点小了，位置有点不太好找。不过房间装修的很好，非常安静。', '短评打分': 5}
{'短评内容': '酒店很干净，前台mm笑容很甜美，洗澡水很充足，唯一缺点是没有早餐，不过出门右拐200米牛肉面不错', '短评打分': 3}
{'短评内容': '酒店很不错，但是不知道为什么没找到烟灰缸？', '短评打分': 5}
{'短评内容': '水量真的很大 ，装修很简约、温馨。服务也不错，而且卫生干净……郁闷的是位置比较偏，不好打车。不过很安静。', '短评打分': 5}
{'短评内容': '喜欢前台妹妹的微笑，酒店地理位置不好。缺点是没有早餐，房间也没有可以消费的物品，提供不了洗衣服务等这些都需要改进。但是房间床舒适，洗澡水很好。', '短评打分': 5}
{'短评内容': '前台妹妹很热情，笑着说话让人感觉很好。预定的大床房，环境温馨，隔音有点不好。洗澡水很好。', '短评打分': 5}
{'短评内容': '服务台服务热情，预定的大床房，虽说有些紧凑，但是环境很温馨，适合出差住宿', '短评打分': 5}
{'短评内容': '1.没有提供停车场，酒店门口有个院子，却不提供免费优惠，不利自驾游\n2.因为前台训练不足，找不到登记本，却不让我们先入住，抱著孩子在那乾等\n3.隔音奇差，楼上炒饭的，隔壁跟小三聊电话的，一清二楚\n4.房内消毒水味道很重\n唯一的优点是洗澡的水量足够。以后绝对不会再入住了，连带让我对兰州印象很差', '短评打分': 1}
{'短评内容': '新酒店很干净，而且房间很大，很舒服。房间有暖气很暖和，特别值得一提的就是洗澡间的淋浴，水很大，洗的很好，简直大爱！不错，值得推荐。我们开的是一个标间，一个大床房。', '短评打分': 5}
