{'短评内容': '适合带孩子能加床空间大', '短评打分': 5}
{'短评内容': '有停车位，因为没含早餐就没有在他家吃。这条街很多吃的店。他家楼下有家素食自助餐挺棒的。卫生条件不好。电水壶内很明显还有几处污渍洗手液盒上还有污渍。我住的这间房尽然有面墙用木板和玻璃㬵封住。果断换了酒店。不过他家还配有三个手机充电线赞一个。', '短评打分': 4}
{'短评内容': '挺好的，房间很大，适合商务出差', '短评打分': 5}
{'短评内容': '市商业街附近，周边设施也全．酒店卫生还算干净，设施过于简单了点。酒店不提供早餐，这点非常不方便．酒店门口有停车场．', '短评打分': 4}
{'短评内容': '市中区附近，干净卫生，设施比较简单。最好的是是酒店旁边的一家素食餐厅，自助餐，菜品极大丰富，最主要的各个美味，时间太短，只吃了一顿，让人难忘，价格十分的亲民，18元一位，貌似店主是信佛之人，饭店门口有书相赠', '短评打分': 4}
{'短评内容': '好极了', '短评打分': 5}
{'短评内容': '都不错 就是隔音不太好 有点闹', '短评打分': 5}
{'短评内容': '不错环境很好', '短评打分': 4}
{'短评内容': '不错环境很好', '短评打分': 4}
{'短评内容': '不错环境很好', '短评打分': 4}
{'短评内容': '挺实惠的', '短评打分': 5}
{'短评内容': '临近新城区，适合在此周边办事或出差，周边餐饮和超市等都比较齐全，还是比较方便的！房间设施简洁齐全，还是比较干净的！就是相对周边商务宾馆的价格，稍微偏高！', '短评打分': 4}
{'短评内容': '还可以。设备比较简单。位置很好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次去都住这里，习惯了，吃饭方便', '短评打分': 3}
{'短评内容': '酒店不错，位置方便', '短评打分': 5}
