{'短评内容': '每次去都住这，价格合适，交通方便', '短评打分': 5}
{'短评内容': '地理位置不错，住房条件一般。', '短评打分': 5}
{'短评内容': '有点旧，空间窄。', '短评打分': 4}
{'短评内容': '快捷酒店，卫生不错', '短评打分': 5}
{'短评内容': '适合对位置要求较高的人，可能是因为酒店建的比较早，设施不现代，但是在接受的范围之内。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '总体不错 离地铁站很近很方便 就是周围不太繁华 不过安静就好', '短评打分': 5}
{'短评内容': '环境很好，服务也不错，推荐', '短评打分': 5}
{'短评内容': '环境和服务都不错，挺好', '短评打分': 5}
{'短评内容': '还行，主要是离办事的地方近，下次去还会考虑入住', '短评打分': 4}
{'短评内容': '连锁酒店，能这样已经不错了，尤其在帝都，还能指望啥？', '短评打分': 4}
{'短评内容': '交通很方便，地铁站出来5分钟就到，房间比较干净，服务很好，给了延迟退房', '短评打分': 5}
{'短评内容': '不错！房间尚可，不算新，还算干净，交通非常方便，过马路就是好几路电车的站牌，离4号线西四站也就几十米就到了！！！ ', '短评打分': 5}
{'短评内容': '房间尚可，不算新，还算干净，交通非常方便，过马路就是好几路电车的站牌，离4号线西四站也就几十米就到了！！！', '短评打分': 5}
{'短评内容': '中规中矩，一般，酒店离地铁站比较近，但是房间感觉比较陈旧了，可能是开业很久了吧...', '短评打分': 1}
{'短评内容': '酒店临街很吵，睡不好觉，装修也比较旧，不过态度还行。', '短评打分': 3}
{'短评内容': '除了房间有点小其他比较满意交通很方便离西单不远', '短评打分': 5}
{'短评内容': '网上定购比较实惠和方便，酒店服务挺好！', '短评打分': 3}
{'短评内容': '酒店临街，晚上有点吵，关上窗户后房间很闷，空调和排风扇噪音都很大，简直糟透了，不能住。睡觉睡不着。', '短评打分': 1}
{'短评内容': '附近景点多，但房间偏小点', '短评打分': 3}
{'短评内容': '位置还行 服务还好 就是外面有点吵 总体比较好', '短评打分': 5}
{'短评内容': '房间里，洗脸用的龙头下水口没法打开，一洗脸，很快就满了，严重影响使用。', '短评打分': 1}
{'短评内容': '地理位置好，环境优越，服务周到，卫生，价格较为公道。客房较为紧张。', '短评打分': 5}
{'短评内容': '房间抬小。', '短评打分': 3}
{'短评内容': '服务态度很好   房间很干净    交通便利   四号地铁线很近    方便逛西单  长安街 ', '短评打分': 5}
{'短评内容': '环境太差了，墙都发霉了，室内设施好脏，强烈不建议去！', '短评打分': 3}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '还免强可以,不是很理想,性价比不高', '短评打分': 3}
{'短评内容': '不是很舒适', '短评打分': 3}
{'短评内容': '地段不错，离地铁很近，只是房型偏小有点挤，房屋里有点装修的味道', '短评打分': 5}
{'短评内容': '交通比较便利，离西单很近，走路都可以到达；服务还不错。总之，作为经济性酒店来说，比较满意。', '短评打分': 5}
{'短评内容': '干静安静方便', '短评打分': 3}
{'短评内容': '适合旅游住，转转周边胡同，去北海公园游玩还是较方便的。\n设施一般般了。高级大床房可能就是床大些吧，其他根本感觉不到高级。隔音效果太差。', '短评打分': 5}
{'短评内容': '还可以，订的特价房，离地铁站很近，很方便。\n而且退房办得超快。。。不查房，不签字。', '短评打分': 5}
{'短评内容': '这里服务不错，比较安全。', '短评打分': 3}
{'短评内容': '附近交通比较方便，离4号线很近。还有一个美廉美大超市。步行1站路就有庆丰包子，味道不错。酒店设施还行，服务员服务态度蛮好的。', '短评打分': 5}
{'短评内容': '位置不错，距离地铁4号线很近，挺方便，环境也不错，就是房间稍小，但是够了', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '安全，干净，服务态度一般！交通方便，挺不错的值得推荐！', '短评打分': 5}
{'短评内容': '酒店比较安静，虽然房间小，但是比较舒服！', '短评打分': 5}
{'短评内容': '房间有点小 隔音效果稍差 总体还算不错 出入都挺方便', '短评打分': 5}
{'短评内容': '出入比较方便', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '本来订的是八点前到酒店，可惜晚到了一会，结果酒店就不能按网上订的价钱。酒店比较旧，房间很小，设施不怎么样。', '短评打分': 1}
{'短评内容': '全国统一样式房间，麻雀虽小，五脏俱全。价格合适。', '短评打分': 3}
{'短评内容': '  房间小，设施环境没有住过的劲松店好，隔音效果很差，进门就是床……洗手池下水不畅，房间有异味，没有中央空调，暖气烧的也不好，不推荐', '短评打分': 3}
{'短评内容': '位置不错。距离地铁、公园都近，但是服务实在是不敢恭维。', '短评打分': 1}
{'短评内容': '非常不好。房间的隔音效果、热水、设施及其服务都很不好。', '短评打分': 1}
{'短评内容': '总起来说是很差。服务态度尤其。恶劣在我所住过的酒店里，性价比几乎就是最差的。 \n', '短评打分': 1}
{'短评内容': '不错的                       只是一楼有点吵', '短评打分': 5}
{'短评内容': '酒店服务无论是前台还是楼层服务员都很不错，没有前边的朋友说的那么恶劣，可能改进了吧。实施比较新，价格尚可接受，再低一点会更有性价比。', '短评打分': 5}
{'短评内容': '地点好，离地铁站很近，而且很干净，很好！', '短评打分': 5}
{'短评内容': '店面虽小但比较整洁。服务也不错。', '短评打分': 5}
{'短评内容': '酒店服务很好，地铁沿线，出行很方便。有停车位，这是我们最满意的。下次还会入住这里。', '短评打分': 5}
{'短评内容': '在保留时间内到店的，但是还让我等了一个小时，才安排入住。但是希望下次办事效率能提高点。', '短评打分': 5}
{'短评内容': '住的一楼，窗关不上，通知前台说服务员会来修，可是等回来后发现还是没修，一直觉得睡不踏实', '短评打分': 5}
{'短评内容': '房间干净舒适，交通方便，很不错的酒店，就是51假期期间有些贵了', '短评打分': 3}
{'短评内容': '酒店位置不错，交通方便，也很干净舒适。', '短评打分': 5}
{'短评内容': '酒店位置不是找，在胡同里，房间的卫生和设施倒是都没问题，服务也还行，性价比还是不错的 值得推荐', '短评打分': 3}
{'短评内容': '房间很小但设施齐全，地段好，就是现在周围施工很多，乱糟糟的感觉。', '短评打分': 5}
{'短评内容': '房间实在太小，特价房也就只值100元。', '短评打分': 1}
{'短评内容': '位置、服务都不错，但是房间实在是太小了，可能我们运气差，特价房的缘故。总体来说，100元的价格是很值得的。', '短评打分': 5}
{'短评内容': '真的很好，很便宜', '短评打分': 5}
{'短评内容': '酒店感觉都很好，价格很便宜100元，地理位置也方便，离天安门也不远', '短评打分': 5}
{'短评内容': '离西单很近，打车10块就够了，其他的服务也还可以，也没什么不好的地方', '短评打分': 5}
{'短评内容': '酒店位置比较好,周围交通很便利,人员服务也很热情,价格很实惠,但是房间面积比较小', '短评打分': 5}
{'短评内容': '酒店位置比较好,周围交通很便利,人员服务也很热情,价格很实惠,但是房间面积比较小', '短评打分': 5}
{'短评内容': '整体上挺好的，就是房间太小了点。还有就是把我们的身份证拿去作了电子扫描不知道干什么！', '短评打分': 5}
