{'短评内容': '挺好的，大巴方便，以后还会住', '短评打分': 5}
{'短评内容': '停车放便，房间干净', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '酒店3星价格合理，交通便利，离机场大巴近', '短评打分': 5}
{'短评内容': '坐机场大巴很方便', '短评打分': 5}
{'短评内容': '没使用 不做评价', '短评打分': 5}
{'短评内容': '不错，乘坐机场大巴方便，周围餐饮发达，离景点不远', '短评打分': 5}
{'短评内容': '环境挺好，服务也可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境很好，出行很方便。房间整洁卫生，设施齐全。服务热情，是出差丶旅游\\休闲的好的落脚点，下次出行还住这里！', '短评打分': 5}
{'短评内容': '去哪里都方便', '短评打分': 5}
{'短评内容': '酒店位置非常好', '短评打分': 5}
{'短评内容': '很不错，已经住几次了。离办事地方近，交通也便利，房间环境整体比较好，干净，舒适', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '听说酒店建成十年了，一些设施已经比较陈旧了。有一些设计还不怎么人性化，也就是离机场大巴近。', '短评打分': 4}
{'短评内容': '性价比低Localation OK', '短评打分': 3}
{'短评内容': '很好，不错。。。。。。。。。。。。。。。\n\n\n可以再次考虑', '短评打分': 5}
{'短评内容': '交通方便环境也不错，美中不足的有二，一是房间里没有衣橱脱下衣服没地方放，内衣裤无法洗因为没有衣架，二是餐厅早点地方太小和大厦很不配套！', '短评打分': 5}
{'短评内容': '前台小姑娘总让人感觉像别人欠她钱，房间太小感觉压抑，空调就是个摆设，以后不会考虑住这里', '短评打分': 3}
{'短评内容': '第二次住了，很好。', '短评打分': 3}
{'短评内容': '非常好干净', '短评打分': 3}
{'短评内容': '环境不错，离市区比较近，交通方便，房间不大，还算干净，这个价格性价比不算高，早餐比较差~', '短评打分': 5}
{'短评内容': '还不错，价格也实惠，住的感觉也比较满意。就是毛巾什么的感觉比较旧。', '短评打分': 5}
{'短评内容': '刚装修的，还好！关键是交通比较方便，比较干净。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '还不错 蛮干净的', '短评打分': 3}
{'短评内容': '环境卫生，干净，适合下次住，晚上电话太多，睡不好', '短评打分': 5}
{'短评内容': '环境不错，价格偏高！', '短评打分': 3}
{'短评内容': '（环境）入住的是豪华单人间，卫生间味道大。房间小，基本够用。只有衣服挂件不太方便。适合是商务出差。                                                                        （其他）前台服务不错。小姑娘态度好就是说话比较直。早餐基本以吃饱为住。交通还算方便，有机场大巴站（但是从机场出发的末班是20:50发车），电梯慢，高峰时等待时', '短评打分': 5}
{'短评内容': '还可以，不错，就是停车位太少。', '短评打分': 3}
{'短评内容': '服务态度较差,房间隔音效果差,晚上影响休息,房间内装修老旧,有异味', '短评打分': 1}
{'短评内容': '酒店比较方便，早餐太差，基本没啥可吃的。去机场比较方便，有机场大巴在楼对面', '短评打分': 5}
{'短评内容': '离机场大巴上机点很近,比较方便.......', '短评打分': 5}
{'短评内容': '很满意。', '短评打分': 3}
{'短评内容': '还行吧，挺新的，房间内设施还可以，前台服务有待提高', '短评打分': 5}
{'短评内容': '服务不错 。。 环境也可以  位置也不错。。都挺好的。\n  唯一。。。热水有的时候不够热', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间没有衣柜和浴衣不太方便，交通比较方便，离大唐西市较近', '短评打分': 5}
{'短评内容': '酒店的条件和服务都好，希望早餐的时间能够到十点', '短评打分': 5}
{'短评内容': '对面就是民航大巴，很方便很方便。就是没有早餐，有点遗憾', '短评打分': 5}
{'短评内容': '酒店装修后比以前好多了，酒店的性价比还不错。', '短评打分': 5}
{'短评内容': '地理位置不错，离机场大巴很近，当时也是因为这个原因才住的这里，不过房间有点小，普通大床房连挂衣服的衣橱都没有...', '短评打分': 5}
{'短评内容': '位置不错，环境还比较干净，去机场也方便，是个理想的地方', '短评打分': 5}
{'短评内容': '位置不错，去机场方便，周围环境还可以，比较方便。', '短评打分': 5}
{'短评内容': '位置很好，有机场大巴可以乘坐，房间装修还可以，价位略高\n', '短评打分': 5}
{'短评内容': '酒店干净！到机场交通方便！是我习惯的风格…不足之处：房间隔音效果差。', '短评打分': 3}
{'短评内容': '不错的酒店 下次还会入住 ，也会介绍与其他的朋友和客户。', '短评打分': 5}
{'短评内容': '非常不错的酒店。环境很美，而且紧邻西关正美食街。设施齐全干净时尚', '短评打分': 5}
{'短评内容': '酒店很干净,装修也不错,位置在西门(安定门)外,不是很靠市中心,不过是机场大巴的停靠点之一,对于自助游的客人还是蛮适合的,但价格与锦江之星比是没有优势的。\r\n个人认为，存在以下不足：1.枕头巨高，建议两个枕头一高一矮,以便客人自主选择；2.浴缸太窄，脚都放不下（本人脚39码）,如换成淋浴房将更好；3.早餐太差，还不如锦江之星。', '短评打分': 5}
{'短评内容': '房间非常好,服务也很好', '短评打分': 5}
{'短评内容': 'nice', '短评打分': 5}
