{'短评内容': '这个格局很好，非常喜欢每次需要在潍坊过夜，都会来这里', '短评打分': 5}
{'短评内容': '房间超大，感觉有3个7天的房间那大，还有个小黑板用于顾客的留言和心愿的，还是头一次见这样的配置。免费送洗漱用品。前台很热情，入住时还主动问，喜欢房间当阳还是安静，感觉很体贴。二楼有酒店的餐厅，感觉价格比外面贵上个4-5元，但分量还是挺足的。离火车站约4-6分钟路程。唯一感觉不足的是，热水出水比较小。', '短评打分': 5}
{'短评内容': '环境不错的，服务态度很好。', '短评打分': 5}
{'短评内容': '房间非常大，据说每个房间都有将近70平方米，位置也非常好，靠近火车站，在这里提一点小建议，就是床箱的角最好能包一下，碰腿。', '短评打分': 4}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间空间大', '短评打分': 4}
{'短评内容': '整体一般吧', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还行，价格实惠', '短评打分': 5}
{'短评内容': '非常好，非常满意', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '吹风机功率太小！', '短评打分': 4}
{'短评内容': '吹风机功率太小！', '短评打分': 4}
{'短评内容': '吹风机功率太小', '短评打分': 4}
{'短评内容': '吹风机功率太小！', '短评打分': 4}
{'短评内容': '房间不错，807房', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境还算可以，环境不错', '短评打分': 4}
{'短评内容': '老客户了，一如既往的好', '短评打分': 5}
