{'短评内容': '干净整洁，周边饮食方便', '短评打分': 5}
{'短评内容': '一，卫生间马桶没有冲干净，有残留茶叶。二，房间内无一次性拖鞋，很不便利', '短评打分': 3}
{'短评内容': '对于镇上的酒店，性价比算可以的了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间很不错，设施相对价格来说不错，就是酒店离天目湖比较远，早饭只有粥和鸡蛋，结束的时间比说的要早一些，很糟糕。', '短评打分': 5}
{'短评内容': '离天目湖景区不远，但房间隔音效果不好', '短评打分': 5}
{'短评内容': '房间基本还行，价格便宜，早餐太那个了就稀饭和煮鸡蛋，还不如直接不配餐算了', '短评打分': 4}
{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '出差到这 因为是一月份又下雨 很冷 房间里暖气不是很好 热水器也不行 中间换了一次房间  可能因为淡季天冷人少 早餐太简单了 而且东西也不是很热 ', '短评打分': 4}
{'短评内容': '酒店位置离景区不算远，房间还好吧，豪华标准间配有电脑?，方便了孩子玩游戏。。。', '短评打分': 5}
{'短评内容': '酒店满干净，清爽的。', '短评打分': 5}
{'短评内容': '一般，要不是太疲劳了，肯定去溧阳市区找个好酒店住，风景区这边的都比较贵，而且平时价格都只有一半不到', '短评打分': 4}
{'短评内容': '酒店位置有点偏，房间只能说一般', '短评打分': 3}
{'短评内容': '整体感觉还不错', '短评打分': 5}
{'短评内容': '环境不错，下次再来', '短评打分': 5}
