{'短评内容': '服务态度很好  离景区很近 附近美食多！', '短评打分': 5}
{'短评内容': '还行，就是房卡每次都要充有点麻烦', '短评打分': 5}
{'短评内容': '我订的房间  没有早餐 不能加床   热水温度 和水流都非常满意 出门就是美食街  离西湖不算远  还好光顾', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，周边吃的玩的也多', '短评打分': 4}
{'短评内容': '前几天还算便宜，后面几天涨价不住了。', '短评打分': 5}
{'短评内容': '离南宋御街很近，楼下就是美食街，很方便', '短评打分': 5}
{'短评内容': '如家还是差，以后不要订了。', '短评打分': 3}
{'短评内容': '在美食街上，晚上随时随地都可以出来吃小吃，到南宋御街就几分钟的路程，到各个景点也都很方便', '短评打分': 5}
{'短评内容': '我们每年都会去还愿，我选择住在这里，停车方便，价格可议接受，吃饭交通都很方便！离宋城，灵隐寺都不是很远，打车在25元左右', '短评打分': 5}
{'短评内容': '怎么说呢，地理位置没话说，在南宋御街附近晚上可以去看看夜景，离河坊桥也很近。酒店出门右转再右转可以去爬山，据说是杭州唯一一座接连市区的山），早上去的话爷爷奶奶比较多，从山上翻过去可以到达杭州美术馆还有西湖景区，离雷峰塔也很近了。酒店应该是包了附近的一片房子，所以那一片比较杂，都是小三层（还是两层的房子），我那次住的梳子是被人用的很賍的那种，也算是美中不足吧。', '短评打分': 4}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '隔音不行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '也还舒适', '短评打分': 5}
{'短评内容': '很不错的！', '短评打分': 5}
{'短评内容': '离美食街和鼓楼非常近，也许是晚上下雨的原因，晚上睡眠也很安静，唯一不足就是房间太小。', '短评打分': 5}
{'短评内容': '1月19号去的杭州玩了两天，在这住了一晚。\r\n订的99风暴大床房，感觉还是很超值的。内部是如家的一贯风格。位置很好，晚上一出来就是小吃一条街。而且距离河坊街也就几分钟步行时间。旁边的鼓楼公交站也有直达西湖的公交车。略显不足的就是外面的空调风机确实噪音有点大。', '短评打分': 5}
{'短评内容': '2层小楼，没有电梯，室内环境一般。', '短评打分': 3}
{'短评内容': '很不错的酒店，环境优雅，服务态度也很好，交通也非常方便，下次还住他们家。', '短评打分': 5}
{'短评内容': '酒店位置不错，出来就是美食街，晚上吃饭很方便。离鼓楼很近，逛街很方便~虽然走到西湖距离有些小远，但是当成饭后散步，也还可以~房间设施啥的，也都不错~如果以后有机会再去杭州，还会考虑订这家快捷酒店~', '短评打分': 5}
{'短评内容': '环境、卫生均不错', '短评打分': 3}
{'短评内容': '比较一般。不过挺干净。', '短评打分': 3}
{'短评内容': '环境很好.隔音效果也非常不错.在那休息的很好~周围是美食街.离西湖也很近.赞~~~', '短评打分': 5}
{'短评内容': '地理位置比较优越，晚上出门就是小吃一条街，吃饭很方便。但是酒店的硬件设施需要改善，空调会间断性地发出噪音、浴室的地漏下水很慢，才洗一会儿就涨水了。和总台说了派人修，但是不见好转。更让人不舒服的是，午睡时竟然有工作人员不敲门就直接闯进来。', '短评打分': 1}
{'短评内容': '应该是没开多久的酒店，就像个大杂院，里面几幢3层的小楼，院子里停的都是车，晚上12点了，还有人为了停车在跟管理员吵架，就在窗户下面，吵死了，房间也简陋的要死，太差了，真心后悔定这家。', '短评打分': 1}
{'短评内容': '酒店不错~周围很方便~就是酒店不让停车……', '短评打分': 5}
{'短评内容': '环境很不错的，而且小吃很多的，就是周末价格有点贵。呵呵', '短评打分': 5}
{'短评内容': '空调外机噪音太大，我和妹妹整晚都睡不着。还有前门后门都有垃圾桶，影响心情。没有其他如家给我的一贯清新舒适的感觉', '短评打分': 1}
{'短评内容': '挺好的，交通生活便利，晚上出门就是小吃一条街！', '短评打分': 3}
{'短评内容': '美食街往里走50米，晚上的时候都是小吃，离鼓楼很近很近。房间干净，不错', '短评打分': 5}
{'短评内容': '酒店地理位置不错 晚上一出门就是小吃街 酒店很整洁干净 已经是第二次住这里了 下次来鼓楼玩还住这', '短评打分': 5}
{'短评内容': ' 环境一般 毕竟是快捷酒店的价格\n但是地段超好 门口就是美食街 一条街都是好吃的宵夜 步行100米就是河坊街了 超级方便', '短评打分': 3}
{'短评内容': '很不错的一家酒店，每次出差来杭州，都必住他们家。环境非常清幽。', '短评打分': 5}
{'短评内容': '方便出行，吃饭，玩耍。有停车场。既方便有热闹。', '短评打分': 5}
{'短评内容': '位置好，外面就是小吃一条街，真想住多几天，吃多几天，缺点就是房间太太小了', '短评打分': 3}
{'短评内容': '方便，附近吃的多，离西湖不远！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '方便，离西湖近，附近很多吃的！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '＋很差，脏，而且半夜会有陌生人随便开门，服务员也不知道房间入住要开门进来，崩溃。离河舫街也不近，离河舫街近的有其他家如家，这家真不行！', '短评打分': 3}
{'短评内容': '交通很方便，配套设施也不错，还行吧', '短评打分': 3}
{'短评内容': '这次旅行中最舒服的酒店，酒店是新装修的，设备比较新，电视很给力，也很干净，主要是在美食街旁边，吃饭非常方便。而且这个美食街真的是很好，很干净，东西不是很贵，超级喜欢。交通也很方便。就是隔音不是很好，不过玩累了，也就睡着了。呵呵', '短评打分': 5}
{'短评内容': '近美食街,中山路\\清河街步行街,强力推荐.', '短评打分': 5}
{'短评内容': '酒店环境还不错，就在御街边上，吃饭方便，交通也方便，就是有点点不隔音！总体来说比较满意', '短评打分': 3}
{'短评内容': '地段非常好，停车很方便，而且还是免费的。', '短评打分': 5}
{'短评内容': '房间还不错，装修挺温馨，就在鼓楼边上，本来住的好好的，早上六点有个人用了一张卡刷开了房门，幸好反锁了，打电话到前台也没说啥，我真是服了，入住有风险，谨防生人出现在你的房间。', '短评打分': 3}
{'短评内容': '非常干净，就是隔音有点差，门口小吃一条街很不错，火车站打车过来鼓楼下，走进来两分钟，出行方便的', '短评打分': 3}
{'短评内容': '隔音不好。挺干净。停车方便。去河坊街比较近。', '短评打分': 5}
{'短评内容': '挺干净的，地点也不错，就在美食街上，就是价格不便宜', '短评打分': 3}
{'短评内容': '酒店的位置很不错，尤其是到了晚上外面卖小吃的很多，环境也很好，就是我们住的太靠近门了，晚上睡觉有点吵，其他都很好', '短评打分': 3}
{'短评内容': '酒店比较干净，楼下就是小吃街，方便品尝杭州及其他地方的小吃。', '短评打分': 3}
{'短评内容': '商务大床房，房间小，厕所还行，隔音有点差，半夜听到隔壁的声音了……吹风机要向前台借。楼下就是美食街，旁边是鼓楼和步行街，总体来说还可以~', '短评打分': 5}
{'短评内容': '妈妈去住的，说是态度很好，麻雀虽小五脏俱全。', '短评打分': 5}
{'短评内容': '还可以，但是隔音实在是差。位置一流，晚上吃东西很方便', '短评打分': 5}
{'短评内容': '，房间太小，隔音效果差', '短评打分': 3}
{'短评内容': '第二次入住了 各方面都很好  就是周末这个价格还是有点高的 275 返现20 也要255了', '短评打分': 5}
{'短评内容': '很好，西湖不远，干净。便宜。很好，西湖不远，干净。便宜。很好，西湖不远，干净。便宜。', '短评打分': 5}
{'短评内容': '温馨', '短评打分': 3}
{'短评内容': '隔音不好，交通方便...................', '短评打分': 5}
{'短评内容': '基本都可以，就是隔音，隔音啊。每天6点多就有人在大声说话，每晚1点多也是。', '短评打分': 5}
{'短评内容': '价格差异很大，入住两天，实际收费比预订价格多收一百块钱。', '短评打分': 3}
{'短评内容': '先说说缺点：房卡容易消磁，大床房隔音差点，上午的热水不是很给力。\n优点：优点太多了，价格实惠，所处的地方交通十分方便，就在鼓楼旁边，饮食购物靠近河坊街，散步就到，去哪里都不麻烦。服务也不错，有赠饮，退房很快，还能寄存包裹，强烈推荐这家～', '短评打分': 5}
{'短评内容': '很不錯的酒店！很好的服務！遠離城市的喧囂，而又深處繁華中心位置！很好！很棒，力薦！', '短评打分': 5}
{'短评内容': ' 如家快捷酒店（杭州河坊街鼓楼店）房间不大，但是很干净。晚上出门就有大排档，很方便。酒店还可以免费停车，值得推荐。', '短评打分': 3}
{'短评内容': '鼓楼店紧邻河坊街,客房不临街,在巷子里所以非常安静.客房很干净,面积比较小些,但不挤.交通便利,离中河高架下的公交站200米.早晚上从店里登吴山\\紫云山很便捷.向北去武林广场,向南去苏堤都有很方便的公交.打车去清波门和柳浪闻莺都在起步价内的.\n推荐大家去住此店.', '短评打分': 5}
{'短评内容': '挺不错的,连续住了10多天，很不错，游客很多，不过服务态度稍微有点逊色。', '短评打分': 5}
{'短评内容': '挺不错的，环境很好，又划算，位置也好，在南宋御街、河坊街这里。吃的很多。', '短评打分': 5}
{'短评内容': '位置不错，隔音差了点。。各种声音', '短评打分': 3}
{'短评内容': '房间里的设施很新，小但是不影响什么，楼下晚上很多小吃，很热闹', '短评打分': 5}
{'短评内容': '床很舒服，让人睡得很舒适，下次如果去的话还会订', '短评打分': 5}
{'短评内容': '环境简洁卫生，位置闹中取静，服务耐心，态度诚恳，好！', '短评打分': 3}
{'短评内容': '环境是很不错，就是没有早餐不好，建议以后增设早餐', '短评打分': 3}
{'短评内容': '比较干净，和挺安静。设施也不错，就是房间矮了点', '短评打分': 5}
{'短评内容': '房间比较小 但是很干净 地理位置很好 不错', '短评打分': 5}
{'短评内容': '很不错，房间虽然不大，但设施齐全，大床房的床很舒服', '短评打分': 5}
{'短评内容': ' 好难找啊，偶还是从停车场进的 哈哈哈', '短评打分': 3}
{'短评内容': '酒店出来就是一条小吃街。但是酒店前台和住宿是不在一栋楼的，在前台开了房，要走十几米才到住处。住处在二楼，一楼入口是电梯，楼层入口都没有保安，人员可以自由出入，安全性比较差。我根据指示牌先到了住处，找了半天没找到前台，也没有一个人可以询问。后来找到前台定了房，出门时，右手提着一个大行李包，左手拿着房卡，服务员就在玻璃门旁，靠在墙边看着我出去，也不见帮忙开一下门。感觉服务态度一般。', '短评打分': 5}
{'短评内容': '还行  房价偏高 空调声音大。位置比较好 靠近河坊街 ', '短评打分': 5}
{'短评内容': '一晚上空调都不热', '短评打分': 3}
{'短评内容': '位置非常理想！典型的如家风格。服务周到，热心，只是房间隔音效果有点差，但浙江人的素质还是很可恭维的。那天隔壁有个本地人的聚会，欢笑声太大，服务员提醒后马上声音小了很多。', '短评打分': 5}
{'短评内容': '其他都很好，就是水压和水温太小了', '短评打分': 3}
{'短评内容': '房间很小，我们入住的2号楼，隔音很差，一晚上停了无数次电，也没有热水。不建议入住', '短评打分': 1}
{'短评内容': '如家风格，房间不大，但是够住，洗浴舒服，水大。离南宋御街、清河坊几步之遥，位置很不错。', '短评打分': 5}
{'短评内容': '＋交通方便，设施齐备，房间较小，总体不错，所定为家庭房。', '短评打分': 3}
{'短评内容': '开始时候酒店没查到预订信息。直接开了房。住了三天。1号楼2楼消防通道边那间，大床房，很小。床一米五的，除了床跟写字台就没地方了。大概是快过年了，没人来发小卡片。离河坊街鼓楼很近。周围比较安静的。就是隔音不怎么好。退了房结果当晚有事又重新开了间。开的大床房，三楼，这回房间大很多，床一米八。房间也挺宽敞。', '短评打分': 5}
{'短评内容': '服务周到信誉一流', '短评打分': 3}
{'短评内容': '地方很不错！吃很方便！停车地方也大~以后去杭州还是会住这里！', '短评打分': 5}
{'短评内容': '环境很不错。蛮好的\n就是前台服务员跟大爷似的、跟谁欠他钱似的。服务态度要好点就行了。。', '短评打分': 5}
{'短评内容': '碰见老乡，总体还不错', '短评打分': 3}
{'短评内容': '虽然所在的地点比较不错，但是酒店的隔音实在太差了，而且价格也不便宜。', '短评打分': 1}
{'短评内容': '酒店位置房间都很不错，很安静。房间设施也齐全，干净。', '短评打分': 3}
{'短评内容': '别的还好，没有饭，早饭都没有，午饭和晚饭也不能吃，很不方便，尤其是对于商务出差、地理不熟的人。', '短评打分': 1}
{'短评内容': '它最大的优势在于地理位置，离城站和西湖都不远，鼓楼和河坊街近在咫尺，楼下虽是小吃街，但一点都不吵', '短评打分': 5}
{'短评内容': '停车位很充足。门口就是美食街，离步行街也非常近。房间很整洁，没有异味。下次还会入住。', '短评打分': 5}
{'短评内容': '这家酒店挺好的，只是楼层都太低不是很舒服', '短评打分': 5}
{'短评内容': '位置不错，卫生也不错，所在的中山南路晚上都是小吃，出门不远就是南宋御街和河坊街，太方便了，到西湖柳浪闻莺走十几分钟。', '短评打分': 5}
{'短评内容': '很好，房间很大，每个房间都有窗户，卫生很好。很值得推荐！！', '短评打分': 5}
{'短评内容': '位置很好,还有停车场,走个200米就到鼓楼和河坊街了,非常近.房间里设施还行,就是地板有些翘起了.', '短评打分': 5}
{'短评内容': '位置好，离西湖很近。屋子、床铺比较干净，价格适中，一般旅游可以选择。', '短评打分': 5}
{'短评内容': '房间干净，位置也很好，门口晚上就是美食小吃一条街，旁边是鼓楼，购物吃饭都很方便，就是晚上隔音效果不太好。', '短评打分': 5}
{'短评内容': ' 安静，干净。但是房间面积稍微小了点。', '短评打分': 3}
{'短评内容': '  地理位置不错，刚开业的酒店，装修各方面还不错，就是房间小点。', '短评打分': 5}
{'短评内容': '这是我第四次还是第五次入住这家如家了，总体感觉不错。紧靠杭州鼓楼和河坊街工艺步行街，有着独立的小院子，本来挺安静的，就是清洁工阿姨一大早就在走廊上高声交谈，对讲机还时不时的“滋——阔！”木门挺薄的，人为地吵了客人。院内有30个车位的停车场，住店客人可以把车停在里面，比御街上的各家店方便很多，半夜回去也有保安客气的开门。有赠饮，院内有小超市，床不是很舒服，枕头还可以；据说网络调整过了，但我这次去没带', '短评打分': 5}
{'短评内容': ' 酒店不错,干净,服务态度也好,就是稍为贵了点.', '短评打分': 3}
{'短评内容': '如家酒店房间较拥挤,但卫生挺好,就在鼓楼旁边距离西湖只需走20分钟左右的路程就可到达柳浪闻莺，还不错,一出门还可吃小吃。', '短评打分': 3}
{'短评内容': '不错，位置好，干净', '短评打分': 3}
{'短评内容': ' 挺好的！外面就是小吃一条街！', '短评打分': 3}
{'短评内容': '环境不错，游西湖回来还可以顺路逛河坊街，外面吃的也挺多的，就是出租车找不到地方，有点郁闷', '短评打分': 3}
{'短评内容': '隔音非常差，早上六点左右服务员工作中大声吵闹，非常讨厌！！！！！', '短评打分': 3}
{'短评内容': '地里位置不错，吃方便，就是隔音设备差了点', '短评打分': 5}
