{'短评内容': '位置离地铁站很近 隔音不错的', '短评打分': 5}
{'短评内容': '周边环境不错', '短评打分': 5}
{'短评内容': '住的还是比较满意的。', '短评打分': 5}
{'短评内容': '整排房子都在高架边上，晚上吵得要死。房间隔音也查，隔壁声音听得很清楚。房子设计有缺陷，也不知道配耳塞，很差！！！', '短评打分': 2}
{'短评内容': '房间面积不大，价格是比较优惠，毕竟在杭州，汉庭给我的感觉是一个挺不错的连锁酒店，但感觉连如家都不如，就是普通小旅馆，进去后发现床单有血渍，不过和前台沟通后给我换了床单，要求换房没给我换，给我了早餐，虽然弥补了，但我还是想把自己的入住体验来说一下', '短评打分': 3}
{'短评内容': '房间很小，不过国庆节订到这样的已经不错了', '短评打分': 5}
{'短评内容': '环境倒是不错，交通方便，如果有肥皂就更好了', '短评打分': 5}
{'短评内容': '每次开房，尽量选汉庭，方便。', '短评打分': 5}
{'短评内容': '很容易找到酒店！前台工作人员服务好！只是房间的电视太老了！', '短评打分': 5}
{'短评内容': '住了好几天，床很大。很舒服。性价比很好。', '短评打分': 5}
{'短评内容': '交通方便，卫生好', '短评打分': 4}
{'短评内容': '隔音稍差，其余的也算不错了！', '短评打分': 5}
{'短评内容': '带外婆去省人医看病，这家就在省人医不远的地方，步行5分钟左右，环境还不错，内部设施简洁齐全、住着还是蛮舒适的，虽然在马路边，但晚上睡着不会特别吵，整体满意！', '短评打分': 5}
{'短评内容': '比较满意了', '短评打分': 5}
{'短评内容': '房间不错，位置也不错，这个价位真是太良心，环境房间都不错，不过，不知道为什么大床里面只有一瓶水，其他都还不错～', '短评打分': 5}
{'短评内容': '房间宽敞，离地铁站也近，出行非常方便。价格也实惠，下次还是会住。', '短评打分': 5}
{'短评内容': '挺好的，就是路边有点吵，不过无所谓啦，睡得舒服?', '短评打分': 5}
{'短评内容': '還可以吧', '短评打分': 3}
{'短评内容': '不错，每次来杭州都住这家汉庭酒店。', '短评打分': 5}
{'短评内容': '设备比较老旧吧，电视机也太旧了，椅子不舒服。淋浴头还是漏的。整体卫生还可以。虽然临近高架，晚上关窗了还好，没那么吵。这个价格还算可以吧。毕竟第一次住汉庭', '短评打分': 4}
{'短评内容': '消毒水味道好大。不过房间还不错。电视看起来比较旧', '短评打分': 5}
{'短评内容': '位置比较不错，就是比较吵，离高架比较近，房屋有点小', '短评打分': 5}
{'短评内容': '卫生环境还可以，就是门下面的“名片”多了点。', '短评打分': 3}
{'短评内容': '酒店比较干净，服务态度也非常好，就是早餐有点难吃。', '短评打分': 5}
{'短评内容': '前台服务还好，不过房间有点太小了一点，还有第二天我明明不退房，房务中心还一直打电话来说是要打扫，真搞不懂十二点都不到，还在睡着呢，不必要这么积极嘛！', '短评打分': 1}
{'短评内容': '很干净，设施什么的都很新，离景点也很近，很方便的，下次来还会选这家', '短评打分': 5}
{'短评内容': '酒店不错，旁边有吃饭的地方，不远还有个沃尔玛。', '短评打分': 5}
{'短评内容': '前台和服务员态度很好！酒店也干净，安静，值得一住！！！而且看人住的挺多，离杭州武林门近的很。', '短评打分': 5}
{'短评内容': '沿着高架，噪声较刺耳，整体室内环境还好', '短评打分': 3}
{'短评内容': '距离杭州市中心还是有3站距离的，不过打车很方便，起步价就能到。面朝西（高架桥方向）的房子即使是双层玻璃白天也很吵，晚上还算好吧。', '短评打分': 5}
{'短评内容': '房间挺宽敞，就是有点吵', '短评打分': 3}
{'短评内容': '还不错，不过第二天要涨价，所以只住了一晚', '短评打分': 3}
{'短评内容': '住在马路旁边实在太吵了，店里面其他设施都还好。不过建议睡眠 不好的人不要住在那里', '短评打分': 1}
