{'descr': '位置很好，服务贴心！', 'star': 4}
{'descr': '前台服务一般，房间比较安静', 'star': 3}
{'descr': '离三凤桥肉庄很近，步行5分钟；步行30分钟就可到南禅寺、清名桥，位置在市中心所以购物中心也很多，住宿环境很安静，房间卫生干净，唯一不足的就是厕所地漏要改进，会有臭味。', 'star': 5}
{'descr': '整体不错，刚开始热水不行，交通便利', 'star': 5}
{'descr': '早餐是收费的，看了一下品种很多，就买了一份尝试了一下，菜品都很新鲜，阿姨们也很热情，帮忙煎鸡蛋，棒棒的！', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境好，就是不好找', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错，比携程便宜五块钱，不错不错不错不错不错不错不错，哈哈，第一次用京东订宾馆，图片是夜景', 'star': 5}
{'descr': '不错，还行', 'star': 5}
{'descr': '床挺大，也挺干净', 'star': 5}
{'descr': '还不错 比较安静', 'star': 4}
{'descr': '挺好的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '作为经济酒店，卫生和设施还说得过去，选择这家主要是冲着位置。在胡同里面，挨着中学，比较安静，附近有钱钟书故居、东林书院，楼下的面馆和馄炖店都不错，出了胡同还有王兴记和三凤桥，周边是商业街，也算闹中取静。步行可到地铁站，房价也很便宜，旅游住住还是很方便。', 'star': 4}
{'descr': '酒店设施很一般，房间很小，周边环境比较杂乱。停车不好停。', 'star': 4}
{'descr': '地理位置还好靠近主路，附近有商场', 'star': 4}
{'descr': '酒店有点陈旧了，不过还算干净。周边有点吵，隔音不是太好。', 'star': 4}
{'descr': '好好好！ 十五个字还没满吗不是把', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '打电话咨询时接线员不自报酒店名称，不标准。酒店的设施一般，前台登记领房卡后打不开门，然后下楼重新办理，但是上来后还是打不开，并且还质问客人是否和手机在一起放的，我想问一下，刚刚拿到的卡就算是和手机放在一起没有2分钟就不行了？这是谁的问题！早餐一个上岁数的服务员态度不好，18元早餐一共就6种食品，最无法忍受的是鸡蛋只允许吃一个，你们是自助早餐吗？买不起就不要放鸡蛋了，重来就没听说自助餐限量的，此次入', 'star': 2}
{'descr': '房间干净,被子没味干净,服务热情.酒店在市中心闹市区,吃饭吃小吃方便.下次还选这家酒店', 'star': 5}
{'descr': '这家汉庭地处闹市区,酒店设施完善,24小时供热水,房间也较干净,被子没一点霉味,被套干净,价格也很便宜.吃饭非常方便 ,走10米什么吃的都有,小吃的味道也不错.离王兴记小笼很近,出弄堂20米.小笼味道很好,2元/只.可以论只买很方便.值得推荐的一家酒店.特别值得一提的是酒店的服务很热情!下次去无锡还会住这家.', 'star': 5}
{'descr': '位于中心地段，吃饭交通方便。', 'star': 4}
{'descr': '舒适经济，就是马筒不太适合男士用', 'star': 3}
{'descr': '酒店不错，经济实惠，比其它店便宜，就是坐便太小，不适合男人用！', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '环境不错，也挺安静的。', 'star': 3}
{'descr': '很满意，就是位置难找\n服务质量好，很安静\n大力推荐，不会失望', 'star': 5}
{'descr': '酒店位于市中心繁华地段，不靠马路，不容易看到，但睡眠较好。', 'star': 3}
{'descr': '地理位置较好，但不靠近马路，不容易看到，但睡眠较好。', 'star': 5}
{'descr': '住得很满意，地点很好找，服务人员态度也不错…', 'star': 3}
{'descr': '还可以,入住过多次,有几个楼,比较大的如家,比较好找', 'star': 5}
{'descr': '价格低，服务好，地段不错。价格低，服务好，地段不错。', 'star': 5}
{'descr': '还不错，每次来无锡都是住这家店，很干净。出行很方便。早餐比较简单。\n', 'star': 5}
{'descr': '附近交通方便 就在市中心 价格也很低', 'star': 3}
{'descr': '酒店位置不好，难找。设施陈旧，排风扇噪音巨大无比。即使关了排风扇也还有不知从哪儿传来的嗡嗡声，让人彻夜难眠。被子有一股浓烈的烟味儿，毛巾旧的发灰色。是我住过的最差的如家。', 'star': 1}
{'descr': '如家的环境很好、很温馨，赠送了两瓶水。也很安静、交通也很便利，推荐给大家啦', 'star': 5}
{'descr': '酒店位置不错，旁边是个公园，出门，早上是个集市，晚上也有小吃摊，对面是个超市。', 'star': 3}
{'descr': '酒店相对安静，早餐有待提高，出行方便！房间有点小，总的来说可以', 'star': 5}
{'descr': '首次入住。酒店环境不错，比较安静，房间内也很干净，去步行街很快，出门5分钟就到三凤桥，还有西新饭店，要排队的。就是感觉房间比标间小些，大床房只有一个人的早餐，希望今后入住两人的话，能同标间一样，给两人的早餐。结账很方便。下次来还住这里。', 'star': 5}
{'descr': '酒店环境不错，比较安静，房间内也很干净，还有早餐。', 'star': 5}
{'descr': '酒店不太好找', 'star': 3}
{'descr': '酒店位置很好，交通很方便，家庭房很舒服。', 'star': 5}
{'descr': '位置在无锡最繁华的地段，不过进去有一条不太干净的小巷。幸运的是三凤桥肉庄就在不远处。', 'star': 5}
{'descr': '环境舒适,隔音不好。', 'star': 3}
{'descr': '房间没有免费宽带，躲在一条小马路里面，位置非常难找到，没有几个停车位。', 'star': 1}
{'descr': '汉庭一如既往的不错，交通便利，环境舒服，出差选择不错', 'star': 3}
{'descr': '第二次入住，结账很方便，不需要查房。早餐比上次要给力些。', 'star': 5}
{'descr': '酒店不错，就是在巷子里难找，打了3次电话才找到。停车很安全方便。网上信息更新太慢，结账后十天才显示结账、返现。', 'star': 5}
{'descr': '紧邻东林中学，对考试很方便，隔音效果不好，夜里有点吵', 'star': 5}
{'descr': '洗澡水很大啊，房间可以，但是床单不是很干净，上面有没洗掉的东西。。。', 'star': 5}
{'descr': '不错。特价房还有窗的。综合来说，挺好的。地理位置是非常市中心的', 'star': 5}
{'descr': '不错·，每次来出差都会住这里，环境比较好，交通比较方便。', 'star': 5}
{'descr': '闹中取静，环境不错，房间挺干净，就是这次定的是特惠，没有窗户，暖气应该是地暖，太热了，喝了好几壶水。', 'star': 5}
{'descr': '酒店不错，位置很方便，周边都是商场，能够停车，房间干净', 'star': 5}
