{'短评内容': '卫生间不能忍受', '短评打分': 5}
{'短评内容': '环境很好，干净卫生，设备齐全，', '短评打分': 5}
{'短评内容': '住的时候感觉还不错。。。就是第一次见到蹲坑的马桶', '短评打分': 5}
{'短评内容': '经济实惠，闹市区里，晚上很安静。', '短评打分': 5}
{'短评内容': '房子比较老，不过还算干净。', '短评打分': 3}
{'短评内容': '不说了。前台大姐不行，房间小。忽悠人说不能刷卡，要不是我看见pos机还不承认撒谎。磨了半天不给多开票。有装逼嫌疑，前台服务真不行。', '短评打分': 3}
{'短评内容': '前台接待态度挺好，房间稍微老旧，灯光暗，但交通方便', '短评打分': 5}
{'短评内容': '位置好，网络慢，经济实惠，设施陈旧，双人间卫生间是蹲便。', '短评打分': 5}
{'短评内容': '今天位子还不错出行非常方便地理位置好。', '短评打分': 5}
{'短评内容': '今天位子还不错出行非常方便地理位置好。', '短评打分': 5}
{'短评内容': '性价比不错，总体满意。', '短评打分': 3}
{'短评内容': '房间有点小有点旧，厕所有点窄，其他还可以。', '短评打分': 5}
