{'短评内容': '我们非常满意！', '短评打分': 5}
{'短评内容': '养生早餐，睡觉可以加床的房间也有的，可以带孩子到市区游玩，如骑楼小吃街方便，有停车场', '短评打分': 4}
{'短评内容': '一般 比较老 ', '短评打分': 3}
{'短评内容': '酒店没有早餐可供，地点特别好找，交通特方便，多条公交车四通八达，距海口老街很近。酒店后院有一个大仃车处，并有保安负责管理。下次去海口肯定还会住这里。', '短评打分': 5}
{'短评内容': '居然有壁虎，服务人员说壁虎是益虫，给调换了房间，99元的房价是值了，房间很旧，床单，毛巾都是黄黄的，床单上有精斑', '短评打分': 3}
{'短评内容': '房间陈旧，但价格合理。地理位置方便', '短评打分': 5}
{'短评内容': '还行吧，性价比很高', '短评打分': 5}
{'短评内容': '来海口旅游，入位该酒店，酒店周边环境挺好，紧靠世纪公园、万绿图，足出游好去处。公交车站就在门前，多路公交车由此通过，出行极为方便，想到那就到那。洒店设施有些陈旧，但服务员素质高，工作态度好，5分钟就办妥入住手续。我很喜欢这个酒店，推茬给朋友。', '短评打分': 5}
{'短评内容': '很不错的酒店，价廉物美，交通便捷，基本设施硬件完善，卫生条件也较好，省会城市有这样的价格应该是超值的。', '短评打分': 4}
{'短评内容': '我在携程网的订单每次都说有反现，最后想去领反现的时候你们说这说哪的，我怎么感觉你们在坑人了，我准备把它卸掉了，次数太多了不是一两次', '短评打分': 4}
{'短评内容': '最大的好的是交通方便，出门就是公交站，通往各个方向的车都有。酒店设施已旧。', '短评打分': 4}
{'短评内容': '干净卫生，服务态度好，方便快捷。', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好，方便快捷。', '短评打分': 5}
{'短评内容': '干净卫生，交通方便，价格合适，前台服务好。', '短评打分': 5}
{'短评内容': '酒店位置非常好，就是房间太差。', '短评打分': 3}
{'短评内容': '热水太差劲了，哪是热水，就是温的。住的这间，淋浴管都是锈的，马桶盖也是坏的，大晚上发现水不热，准备打电话给前台，发现电话也是个坏的，醉了也', '短评打分': 4}
{'短评内容': '比招待所还差。.。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '垃圾酒店，像九十年代的房。自己到酒店居然只要128元。', '短评打分': 3}
{'短评内容': '<海口美京海景大酒店>位于西海岸，由飞机场到酒店不堵车，60元即到。酒店价格还便宜（200元以内）且安有电脑。用餐需单付费。', '短评打分': 5}
{'短评内容': '酒店各方面都挺不错，餐厅的饭菜也很好，尤其是早餐还挺丰盛。但提个建议，建议酒店把名字改一改，叫“海景”大酒店，其实看不到海景，名不副实了。', '短评打分': 5}
{'短评内容': '真实入住房间情况和网上图片有点出入，希望能得到改善。', '短评打分': 1}
{'短评内容': '豪华商务单标大床', '短评打分': 3}
{'短评内容': '环境不错,交通也方便.酒店二楼的早茶也很有特色.', '短评打分': 5}
{'短评内容': '环境不错，性价比高，值得推荐~~~·········', '短评打分': 5}
{'短评内容': '我觉得是招待所，而不是酒店！环境旧，卫生间还有小虫~~~', '短评打分': 1}
{'短评内容': '这家酒店性价比还是很不错的，环境舒适，交通方便。价格合理适中。', '短评打分': 5}
{'短评内容': '很安静很舒适的一家酒店，房间隔音效果很好，晚上休息的很好。', '短评打分': 5}
{'短评内容': '酒店设施很陈旧，门也是坏的，服务员还学我们的方言，感觉不到优质的服务，说实话，有些失望。', '短评打分': 1}
{'短评内容': '酒店的卫生很干净，像是卫生间床上物品都非常的整洁舒适。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行交通很方便。服务管理需要加强。', '短评打分': 5}
{'短评内容': '客房空间比较宽敞，舒适度还不错。整体感觉还是比较达标的。', '短评打分': 5}
{'短评内容': '价格公道，服务员也比较热情，挺友善的。', '短评打分': 5}
{'短评内容': '卫生做的很到位，床单、被罩之类的看起来很干净，住着放心。', '短评打分': 5}
{'短评内容': '房间隔音效果不错，晚上睡眠质量比较好，不会听到外面的喧闹声。', '短评打分': 5}
{'短评内容': '位置较好；\r\n\r\n房间较小（但是够用）\r\n\r\n离海200米，因方向问题看不见海的（不过，如果不是长期度假，白天也不会长时间呆在屋内）\r\n\r\n', '短评打分': 5}
{'短评内容': '还可以 物有所值', '短评打分': 5}
