{'短评内容': '酒店挺好的价格也不高', '短评打分': 5}
{'短评内容': '房间空间蛮大', '短评打分': 4}
{'短评内容': '挺方便的', '短评打分': 5}
{'短评内容': '挺不错的，推荐这家', '短评打分': 5}
{'短评内容': '酒店卫生干净，床超级大，房间也比其他快捷酒店大很多。地理位置佳，附近就是有名的正宁路夜市、张掖路步行街，吃饭购物方便极了。唯一的缺点就是酒店的设施太陈旧了，刚进房门的那种失望，感觉不是快捷酒店，而是一家普通的招待所，这一点如果不改进，反正我是不会第二次再预定这里了。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '很不错的环境，出差一直住这里！', '短评打分': 5}
{'短评内容': '很好很好很好很好', '短评打分': 5}
{'短评内容': '位置还不错，环境管理都挺好，价位也可以', '短评打分': 5}
{'短评内容': '位置不错，电视比较大，WIFI可以。房间大小一般。卫生还可以。', '短评打分': 5}
{'短评内容': '京东服务就是方便快捷，一直以此购买', '短评打分': 5}
{'短评内容': '不错的一次入住体验，安静舒适', '短评打分': 5}
{'短评内容': '总体来说挺不错的，也很干净，房间光线也不错！', '短评打分': 5}
{'短评内容': '没有入住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间干净。值得入住。交通便利。门口吃饭的地方也比较多。停车方便安全。非常好。以后有机会还会入住。满意。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '很一般  服务不好', '短评打分': 2}
{'短评内容': '还不错，就是环境有点吵，对面的正宁路小吃街太小了点', '短评打分': 4}
{'短评内容': '还可以…', '短评打分': 3}
{'短评内容': '位置方便，不错～下次还会住', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
