{'短评内容': '莫名其妙被退单', '短评打分': 2}
{'短评内容': '还行吧！一般般', '短评打分': 5}
{'短评内容': '地段繁华，就在王府井步行街口，逛商场购物很方便', '短评打分': 4}
{'短评内容': '中转地方，不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '环境不错 比较安静', '短评打分': 5}
{'短评内容': '位置很好对面就是apm在往里走就是王府井步行街了超级方便，房间还可以，隔音稍差，性价比还算高', '短评打分': 5}
{'短评内容': '地理位置很棒 价格也很合理，但是房间里电视的位置很反人类。', '短评打分': 5}
{'短评内容': '非常不错的房间', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '因为来的早所以给了一个两面是窗的房间，酒店设施很好，唯一的美中不足是水龙头有时候不连续', '短评打分': 5}
{'短评内容': '因为来的早所以给了一个两面是窗的房间，酒店设施很好，唯一的美中不足是水龙头有时候不连续', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很不错 但是房间极其小 370多 元   不过也能理解 毕竟在王府井步行街', '短评打分': 5}
{'短评内容': '去协和看病的 很近 就在王府井 干什么都很方便 房间还算干净 就是房间电视太差了 看不清', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '地理位置方便，环境干净整齐，住起来非常的舒适', '短评打分': 5}
{'短评内容': '很不错的快捷酒店', '短评打分': 5}
{'短评内容': '酒店装修非常简陋，设施一般，期待完善一下装修，酒店位置优越', '短评打分': 4}
{'短评内容': '总体还不错，房间情况比一般快捷酒店好，感觉挺舒服。价格贵点，但在王府井中心地段嘛', '短评打分': 3}
{'短评内容': '床比较舒服，还行，但是酒店在装修中，环境不佳。', '短评打分': 1}
{'短评内容': '地理位置好，屋里潮湿味道很重,看在出行方便的份上，推荐入住', '短评打分': 5}
{'短评内容': '地理位置方便，交通便捷。但是屋里潮湿、卫生间积水。', '短评打分': 5}
{'短评内容': '最便宜的房间,环境就不说了~~~地段好~~~其他都不给予评价了~~~', '短评打分': 5}
{'短评内容': '位置虽好，设施很差，潮湿味重，实在不敢二次入住。', '短评打分': 1}
{'短评内容': '离天安门、王府井比较近，在北京玩住算是方便，但房间的网线不好，说是免费的但就是上不了网，这个要改进。', '短评打分': 5}
{'短评内容': '真的很旧，正在装修。房间很小，只是地段好而已，在王府井商业区，换别的地方的话要打个五折。服务不错，我落下东西几天了回去还可以取回。', '短评打分': 1}
{'短评内容': '地置挺方便，设施挺旧，服务还行。', '短评打分': 3}
{'短评内容': '位置真的不错 我定的是商务大床房 卫生条件也很好 前台服务也到位。价钱稍微贵点 但在这个地段也可以了 值得推荐', '短评打分': 5}
{'短评内容': '酒店位置不错！', '短评打分': 3}
{'短评内容': '酒店设备齐全服务到位！美中不足卫生稍差！', '短评打分': 3}
{'短评内容': '还不错，和媳妇儿都挺喜欢这里，交通方便，环境不错，就是卫生间略小~', '短评打分': 5}
{'短评内容': '性价比太低！大厅装修，电压不稳，总跳闸！~', '短评打分': 1}
{'短评内容': '地段不错，周围商业多，出行方便，值得住住，以后还会再来的', '短评打分': 5}
{'短评内容': '好慢阿', '短评打分': 3}
{'短评内容': '位置绝佳，但是设施就是一塌糊涂，椅子扶手都断了也能用，电视小，空间小，没什么值得推荐的地方。', '短评打分': 1}
{'短评内容': '特别不好的莫泰，房间很潮，小，服务员的服务很不熟练，总记不住客人给了多少钱，在网上定的大床房  ，到这就要加钱升级，不然就给你安排到没窗的一楼，从半理入住四个小时房间还没打扫，从硬件到软件都比前几天住的锦江之星差好几个档次', '短评打分': 3}
{'短评内容': '真不错呀！方便！', '短评打分': 3}
{'短评内容': '先订了别的酒店，后来看了房间才换到这家的。\n房间中等，不算大，感觉还是很整洁和干净的。阳光很充足，空调热水器什么的都很好用。老公和我都比较满意。\n而且交通特别方便，楼下就有车站，酒店在乐天银泰的旁边，很好找。周围环境很不错，附近有小超市，老公每天都在那里买一罐啤酒喝：）\n唯一有一点不足的是卫生间的灯光感觉太暗了，不知道别的房间是不是也是一样。\n但是会给朋友推荐这家酒店，下次去北京玩的时候也会首先考', '短评打分': 5}
{'短评内容': '房间不大', '短评打分': 3}
{'短评内容': '地理位置非常非常方便，下次来还住这', '短评打分': 3}
{'短评内容': '今天刚从北京回到家，这次出行很愉快。当然少不了这家酒店的功劳了。呵呵，住很舒心，游玩时心情就更好。我预定的是地下室无窗的特价大床，到酒店是早上9点多，我预定标准的房间好多都没有退房的，后来前台免费帮我升级到带窗的豪华大床房。这家酒店的地理位置相当好，200多元住在这么好的酒店，性价比超高。酒店离王府井大街最多也就10米远，吃东西逛街很方便。离灯市口地铁站，王府井地铁站步行5分钟均可到达，出行也方便', '短评打分': 5}
{'短评内容': '地理位置优越，方便出行，连锁酒店，设施都是一样的。', '短评打分': 5}
{'短评内容': '服务不錯，房间下水道有些味道。', '短评打分': 3}
{'短评内容': '不错 喜欢房间 可观街景', '短评打分': 3}
{'短评内容': '莫泰服务很好，宾馆卫生很干净·在王府井的路口，步行2分钟。很方便。', '短评打分': 5}
{'短评内容': '除了地点好外。。其他的就是一般商务酒店的设备。。\n酒店内就像迷宫。。出了电梯没有标示房间该往哪里走。。。', '短评打分': 5}
{'短评内容': '位置好！', '短评打分': 3}
{'短评内容': '交通方便    已经住过几次 下次还会来   ', '短评打分': 5}
{'短评内容': '房间特差，相比房间，价格太高。不建议入住。周围酒店很多的，不建议选择这家。', '短评打分': 1}
{'短评内容': '房间很不错,保鲜柜很好用', '短评打分': 3}
{'短评内容': '房间有点小，卫生间比较小，窗户打不开。 早餐一般。', '短评打分': 5}
{'短评内容': '位置绝佳 出门不远 两个地铁站  下次来还住这', '短评打分': 5}
{'短评内容': '酒店位置很好，就在办事处对面，而且紧邻王府井步行街，还有小吃一条街，不错的选择！', '短评打分': 5}
{'短评内容': '我是老住户，早饭差就不说了，关键是这次去连宽带都没法用，实在太失望了', '短评打分': 1}
{'短评内容': '这是经济型酒店，在金鱼胡同这这个价钱可以了，要是觉得不好，可以住其他酒店，只要能接受价格！', '短评打分': 5}
{'短评内容': '酒店其实不错，地点很好，其他的还要求什么呢！', '短评打分': 5}
{'短评内容': '房间又小又破，味道还很大，价格又贵，强烈不推荐', '短评打分': 1}
{'短评内容': '位置很棒，环境说得过去', '短评打分': 3}
{'短评内容': '位置很好 卫生条件也可 只是空调温度不高', '短评打分': 5}
{'短评内容': '环境不错，位置也好，出行方便，下次还会入住。', '短评打分': 3}
{'短评内容': '房间太冷了！空调开到30度冻醒了两回！', '短评打分': 3}
{'短评内容': '很好与网上的一样', '短评打分': 3}
{'短评内容': '房间很让人失望，实际入住的与之前参观的相差甚远。', '短评打分': 1}
{'短评内容': '购物比较方便，有点小贵，总体说还可以！出差，购物可以的，一家旅游还是要重新考虑的', '短评打分': 5}
{'短评内容': '不错的酒店，已经入住多次了，这次一次性订了5间房，很方便。', '短评打分': 5}
{'短评内容': '不记的住过多少次了。感觉每次都是一样的好。下次还会来的。', '短评打分': 5}
{'短评内容': 'perfect location, good property with timely service, a little bit expensive. very good economic hotel.', '短评打分': 5}
{'短评内容': '房间有点小，不过考虑到地理位置的优势，还是性价比很高的。房间里比较干净。', '短评打分': 5}
{'短评内容': '处在闹市区位置好方便旅游，房间及接待服务一般，尚欠达名望，望改进！', '短评打分': 1}
{'短评内容': '很干净的酒店、地理位置也好，繁华的地段，交通也很方便，会再去住的', '短评打分': 5}
{'短评内容': '标准间实际上是单间改的，让人抓狂的是厕所是透明的，和同志一起住真是不方便，还有早餐券和赠的水都只有一份。再买一份需要加20元。真是奇怪的标间，从来没见过。\n加20元以后和柜台价格完全一样。装修还好和飘一个风格一个档次，比飘贵。', '短评打分': 1}
{'短评内容': '房间小，设备简陋，信价比低。地势不错，四通八达。', '短评打分': 3}
{'短评内容': '地段很好，方便出行、购物、饮食，顶层的商务房十分安静，只有两套，很有专人独享感觉，谢谢前台小姐的安排。', '短评打分': 5}
{'短评内容': '价格非常贵，房间非常烂，建议有好大就不要选择这个', '短评打分': 1}
{'短评内容': '10几天前就订了这酒店268的房间，结果提前一天也打好电话了，去了就说没有268这价位的房间了，让我住3百多的，很不爽，坚决要求要268的，才勉强说把3百多的房间让我还是268住，还说下次不行了什么的，搞的好像我不对似的，就因为这酒店位置好不错，才总去住的，房间这次不好，卫生也差，空调声音好大，希望以后定好了就要给客人留着，换换地毯吧好脏的。', '短评打分': 5}
{'短评内容': '经济干净很好。', '短评打分': 3}
{'短评内容': '性价比很高,在步行街边上,交通非常方便.强力推荐', '短评打分': 5}
{'短评内容': '环境和配套设施极差，只是位置方便，价格极其不值！', '短评打分': 1}
{'短评内容': '非常方便，对面就是商场。距离王府井商业区和民政部等单位很近，很方便', '短评打分': 5}
{'短评内容': '我们公司其他分公司的同事来北京出差都住这里  就是图交通便捷', '短评打分': 5}
{'短评内容': '地段不错，早饭不是很差，就是没有酸奶和水果，隔音稍微差了点', '短评打分': 5}
{'短评内容': '比想像中的差，和上海的连锁店没得比！', '短评打分': 3}
{'短评内容': '特价房麻雀虽小五脏俱全，但是378元的商务间真的是不怎么地，位置很好，交通便利。', '短评打分': 5}
{'短评内容': '王晓笛8332', '短评打分': 3}
{'短评内容': '交通便捷，习惯了住这里，比如家什么的相对要好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': 'Good location and staff okie', '短评打分': 5}
{'短评内容': '地理位置不错,交通方便.性价比还是不错的,会推荐给朋友', '短评打分': 5}
{'短评内容': '感觉不错。 比一般的快捷酒店偏贵，不过位置好', '短评打分': 5}
{'短评内容': '地點絕佳.房間內有霉味,遇是防水膠條都發霉了,黑黑的該去除.可能房間裝修.油漆味太濃太嗆受不了.其他部分還不錯', '短评打分': 5}
{'短评内容': '最大的优点就是交通便捷，临近王府井商业区  离我的分公司很近', '短评打分': 5}
{'短评内容': '第二次入住，感觉非常不错，这样棒的位置有这样的宾馆，不错不错', '短评打分': 5}
{'短评内容': '同事推荐的，离王府井很近，交通很方便，从这里到公司十分便捷', '短评打分': 5}
{'短评内容': '同事推荐住这里   挺好   比如家还有7天什么的感觉要好一些', '短评打分': 5}
{'短评内容': '最好的地段，最简陋的家具。适合图方便，不太在意住宿条件的人。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '总体来说，地段很好。 还是很满意的，也蛮干净，就是房间太小了', '短评打分': 5}
{'短评内容': '地点繁华的王府井大街附近，购物、娱乐都很方便，自助早餐也很丰富，价格在此地点比较合适。', '短评打分': 5}
{'短评内容': '紧靠王府井步行街很繁华很方便就是房间太紧凑了', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '曾经住过改酒店 位置好 服务还行 以后还会光顾！', '短评打分': 5}
{'短评内容': '好。', '短评打分': 3}
{'短评内容': '上去之后才发现房间没有打扫，给前台打点话说快点来打扫，前台说马上，15分钟后没见人影，又打又说马上，15分钟后还是没见人影，又打又说马上过了 又过了10分钟终于来人了，要不是laozi累的懒的走的话早换酒店了。草~', '短评打分': 1}
{'短评内容': '每次到北京基本都去这家店住，这种位置价位还是比较实惠的', '短评打分': 5}
{'短评内容': '到北京经常住这个店，房间比较大，又在东方广场旁边，交通便利', '短评打分': 5}
{'短评内容': '位于北京商业中心王府井附近，地段非常不错，适合商务和游玩入住', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '空调效果太差,房间比较旧', '短评打分': 3}
{'短评内容': '酒店位置很方便，卫生还好，就是不隔音，不过价位挺合理！', '短评打分': 5}
{'短评内容': '服务员简直就像欠他们钱一样脸上超级难看！入住退房办理时间过长！对客人不尊重！好像我们欠他们钱一样！虽然是motel的高端酒店但设施太过于破旧！洗手间没有什么好用的地方！打电话要多于的枕头竟然说没有！无语~空调不好无法睡觉！对了还有停车根本没有车位可停！门口又总堵车！除了地段优势其他一无是处！', '短评打分': 1}
{'短评内容': '08年住的时候感觉真的不错但现在才一年过去酒店的基础设施变得异常陈旧！显然没有加强日常管理和监督！员工素质又太差所以造成那么好的酒店变成现在这个样子！酒店空调像音响一样吵人让人根本无法入睡！抽水马桶一按就坏水流了一晚上！睡觉就感觉像睡着交响乐中~', '短评打分': 1}
{'短评内容': '周边交通真的很便利，周围有挺多餐馆，有北京风味的王府井小吃街，也有粤式地下美食街。房间暖气足，热水热，有穿衣镜，有小沙发和桌子，网络快，很适合商务出差。就是灯光比较暗，洗漱台漏水。', '短评打分': 5}
{'短评内容': '地段超好，房间超小。\n如果追求方便的话，可以选择入住。\n如果追求舒适的话，还是考虑一下吧。', '短评打分': 5}
{'短评内容': '地理位置很不错，公司在崇文门  离这边还算近，到这边可以逛逛，不错', '短评打分': 5}
{'短评内容': '赶上装修，夜里可受了罪了。没想到会碰到这种情况，唉。', '短评打分': 5}
{'短评内容': '同事来就是住这里，还不错哦。以前住如家，以后决定还是住这里好了', '短评打分': 5}
{'短评内容': '位置很中心，交通便利，房间挺干净舒适的', '短评打分': 3}
{'短评内容': '距离东方广场及王府井商业区很近，方便出差办事及休闲购物~', '短评打分': 5}
{'短评内容': '前台服务人员面无表情缺乏亲切感即使胸前挂着微笑的标志却一点也感觉不到,房间隔音效果差', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好的酒店，经济实惠!', '短评打分': 5}
{'短评内容': '每次来都会住这里，因为地理位置很好，离office很近。但是这次来住很不巧赶上外面工地施工，而且时间是从夜里12:00--早上6:00。太夸张了，根本没法好好休息', '短评打分': 3}
{'短评内容': '舒适度比如家的要好，觉得蛮温馨的，出差来这边都会住这里', '短评打分': 5}
{'短评内容': '地段位于王府井旁，交通便利。处于商业区。饮食也比较方便，价格也合适。', '短评打分': 5}
{'短评内容': '+位置不错,就在小吃街边上,房间一般', '短评打分': 5}
{'短评内容': '每次出差来这边都会住在这里，感觉比如家好', '短评打分': 5}
{'短评内容': ' 酒店位置很好 基本就在王府井大街旁 房间设施有些旧 但总体还是值得推荐的\n\n吕宏光Lance', '短评打分': 5}
{'短评内容': '位置超级好，出门就是新东安和王府井步行街。但是设施有点陈旧，总体还不错。', '短评打分': 3}
{'短评内容': '位置很好，在步行行边上，对面就是新东安。。很干净。', '短评打分': 5}
{'短评内容': '位置很好服务也不错 ,就是酒店设施老化,该装修了', '短评打分': 5}
{'短评内容': '离王府井大街很近。。\r\n房间里的设施有点旧了。\r\n毛巾虽然干净，但是有洞的毛巾还在给顾客使用。', '短评打分': 5}
{'短评内容': '很干净很不错', '短评打分': 5}
{'短评内容': '推荐，设施一般，但位置很好，出行方便，吃饭购物都很好', '短评打分': 5}
{'短评内容': '干净简单，位置好，我想去的地方步行就到了~~~很满意~~~', '短评打分': 5}
{'短评内容': 'SOSO', '短评打分': 5}
{'短评内容': '感觉还可以 稍微贵了点。', '短评打分': 5}
{'短评内容': '比较旧了，卫生一般，不过离王府井大街确实近，这个价位也还能接受', '短评打分': 1}
{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '是一家不错的酒店，位置好，早餐也不错。下次还会再住。', '短评打分': 5}
{'短评内容': '位置很好，离地铁口很近。离小吃一条街也很近。下次去还会住。', '短评打分': 5}
{'短评内容': 'Location is fantastic. Room decor is nice as well. we chose the business room B and it came with 2 big windows giving good view of the city. However room has a weird smell and there is no air-con for ', '短评打分': 5}
{'短评内容': '酒店隔音太差', '短评打分': 1}
{'短评内容': '因为以前住过加上离要去的地方近所以首选，设施服务全国168感觉都差不多，卫生状况还不错，但是不隔音，隔壁房间做爱声音大的隔个房间都能听到，建议加强隔音。。。', '短评打分': 5}
{'短评内容': '位置很好，但设施差，不推荐。', '短评打分': 3}
{'短评内容': 'Good location, old and dirty towers~~~', '短评打分': 1}
{'短评内容': '唯一的优点酒店位置很好 这个价格也可以了', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 1}
{'短评内容': '酒店位置尚可,设施卫生都不是很好,性价比低.下次不会入住.', '短评打分': 1}
