{'短评内容': '以前从来不去评价，不知道浪费多少积分，自从积分可以抽奖的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事；', '短评打分': 5}
{'短评内容': '还行吧，就是地毯有点脏', '短评打分': 5}
{'短评内容': '早餐不错！房间设施一般 ', '短评打分': 3}
{'短评内容': '环境很好。。。入住很舒适', '短评打分': 5}
{'短评内容': '房间有特色，但卫生设施有点陈旧，', '短评打分': 4}
{'短评内容': '还可以，这个价位性价比特别高', '短评打分': 5}
{'短评内容': '非常不错的一家酒店', '短评打分': 5}
{'短评内容': '非常不错不错', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，交通便利！周边商圈也比较发达！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 4}
{'短评内容': '出差可以', '短评打分': 5}
{'短评内容': '比较安静，住的不是靠近马路的单间。早餐简单，性价比还可以。', '短评打分': 5}
{'短评内容': '很好，考试住的。正好离外国语学校近，几分钟路程', '短评打分': 5}
{'短评内容': '很不错，整洁干净还有早餐', '短评打分': 5}
{'短评内容': '服务比较好，就是房间有点小。不过安静！', '短评打分': 4}
{'短评内容': '整体形象可以……', '短评打分': 4}
{'短评内容': '服务挺贴心的', '短评打分': 5}
{'短评内容': '空调失效，房价颇高，实在不能理解为什么。之后换了另外的酒店，然后每次路经雪梨树酒店门口的时候，都会自责曾经住过这个酒店。', '短评打分': 3}
{'短评内容': '有特色的酒店、位置不错。', '短评打分': 4}
{'短评内容': '房间环境不错', '短评打分': 5}
{'短评内容': '酒店性价比一般，由于是新装修，味道很重，房间很安静，也比较干净', '短评打分': 3}
{'短评内容': '去泸州的时候气候很炎热，选择了雪梨树主题酒店的地中海风格房间，特舒适，清爽！而且价格也适中。下次也还是会选择这个酒店的。', '短评打分': 5}
{'短评内容': '新店，全新装修，设备全新没有任何损坏，各种好用，一点问题都没有。价格相当的划算，性价比非常的高。可以说，只要不是为了撑面子要四星级以上的门面，这家酒店完全满足要求了，丝毫不逊色于任意三星级酒店。价格低于三星，但享受绝对3.5星。 \n\n一点小瑕疵，大堂的MM态度非常好，热情，帮助，估计是自家的酒店所以很在意，但是前台MM的态度比起她就有所逊色，没什么问题但也算不得热情。 此为吹毛求疵~', '短评打分': 5}
{'短评内容': '紧邻酒城宾馆，地理位置不错。比较干净。就是停车位偏少。还有靠马路一侧的房间晚上太吵。', '短评打分': 5}
