{'短评内容': '不错！方便', '短评打分': 5}
{'短评内容': '酒店整体环境很好，，服务态度好，给人宾至如归的感觉，很干净很整洁，位置和设施相还算不错，很满意，值得推荐！ ', '短评打分': 5}
{'短评内容': '一般了，主要是挨着公园。可是冬天也没有啥意思', '短评打分': 4}
{'短评内容': '周边是公园，环境不错', '短评打分': 4}
{'短评内容': '太次！！！而且贵！！！前台态度更恶心', '短评打分': 1}
{'短评内容': '酒店是比较老的，设施陈旧，房间小且贵，网络不给力，服务态度较差，下次不会入住。', '短评打分': 3}
{'短评内容': '房间不大，位置离地铁站一公里多大概步行十来分钟，旁边有个公园。服务员态度还是蛮好的，卫生也还算干净，只是觉得设施比较旧，床头没插座不方便。住的标间，床比较小。', '短评打分': 5}
{'短评内容': '很好很喜欢，之前来过，环境没咋变，感觉这次服务态度好多了', '短评打分': 5}
{'短评内容': '酒店老了', '短评打分': 1}
{'短评内容': '又旧又老的设备，门都很难打开，不如边上的汉庭。', '短评打分': 3}
{'短评内容': '饭店位于公园南门外，环境不错，距离地铁站步行15分钟，附近的护国寺小吃连锁店适合一日三餐，干净不算贵。房间热水挺大，热风很足。但饭店比较老，属于招待所规格，房间过小，活动很不方便，订的房间无Wifi，隔壁房间的Wifi输入前台给的密码也登不上，前台服务员接待水准还处于单位招待所。', '短评打分': 3}
{'短评内容': '饭店位于公园内，环境好；  距鼓楼、黄寺大街都很近，方便找美食；  最重要的一点，离我办事的地方近；  出差帝都，不错的选择。', '短评打分': 5}
{'短评内容': '这地方不错闹中取静，设施要改进服务要提升。', '短评打分': 4}
{'短评内容': '地理位置好，价格合理，方间很大，很舒服，值得推荐！', '短评打分': 5}
{'短评内容': '酒店外环境可以，屋内环境一般，房间太小，标间床更小', '短评打分': 5}
{'短评内容': '除了守着公园的优点外，其他基本上属于招待所级别，服务态度还不错。', '短评打分': 3}
{'短评内容': '位置还可以，只是房间与宾馆的星级不符合啊！就一般吧！', '短评打分': 3}
{'短评内容': '酒店环境挺不错的，床睡得很舒服，也比较干净', '短评打分': 5}
{'短评内容': '该酒店的饭菜一般，酒店的住宿条件就更加一般，虽然在德胜门一带，但是还是不太方便', '短评打分': 1}
{'短评内容': '可能就位置好吧，三百多才这么小一房间，设施也很久了。', '短评打分': 1}
{'短评内容': '不错，门面太小，不宜寻找，大堂不错，挨着公园，但早上能听到晨练和练嗓子的声音', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '去长城方便.\n去长城乘877路, 绝对不要919路.877路车最方便, 也在箭楼 一起的地方.\n此酒店环境好,安静,在居住区里面,吃饭购点小东西均方便.\n很适合自助旅行的居住地.', '短评打分': 5}
{'短评内容': '总体来说酒店自身的环境一般，房间很小，设施一般，但是周围的环境真好，有个公园', '短评打分': 5}
{'短评内容': '环境很好啊，有点世外桃源闹中取静的感觉，就是不太好找，没有点方位感和地理知识还真找不到，后来知道了，问周围居民要问人定湖公园怎么走，宾馆就在人定湖南门口', '短评打分': 5}
{'短评内容': '很差，不禁怀疑还是不是四星，还不如如家快捷呢', '短评打分': 1}
{'短评内容': '很不错,饭店很整洁卫生，服务态度也很好，下次还会来。 \n', '短评打分': 5}
{'短评内容': '很不错,饭店很整洁卫生，服务态度也很好，下次还会来。', '短评打分': 5}
{'短评内容': '酒店在公园内，周围环境比较好。\n适合一般性商务出差居住。周围有小吃，水果摊。\n但房间房门的隔音太差，经常听到隔壁房间进出开关房门声。', '短评打分': 5}
{'短评内容': '交通方便，价格适宜，环境也不错。我推荐，', '短评打分': 5}
{'短评内容': 'This hotel is very very difficult to find. Most taxi drivers cannot even find it, so that can be a problem. And they have a business card with a map that is too small to read.\n\nBut otherwise, it is a ', '短评打分': 5}
{'短评内容': '房间太小，洗漱用品都没地方放，沙发就更不用说了，也许是寸土寸金的地方吧，窗户也小的抽象，唯一的好处就是后面是个公园，够安静！', '短评打分': 1}
{'短评内容': '凤凰台酒店在公园里,周边环境不错也很安静.大堂布置得不错,很有文化氛围!客房内部很局促,设置一般，卫生间也很小,不像订房时说的四星!', '短评打分': 3}
{'短评内容': '宾馆周围环境很安静，早起可以到公园，房间较小，早餐比较简单', '短评打分': 5}
{'短评内容': '酒店大堂感觉很温馨，环境很安静。\n缺点：房间较小，硬件感觉较陈旧。', '短评打分': 5}
{'短评内容': '不错，市中心，挺安静的，有点世外桃源的味道。', '短评打分': 5}
{'短评内容': '环境很好 很安静 位置不好找  房间偏小', '短评打分': 5}
{'短评内容': '位置离办事地方很近，旁边是个公园，还不错。就是房间确实一般，差不多是motel168的档次，和价格有些不符。一楼是个书吧也还不错。', '短评打分': 5}
{'短评内容': '比较安静，但房间太小，房价较高，主要原因是方便，家近！', '短评打分': 5}
{'短评内容': '比较安静 有特色 但是房间太小了 房价偏高 ', '短评打分': 5}
{'短评内容': '地点好难找， 虽然大厅的图片看起来比较不错，但是房间比较小，设施比较旧。', '短评打分': 3}
{'短评内容': '位置好难找，房间太小，配套设施比较旧，价格偏高。', '短评打分': 1}
{'短评内容': '+酒店整体一般,已入住', '短评打分': 5}
{'短评内容': '比较安静 宾馆的外观很有特色 但是房间太小了 所以个人感觉房价偏高', '短评打分': 5}
{'短评内容': '+除了地方不大好找，别的都好。后面的人定湖公园，是休闲散步的好去处。', '短评打分': 5}
{'短评内容': '+酒店书不少，在房间里放几本更好', '短评打分': 5}
{'短评内容': '环境很优雅，旁边就是人定湖公园，很清净。', '短评打分': 5}
{'短评内容': '住了两晚，周边环境不错，旁边是人定湖公园，吃饭很方便。但房间电话上的提示有陷阱，打国内长途没有接通居然也要交费，不知是什么原因。', '短评打分': 5}
{'短评内容': '还不错，就是房间小了点', '短评打分': 5}
{'短评内容': '半夜竟然把冷气关了。。。。。要知道北京的气温前段时间可是高达40多度。。害的我半夜被热醒', '短评打分': 1}
{'短评内容': '自助早餐太差，食品种类太少。房间设施有点陈旧。位置可以，安静。离店时候，整个需要时间太长，六个人几乎用了40分钟，效率低。电视的节目太少，不超过8个台。', '短评打分': 1}
{'短评内容': '房间中规中距，不是很新潮的那种。\r\n位置有点背，但也是闹中取静。\r\n去旁边的石油部开会的首选。离着又不远。又僻静。\r\n装修很有书的味道，旁边是公园，感觉不错的。\r\n缺点是收个传真，价格超贵的。', '短评打分': 5}
